scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://www.publicpower.org/event/public-communications-spring-issues-roundtable	Public Communications Spring Issues Roundtable	2022-04-04	2022-04-04		Bringing communications leaders to speak on strategy development as well as managing, budgeting, and staffing the communications/marketing function for public power systems.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Siemens Industry Logo"", ""Power Plan"", ""IGS Solar Logo"", ""Omicron logo"", ""TextPower Logo"", ""Whispir Logo"", ""Ubicquia"", ""convergent logo"", ""Dragos Logo"", ""ChargePoint"", ""verizon logo"", ""Duncan & Allen"", ""Baker Tilly logo"", ""Avant logo"", ""Oracle logo"", ""IPKeys logo"", ""Questline logo"", ""ARCOS logo"", ""Milwaukee logo"", ""Utilismart logo"", ""fortress logo"", ""UPA Logo"", ""Granicus Logo"", ""Logo"", ""Landis logo"", ""Automated Energy logo"", ""Milepost logo"", ""Hometown footer"", ""Daupler"", ""blue fire flame in blue box"", ""UFS Logo"", ""Tantalus logo"", ""Utility Services"", ""the energy authority logo"", ""Swell Energy logo"", ""Bierer Meters logo""]"				Arlington, VA	USA	Hyatt Regency Crystal City, 2799 Richmond Highway, Arlington, VA 22202	https://www.publicpower.org/event/public-communications-spring-issues-roundtable	https://www.google.com/maps/place/Hyatt+Regency+Crystal+City+At+Reagan+National+Airport/@38.8488621,-77.0516791,15z/data=!4m2!3m1!1s0x0:0xe0c34d8af3c6c500?sa=X&ved=2ahUKEwiti_aa8O72AhVRXBoKHSlbC-sQ_BJ6BAgOEAU	"[""EducationInfo@PublicPower.org""]"		0
https://www.publicpower.org/event/virtual-public-communications-spring-issues-mini-roundtables	Virtual Public Communications Spring Issues Mini Roundtables	2022-04-19	2022-05-10		Bringing communications leaders to speak on strategy development as well as managing the communications/marketing function for public power systems.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Siemens Industry Logo"", ""Power Plan"", ""IGS Solar Logo"", ""Omicron logo"", ""TextPower Logo"", ""Whispir Logo"", ""Ubicquia"", ""convergent logo"", ""Dragos Logo"", ""ChargePoint"", ""verizon logo"", ""Duncan & Allen"", ""Baker Tilly logo"", ""Avant logo"", ""Oracle logo"", ""IPKeys logo"", ""Questline logo"", ""ARCOS logo"", ""Milwaukee logo"", ""Utilismart logo"", ""fortress logo"", ""UPA Logo"", ""Granicus Logo"", ""Logo"", ""Landis logo"", ""Automated Energy logo"", ""Milepost logo"", ""Hometown footer"", ""Daupler"", ""blue fire flame in blue box"", ""UFS Logo"", ""Tantalus logo"", ""Utility Services"", ""the energy authority logo"", ""Swell Energy logo"", ""Bierer Meters logo""]"							https://www.publicpower.org/event/virtual-public-communications-spring-issues-mini-roundtables		"[""EducationInfo@PublicPower.org""]"		1
https://www.publicpower.org/event/accounting-finance-summit	Accounting & Finance Virtual Summit	2022-04-21	2022-04-22		Discuss the latest trends and issues in utility finance, rate design, and accounting with your peers		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/									https://www.publicpower.org/event/accounting-finance-summit		"[""EducationInfo@PublicPower.org""]"		1
https://www.publicpower.org/event/spring-education-institute/constructing-operating-and-maintaining-underground-distribution-systems	Constructing, Operating and Maintaining Underground Distribution Systems	2022-04-25	2022-04-27		Part of the Spring Education Institute. Learn all about the effective design, construction, operation and maintenance of underground electric distribution systems.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Siemens Industry Logo"", ""Power Plan"", ""IGS Solar Logo"", ""Omicron logo"", ""TextPower Logo"", ""Whispir Logo"", ""Ubicquia"", ""convergent logo"", ""Dragos Logo"", ""ChargePoint"", ""verizon logo"", ""Duncan & Allen"", ""Baker Tilly logo"", ""Avant logo"", ""Oracle logo"", ""IPKeys logo"", ""Questline logo"", ""ARCOS logo"", ""Milwaukee logo"", ""Utilismart logo"", ""fortress logo"", ""UPA Logo"", ""Granicus Logo"", ""Logo"", ""Landis logo"", ""Automated Energy logo"", ""Milepost logo"", ""Hometown footer"", ""Daupler"", ""blue fire flame in blue box"", ""UFS Logo"", ""Tantalus logo"", ""Utility Services"", ""the energy authority logo"", ""Swell Energy logo"", ""Bierer Meters logo""]"				Minneapolis, Minnesota	USA	Minneapolis, Minnesota	https://www.publicpower.org/event/spring-education-institute/constructing-operating-and-maintaining-underground-distribution-systems	https://www.google.com/maps/place/Minneapolis,+MN,+USA/@44.9706756,-93.3315183,12z/data=!3m1!4b1!4m5!3m4!1s0x52b333909377bbbd:0x939fc9842f7aee07!8m2!3d44.977753!4d-93.2650108	"[""EducationInfo@PublicPower.org""]"		0
https://www.publicpower.org/event/spring-education-institute/basic-cost-service-key-financial-concepts	Basic Cost of Service & Key Financial Concepts	2022-04-25	2022-04-25		Part of the Spring Education Institute. Explore the ins and outs of cost of service — from basic concepts to leveraging data for decision making.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Siemens Industry Logo"", ""Power Plan"", ""IGS Solar Logo"", ""Omicron logo"", ""TextPower Logo"", ""Whispir Logo"", ""Ubicquia"", ""convergent logo"", ""Dragos Logo"", ""ChargePoint"", ""verizon logo"", ""Duncan & Allen"", ""Baker Tilly logo"", ""Avant logo"", ""Oracle logo"", ""IPKeys logo"", ""Questline logo"", ""ARCOS logo"", ""Milwaukee logo"", ""Utilismart logo"", ""fortress logo"", ""UPA Logo"", ""Granicus Logo"", ""Logo"", ""Landis logo"", ""Automated Energy logo"", ""Milepost logo"", ""Hometown footer"", ""Daupler"", ""blue fire flame in blue box"", ""UFS Logo"", ""Tantalus logo"", ""Utility Services"", ""the energy authority logo"", ""Swell Energy logo"", ""Bierer Meters logo""]"				Minneapolis, Minnesota	USA	Minneapolis, Minnesota	https://www.publicpower.org/event/spring-education-institute/basic-cost-service-key-financial-concepts	https://www.google.com/maps/place/Minneapolis,+MN,+USA/data=!4m2!3m1!1s0x52b333909377bbbd:0x939fc9842f7aee07?sa=X&ved=2ahUKEwj2hZKr8O72AhVRyoUKHf12A4YQ8gF6BAg0EAE	"[""EducationInfo@PublicPower.org""]"		0
https://www.publicpower.org/event/working-with-states-ev-infrastructure-deployment-plans	Working with States on EV Infrastructure Deployment Plans	2022-04-26	2022-04-26		Under the IIJA, $5 billion has been allocated for the National Electric Vehicle Infrastructure Formula program for the next five years. Each state must submit an EV Infrastructure Deployment Plan to receive funding. Representatives from the trade associations for state energy offices and state transportation offices will discuss how states are developing these plans and describe ways for utilities to engage in this process.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Siemens Industry Logo"", ""Power Plan"", ""IGS Solar Logo"", ""Omicron logo"", ""TextPower Logo"", ""Whispir Logo"", ""Ubicquia"", ""convergent logo"", ""Dragos Logo"", ""ChargePoint"", ""verizon logo"", ""Duncan & Allen"", ""Baker Tilly logo"", ""Avant logo"", ""Oracle logo"", ""IPKeys logo"", ""Questline logo"", ""ARCOS logo"", ""Milwaukee logo"", ""Utilismart logo"", ""fortress logo"", ""UPA Logo"", ""Granicus Logo"", ""Logo"", ""Landis logo"", ""Automated Energy logo"", ""Milepost logo"", ""Hometown footer"", ""Daupler"", ""blue fire flame in blue box"", ""UFS Logo"", ""Tantalus logo"", ""Utility Services"", ""the energy authority logo"", ""Swell Energy logo"", ""Bierer Meters logo""]"							https://www.publicpower.org/event/working-with-states-ev-infrastructure-deployment-plans		"[""EducationInfo@PublicPower.org""]"		1
https://www.publicpower.org/event/spring-education-institute/strategic-rate-design-trends-and-distributed-generation-impacts	Strategic Rate Design: Trends and Distributed Generation Impacts	2022-04-26	2022-04-26		Part of the Spring Education Institute. Review rate trends and strategies from utilities across the nation and hear how others are integrating distributed energy resources and restructuring rates.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Siemens Industry Logo"", ""Power Plan"", ""IGS Solar Logo"", ""Omicron logo"", ""TextPower Logo"", ""Whispir Logo"", ""Ubicquia"", ""convergent logo"", ""Dragos Logo"", ""ChargePoint"", ""verizon logo"", ""Duncan & Allen"", ""Baker Tilly logo"", ""Avant logo"", ""Oracle logo"", ""IPKeys logo"", ""Questline logo"", ""ARCOS logo"", ""Milwaukee logo"", ""Utilismart logo"", ""fortress logo"", ""UPA Logo"", ""Granicus Logo"", ""Logo"", ""Landis logo"", ""Automated Energy logo"", ""Milepost logo"", ""Hometown footer"", ""Daupler"", ""blue fire flame in blue box"", ""UFS Logo"", ""Tantalus logo"", ""Utility Services"", ""the energy authority logo"", ""Swell Energy logo"", ""Bierer Meters logo""]"				Minneapolis, Minnesota	USA	Minneapolis, Minnesota	https://www.publicpower.org/event/spring-education-institute/strategic-rate-design-trends-and-distributed-generation-impacts	https://www.google.com/maps/place/Minneapolis,+MN,+USA/data=!4m2!3m1!1s0x52b333909377bbbd:0x939fc9842f7aee07?sa=X&ved=2ahUKEwj2hZKr8O72AhVRyoUKHf12A4YQ8gF6BAg0EAE	"[""EducationInfo@PublicPower.org""]"		0
https://www.publicpower.org/event/electric-vehicle-interest-group-quarterly-meeting	Electric Vehicle Interest Group Quarterly Meeting	2022-04-27	2022-04-27		The EVIG is a quarterly forum for our utility, state/regional association, joint action agency, and community choice aggregator associate members to learn about various EV and EV infrastructure topics from a range of experts.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Siemens Industry Logo"", ""Power Plan"", ""IGS Solar Logo"", ""Omicron logo"", ""TextPower Logo"", ""Whispir Logo"", ""Ubicquia"", ""convergent logo"", ""Dragos Logo"", ""ChargePoint"", ""verizon logo"", ""Duncan & Allen"", ""Baker Tilly logo"", ""Avant logo"", ""Oracle logo"", ""IPKeys logo"", ""Questline logo"", ""ARCOS logo"", ""Milwaukee logo"", ""Utilismart logo"", ""fortress logo"", ""UPA Logo"", ""Granicus Logo"", ""Logo"", ""Landis logo"", ""Automated Energy logo"", ""Milepost logo"", ""Hometown footer"", ""Daupler"", ""blue fire flame in blue box"", ""UFS Logo"", ""Tantalus logo"", ""Utility Services"", ""the energy authority logo"", ""Swell Energy logo"", ""Bierer Meters logo""]"							https://www.publicpower.org/event/electric-vehicle-interest-group-quarterly-meeting		"[""EducationInfo@PublicPower.org""]"		1
https://www.publicpower.org/event/spring-education-institute/work-order-and-asset-management-accounting	Work Order and Asset Management Accounting	2022-04-27	2022-04-27		Part of the Spring Education Institute. This interactive course covers basic and intermediate utility work asset management accounting concepts and applications.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Siemens Industry Logo"", ""Power Plan"", ""IGS Solar Logo"", ""Omicron logo"", ""TextPower Logo"", ""Whispir Logo"", ""Ubicquia"", ""convergent logo"", ""Dragos Logo"", ""ChargePoint"", ""verizon logo"", ""Duncan & Allen"", ""Baker Tilly logo"", ""Avant logo"", ""Oracle logo"", ""IPKeys logo"", ""Questline logo"", ""ARCOS logo"", ""Milwaukee logo"", ""Utilismart logo"", ""fortress logo"", ""UPA Logo"", ""Granicus Logo"", ""Logo"", ""Landis logo"", ""Automated Energy logo"", ""Milepost logo"", ""Hometown footer"", ""Daupler"", ""blue fire flame in blue box"", ""UFS Logo"", ""Tantalus logo"", ""Utility Services"", ""the energy authority logo"", ""Swell Energy logo"", ""Bierer Meters logo""]"				Minneapolis, Minnesota	USA	Minneapolis, Minnesota	https://www.publicpower.org/event/spring-education-institute/work-order-and-asset-management-accounting	https://www.google.com/maps/place/Minneapolis,+MN,+USA/data=!4m2!3m1!1s0x52b333909377bbbd:0x939fc9842f7aee07?sa=X&ved=2ahUKEwj2hZKr8O72AhVRyoUKHf12A4YQ8gF6BAg0EAE	"[""EducationInfo@PublicPower.org""]"		0
https://www.publicpower.org/event/spring-education-institute/cost-service-workshop-implementation-and-applications	Cost of Service Workshop: Implementation and Applications	2022-04-27	2022-04-28		Part of the Spring Education Institute. Explore the ins and outs of cost of service — from key concepts to the nuts and bolts of working through a cost of service model.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Siemens Industry Logo"", ""Power Plan"", ""IGS Solar Logo"", ""Omicron logo"", ""TextPower Logo"", ""Whispir Logo"", ""Ubicquia"", ""convergent logo"", ""Dragos Logo"", ""ChargePoint"", ""verizon logo"", ""Duncan & Allen"", ""Baker Tilly logo"", ""Avant logo"", ""Oracle logo"", ""IPKeys logo"", ""Questline logo"", ""ARCOS logo"", ""Milwaukee logo"", ""Utilismart logo"", ""fortress logo"", ""UPA Logo"", ""Granicus Logo"", ""Logo"", ""Landis logo"", ""Automated Energy logo"", ""Milepost logo"", ""Hometown footer"", ""Daupler"", ""blue fire flame in blue box"", ""UFS Logo"", ""Tantalus logo"", ""Utility Services"", ""the energy authority logo"", ""Swell Energy logo"", ""Bierer Meters logo""]"				Minneapolis, Minnesota	USA	Minneapolis, Minnesota	https://www.publicpower.org/event/spring-education-institute/cost-service-workshop-implementation-and-applications	https://www.google.com/maps/place/Minneapolis,+MN,+USA/data=!4m2!3m1!1s0x52b333909377bbbd:0x939fc9842f7aee07?sa=X&ved=2ahUKEwj2hZKr8O72AhVRyoUKHf12A4YQ8gF6BAg0EAE	"[""EducationInfo@PublicPower.org""]"		0
