scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://www.publicpower.org/event/spring-education-institute/constructing-operating-and-maintaining-underground-distribution-systems	Constructing, Operating and Maintaining Underground Distribution Systems	2022-04-25	2022-04-27		Part of the Spring Education Institute. Learn all about the effective design, construction, operation and maintenance of underground electric distribution systems.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Whispir Logo"", ""fortress logo"", ""Tantalus logo"", ""Milepost logo"", ""Avant logo"", ""ChargePoint"", ""Oracle logo"", ""Daupler"", ""Automated Energy logo"", ""blue fire flame in blue box"", ""Ubicquia"", ""Crossover Energy Partners Logo"", ""verizon logo"", ""Landis logo"", ""Power Plan"", ""convergent logo"", ""Siemens Industry Logo"", ""Dragos Logo"", ""Duncan & Allen"", ""Swell Energy logo"", ""the energy authority logo"", ""UPA Logo"", ""Utilismart logo"", ""UFS Logo"", ""Utility Services"", ""Questline logo"", ""TextPower Logo"", ""ARCOS logo"", ""Omicron logo"", ""Milwaukee logo"", ""Granicus Logo"", ""IGS Solar Logo"", ""Logo"", ""Merrimac Logo"", ""Bierer Meters logo"", ""Baker Tilly logo""]"				Minneapolis	United States	Minneapolis	https://www.publicpower.org/event/spring-education-institute/constructing-operating-and-maintaining-underground-distribution-systems	https://www.google.com/maps/place/Minneapolis,+MN,+USA/data=!4m2!3m1!1s0x52b333909377bbbd:0x939fc9842f7aee07?sa=X&ved=2ahUKEwjiucjctKz3AhX3g_0HHbmlAWsQ8gF6BAhKEAE	"[""EducationInfo@PublicPower.org""]"		0
https://www.publicpower.org/event/spring-education-institute/basic-cost-service-key-financial-concepts	Basic Cost of Service & Key Financial Concepts	2022-04-25	2022-04-25		Part of the Spring Education Institute. Explore the ins and outs of cost of service — from basic concepts to leveraging data for decision making.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Whispir Logo"", ""fortress logo"", ""Tantalus logo"", ""Milepost logo"", ""Avant logo"", ""ChargePoint"", ""Oracle logo"", ""Daupler"", ""Automated Energy logo"", ""blue fire flame in blue box"", ""Ubicquia"", ""Crossover Energy Partners Logo"", ""verizon logo"", ""Landis logo"", ""Power Plan"", ""convergent logo"", ""Siemens Industry Logo"", ""Dragos Logo"", ""Duncan & Allen"", ""Swell Energy logo"", ""the energy authority logo"", ""UPA Logo"", ""Utilismart logo"", ""UFS Logo"", ""Utility Services"", ""Questline logo"", ""TextPower Logo"", ""ARCOS logo"", ""Omicron logo"", ""Milwaukee logo"", ""Granicus Logo"", ""IGS Solar Logo"", ""Logo"", ""Merrimac Logo"", ""Bierer Meters logo"", ""Baker Tilly logo""]"				Minneapolis	United States	Minneapolis	https://www.publicpower.org/event/spring-education-institute/basic-cost-service-key-financial-concepts	https://www.google.com/maps/place/Minneapolis,+MN,+USA/data=!4m2!3m1!1s0x52b333909377bbbd:0x939fc9842f7aee07?sa=X&ved=2ahUKEwjiucjctKz3AhX3g_0HHbmlAWsQ8gF6BAhKEAE	"[""EducationInfo@PublicPower.org""]"		0
https://www.publicpower.org/event/spring-education-institute/strategic-rate-design-trends-and-distributed-generation-impacts	Strategic Rate Design: Trends and Distributed Generation Impacts	2022-04-26	2022-04-26		Part of the Spring Education Institute. Review rate trends and strategies from utilities across the nation and hear how others are integrating distributed energy resources and restructuring rates.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Whispir Logo"", ""fortress logo"", ""Tantalus logo"", ""Milepost logo"", ""Avant logo"", ""ChargePoint"", ""Oracle logo"", ""Daupler"", ""Automated Energy logo"", ""blue fire flame in blue box"", ""Ubicquia"", ""Crossover Energy Partners Logo"", ""verizon logo"", ""Landis logo"", ""Power Plan"", ""convergent logo"", ""Siemens Industry Logo"", ""Dragos Logo"", ""Duncan & Allen"", ""Swell Energy logo"", ""the energy authority logo"", ""UPA Logo"", ""Utilismart logo"", ""UFS Logo"", ""Utility Services"", ""Questline logo"", ""TextPower Logo"", ""ARCOS logo"", ""Omicron logo"", ""Milwaukee logo"", ""Granicus Logo"", ""IGS Solar Logo"", ""Logo"", ""Merrimac Logo"", ""Bierer Meters logo"", ""Baker Tilly logo""]"				Minneapolis	United States	Minneapolis	https://www.publicpower.org/event/spring-education-institute/strategic-rate-design-trends-and-distributed-generation-impacts	https://www.google.com/maps/place/Minneapolis,+MN,+USA/data=!4m2!3m1!1s0x52b333909377bbbd:0x939fc9842f7aee07?sa=X&ved=2ahUKEwjiucjctKz3AhX3g_0HHbmlAWsQ8gF6BAhKEAE	"[""EducationInfo@PublicPower.org""]"		0
https://www.publicpower.org/event/working-with-states-ev-infrastructure-deployment-plans	Working with States on EV Infrastructure Deployment Plans	2022-04-26	2022-04-26		Under the IIJA, $5 billion has been allocated for the National Electric Vehicle Infrastructure Formula program for the next five years. Each state must submit an EV Infrastructure Deployment Plan to receive funding. Representatives from the trade associations for state energy offices and state transportation offices will discuss how states are developing these plans and describe ways for utilities to engage in this process.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Whispir Logo"", ""fortress logo"", ""Tantalus logo"", ""Milepost logo"", ""Avant logo"", ""ChargePoint"", ""Oracle logo"", ""Daupler"", ""Automated Energy logo"", ""blue fire flame in blue box"", ""Ubicquia"", ""Crossover Energy Partners Logo"", ""verizon logo"", ""Landis logo"", ""Power Plan"", ""convergent logo"", ""Siemens Industry Logo"", ""Dragos Logo"", ""Duncan & Allen"", ""Swell Energy logo"", ""the energy authority logo"", ""UPA Logo"", ""Utilismart logo"", ""UFS Logo"", ""Utility Services"", ""Questline logo"", ""TextPower Logo"", ""ARCOS logo"", ""Omicron logo"", ""Milwaukee logo"", ""Granicus Logo"", ""IGS Solar Logo"", ""Logo"", ""Merrimac Logo"", ""Bierer Meters logo"", ""Baker Tilly logo""]"							https://www.publicpower.org/event/working-with-states-ev-infrastructure-deployment-plans		"[""EducationInfo@PublicPower.org""]"		1
https://www.publicpower.org/event/spring-education-institute/work-order-and-asset-management-accounting	Work Order and Asset Management Accounting	2022-04-27	2022-04-27		Part of the Spring Education Institute. This interactive course covers basic and intermediate utility work asset management accounting concepts and applications.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Whispir Logo"", ""fortress logo"", ""Tantalus logo"", ""Milepost logo"", ""Avant logo"", ""ChargePoint"", ""Oracle logo"", ""Daupler"", ""Automated Energy logo"", ""blue fire flame in blue box"", ""Ubicquia"", ""Crossover Energy Partners Logo"", ""verizon logo"", ""Landis logo"", ""Power Plan"", ""convergent logo"", ""Siemens Industry Logo"", ""Dragos Logo"", ""Duncan & Allen"", ""Swell Energy logo"", ""the energy authority logo"", ""UPA Logo"", ""Utilismart logo"", ""UFS Logo"", ""Utility Services"", ""Questline logo"", ""TextPower Logo"", ""ARCOS logo"", ""Omicron logo"", ""Milwaukee logo"", ""Granicus Logo"", ""IGS Solar Logo"", ""Logo"", ""Merrimac Logo"", ""Bierer Meters logo"", ""Baker Tilly logo""]"				Minneapolis	United States	Minneapolis	https://www.publicpower.org/event/spring-education-institute/work-order-and-asset-management-accounting		"[""EducationInfo@PublicPower.org""]"		0
https://www.publicpower.org/event/spring-education-institute/cost-service-workshop-implementation-and-applications	Cost of Service Workshop: Implementation and Applications	2022-04-27	2022-04-28		Part of the Spring Education Institute. Explore the ins and outs of cost of service — from key concepts to the nuts and bolts of working through a cost of service model.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Whispir Logo"", ""fortress logo"", ""Tantalus logo"", ""Milepost logo"", ""Avant logo"", ""ChargePoint"", ""Oracle logo"", ""Daupler"", ""Automated Energy logo"", ""blue fire flame in blue box"", ""Ubicquia"", ""Crossover Energy Partners Logo"", ""verizon logo"", ""Landis logo"", ""Power Plan"", ""convergent logo"", ""Siemens Industry Logo"", ""Dragos Logo"", ""Duncan & Allen"", ""Swell Energy logo"", ""the energy authority logo"", ""UPA Logo"", ""Utilismart logo"", ""UFS Logo"", ""Utility Services"", ""Questline logo"", ""TextPower Logo"", ""ARCOS logo"", ""Omicron logo"", ""Milwaukee logo"", ""Granicus Logo"", ""IGS Solar Logo"", ""Logo"", ""Merrimac Logo"", ""Bierer Meters logo"", ""Baker Tilly logo""]"				Minneapolis	United States	Minneapolis	https://www.publicpower.org/event/spring-education-institute/cost-service-workshop-implementation-and-applications		"[""EducationInfo@PublicPower.org""]"		0
https://www.publicpower.org/event/electric-vehicle-interest-group-quarterly-meeting	Electric Vehicle Interest Group Quarterly Meeting	2022-04-27	2022-04-27		The EVIG is a quarterly forum for our utility, state/regional association, joint action agency, and community choice aggregator associate members to learn about various EV and EV infrastructure topics from a range of experts.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Whispir Logo"", ""fortress logo"", ""Tantalus logo"", ""Milepost logo"", ""Avant logo"", ""ChargePoint"", ""Oracle logo"", ""Daupler"", ""Automated Energy logo"", ""blue fire flame in blue box"", ""Ubicquia"", ""Crossover Energy Partners Logo"", ""verizon logo"", ""Landis logo"", ""Power Plan"", ""convergent logo"", ""Siemens Industry Logo"", ""Dragos Logo"", ""Duncan & Allen"", ""Swell Energy logo"", ""the energy authority logo"", ""UPA Logo"", ""Utilismart logo"", ""UFS Logo"", ""Utility Services"", ""Questline logo"", ""TextPower Logo"", ""ARCOS logo"", ""Omicron logo"", ""Milwaukee logo"", ""Granicus Logo"", ""IGS Solar Logo"", ""Logo"", ""Merrimac Logo"", ""Bierer Meters logo"", ""Baker Tilly logo""]"							https://www.publicpower.org/event/electric-vehicle-interest-group-quarterly-meeting		"[""EducationInfo@PublicPower.org""]"		1
https://www.publicpower.org/event/spring-education-institute/advanced-public-utility-accounting	Advanced Public Utility Accounting	2022-04-28	2022-04-29		Part of the Spring Education Institute. This practical course examines the more complicated aspects of accounting theory and practice to inform planning and decision-making and help execute your day-to-day work more efficiently and effectively.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Whispir Logo"", ""fortress logo"", ""Tantalus logo"", ""Milepost logo"", ""Avant logo"", ""ChargePoint"", ""Oracle logo"", ""Daupler"", ""Automated Energy logo"", ""blue fire flame in blue box"", ""Ubicquia"", ""Crossover Energy Partners Logo"", ""verizon logo"", ""Landis logo"", ""Power Plan"", ""convergent logo"", ""Siemens Industry Logo"", ""Dragos Logo"", ""Duncan & Allen"", ""Swell Energy logo"", ""the energy authority logo"", ""UPA Logo"", ""Utilismart logo"", ""UFS Logo"", ""Utility Services"", ""Questline logo"", ""TextPower Logo"", ""ARCOS logo"", ""Omicron logo"", ""Milwaukee logo"", ""Granicus Logo"", ""IGS Solar Logo"", ""Logo"", ""Merrimac Logo"", ""Bierer Meters logo"", ""Baker Tilly logo""]"				Minneapolis	United States	Minneapolis	https://www.publicpower.org/event/spring-education-institute/advanced-public-utility-accounting		"[""EducationInfo@PublicPower.org""]"		0
https://www.publicpower.org/event/spring-education-institute/advanced-underground-distribution-systems	Advanced Underground Distribution Systems	2022-04-28	2022-04-29		Part of the Spring Education Institute. Learn all about underground structural design principles including the practical application of a design program.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/		"[""Whispir Logo"", ""fortress logo"", ""Tantalus logo"", ""Milepost logo"", ""Avant logo"", ""ChargePoint"", ""Oracle logo"", ""Daupler"", ""Automated Energy logo"", ""blue fire flame in blue box"", ""Ubicquia"", ""Crossover Energy Partners Logo"", ""verizon logo"", ""Landis logo"", ""Power Plan"", ""convergent logo"", ""Siemens Industry Logo"", ""Dragos Logo"", ""Duncan & Allen"", ""Swell Energy logo"", ""the energy authority logo"", ""UPA Logo"", ""Utilismart logo"", ""UFS Logo"", ""Utility Services"", ""Questline logo"", ""TextPower Logo"", ""ARCOS logo"", ""Omicron logo"", ""Milwaukee logo"", ""Granicus Logo"", ""IGS Solar Logo"", ""Logo"", ""Merrimac Logo"", ""Bierer Meters logo"", ""Baker Tilly logo""]"				Minneapolis	United States	Minneapolis	https://www.publicpower.org/event/spring-education-institute/advanced-underground-distribution-systems		"[""EducationInfo@PublicPower.org""]"		0
https://www.publicpower.org/event/supply-chain-management-summit	Supply Chain & Management Summit	2022-05-05	2022-05-06		Get updates on current disruptions, learn how other utilities are managing their risks, and share strategies for dealing with these challenges.		The American Public Power Association is the voice of not-for-profit, community-owned utilities that power 2,000 towns and cities nationwide.	American Public Power Association	https://www.publicpower.org/						Arlington	USA	Arlington	https://www.publicpower.org/event/supply-chain-management-summit	https://www.google.com/maps/place/Arlington,+TX,+USA/data=!4m2!3m1!1s0x864e62d2e40898d3:0xb5ef6ac1fa05351?sa=X&ved=2ahUKEwjw-cuOtaz3AhVrhP0HHXq5DOUQ8gF6BAg3EAE	"[""EducationInfo@PublicPower.org""]"		0
