scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://www.aist.org/Local-Member-Chapters/Find-A-Chapter/Pittsburgh/Dinner-Meeting-(1)	"
Dinner Meeting
"							AIST Pittsburgh Member Chapter	https://www.aist.org/						Pennsylvania	United States	Pennsylvania	https://www.aist.org/Local-Member-Chapters/Find-A-Chapter/Pittsburgh/Dinner-Meeting-(1)	"https://www.google.com/maps/place/Pennsylvania,+USA/@41.0297685,-82.0942994,6z/data=!3m1!4b1!4m5!3m4!1s0x882d80261e32e589:0xc24621475022b43d!8m2!3d41.2033216!4d-77.1945247"	memberservices@aist.org		0
https://www.aist.org/Local-Member-Chapters/Find-A-Chapter/Northeastern-Ohio/Young-Engineers-Night	"
Young Engineers' Night
"							AIST Northeastern Ohio Member Chapter	https://www.aist.org/									https://www.aist.org/Local-Member-Chapters/Find-A-Chapter/Northeastern-Ohio/Young-Engineers-Night		memberservices@aist.org		1
"https://www.aist.org/Conference-Expositions/Technology-Training/The-Making,-Shaping-and-Treating-of-Steel-101/The-Making,-Shaping-and-Treating-of-Steel-101"	"
The Making, Shaping and Treating of Steel: 101
"							AIST	https://www.aist.org/						Alabama	United States	Alabama	"https://www.aist.org/Conference-Expositions/Technology-Training/The-Making,-Shaping-and-Treating-of-Steel-101/The-Making,-Shaping-and-Treating-of-Steel-101"	"https://www.google.com/maps/place/Alabama,+USA/data=!4m2!3m1!1s0x88867f341f4bfe75:0x5e55343553c8cce9?sa=X&ved=2ahUKEwiHgp_u8-_2AhVogc4BHdTSDnoQ8gF6BAhAEAE"	memberservices@aist.org		0
https://www.aist.org/Local-Member-Chapters/Find-A-Chapter/Philadelphia/Dinner-Meeting	"
Dinner Meeting and Museum Tour
"							AIST Philadelphia Member Chapter	https://www.aist.org/						Pennsylvania	United States	Pennsylvania	https://www.aist.org/Local-Member-Chapters/Find-A-Chapter/Philadelphia/Dinner-Meeting	"https://www.google.com/maps/place/Pennsylvania,+USA/data=!4m2!3m1!1s0x882d80261e32e589:0xc24621475022b43d?sa=X&ved=2ahUKEwiI-qj98-_2AhVKOhoKHUnxBTYQ8gF6BAgqEAE"	memberservices@aist.org		0
https://www.aist.org/Local-Member-Chapters/Find-A-Chapter/Detroit/Dinner-Meeting-U-S-Steel-Night	"
Dinner Meeting - U.S. Steel Night
"							AIST Detroit Member Chapter	https://www.aist.org/						Michigan	United States	Michigan	https://www.aist.org/Local-Member-Chapters/Find-A-Chapter/Detroit/Dinner-Meeting-U-S-Steel-Night	"https://www.google.com/maps/place/Michigan,+USA/data=!4m2!3m1!1s0x4d4caa3dc7ca0411:0x97dd48597a62c9b3?sa=X&ved=2ahUKEwilr-CF9O_2AhVDzIUKHaSwAVEQ8gF6BAg2EAE"	memberservices@aist.org		0
https://www.aist.org/Local-Member-Chapters/Find-A-Chapter/Midwest/Dinner-Meeting-(1)	"
Dinner Meeting
"							AIST Midwest Member Chapter	https://www.aist.org/						Indiana	United States	Indiana	https://www.aist.org/Local-Member-Chapters/Find-A-Chapter/Midwest/Dinner-Meeting-(1)	"https://www.google.com/maps/place/Indiana,+USA/data=!4m2!3m1!1s0x886b50bcd9f81b1d:0x7e102fcecb32ec72?sa=X&ved=2ahUKEwiStpeT9O_2AhXIxoUKHYWzBG8Q8gF6BAgqEAE"	memberservices@aist.org		0
https://www.aist.org/Students-Faculty/Faculty-Grants-and-Programs/AIST-Foundation-Faculty-Grants-Information/AIST-Foundation-Faculty-Grant-meeting-webinar	"
AIST Foundation Faculty Grants Session
"							AIST Foundation	https://www.aist.org/									https://www.aist.org/Students-Faculty/Faculty-Grants-and-Programs/AIST-Foundation-Faculty-Grants-Information/AIST-Foundation-Faculty-Grant-meeting-webinar		memberservices@aist.org		1
https://www.aist.org/Conference-Expositions/Webinars/Automated-Inclusion-Analysis/Automated-Inclusion-Analysis	"
Automated Inclusion Analysis
"							AIST	https://www.aist.org/									https://www.aist.org/Conference-Expositions/Webinars/Automated-Inclusion-Analysis/Automated-Inclusion-Analysis		memberservices@aist.org		1
https://www.aist.org/Local-Member-Chapters/Find-A-Chapter/Northeastern-Ohio/Dinner-Meeting	"
Dinner Meeting
"							AIST Northeastern Ohio Member Chapter	https://www.aist.org/						Ohio	United States	Ohio	https://www.aist.org/Local-Member-Chapters/Find-A-Chapter/Northeastern-Ohio/Dinner-Meeting	"https://www.google.com/maps/place/Ohio,+USA/data=!4m2!3m1!1s0x8836e97ab54d8ec1:0xe5cd64399c9fd916?sa=X&ved=2ahUKEwjc95jF9O_2AhUnzoUKHZ8gAUIQ8gF6BAgkEAE"	memberservices@aist.org		0
https://www.aist.org/Technology-Committees/Find-A-Committee/Digitalization-Applications/Digitalization-Applications-Technology-Committee	"
Digitalization Applications Technology Committee
"							AIST Digitalization Applications Technology Committee	https://www.aist.org/						Pennsylvania	United States	Pennsylvania	https://www.aist.org/Technology-Committees/Find-A-Committee/Digitalization-Applications/Digitalization-Applications-Technology-Committee	"https://www.google.com/maps/place/Pennsylvania,+USA/data=!4m2!3m1!1s0x882d80261e32e589:0xc24621475022b43d?sa=X&ved=2ahUKEwiI-qj98-_2AhVKOhoKHUnxBTYQ8gF6BAgqEAE"	memberservices@aist.org		0
