scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://www.akademie-heidelberg.de/seminar/markencolloquium	MarkenColloquium	20-09-2021	08-08-2022	"{""type"": ""general"", ""start_time"": ""04:00PM"", ""end_time"": ""05:00PM"", ""timezone"": ""Uhr"", ""days"": ""all""}"		"{""type"": ""paid"", ""price"": ""Mitgliedsbeitrag"", ""currency"": ""\u20ac""}"	"Das Team der Akademie Heidelberg ist mit über 20-jähriger fundierter Erfahrung Ihr 
                Partner in Sachen gezielter Fort- und Weiterbildung. Speziell für Sie selektieren 
                wir in einem komplexen Umfeld die entscheidenden Informationen und setzen sie in 
                exakt auf Ihren Bedarf zugeschnittene Veranstaltungen um"	Akademie für Fortbildung Heidelberg	https://www.akademie-heidelberg.de/									https://www.akademie-heidelberg.de/termin/markencolloquium			"[{""name"": ""Dr. Senta Bingener"", ""title"": ""Regierungsdirektorin"", ""link"": """"}, {""name"": ""Dr. Volkmar Bonn"", ""title"": ""Leiter Marken- und Designrecht"", ""link"": """"}, {""name"": ""RA Dr. Andreas Lubberger"", ""title"": ""Partner"", ""link"": """"}, {""name"": ""Lars Meinhardt"", ""title"": ""Richter am Oberlandesgericht, Mitglied des 29. Zivilsenats"", ""link"": """"}, {""name"": ""Dr. Christiane Schmaltz"", ""title"": ""Richterin am Bundesgerichtshof, Mitglied des I. Zivilsenats"", ""link"": """"}, {""name"": ""Dr. Verena von Bomhard"", ""title"": ""Rechtsanw\u00e4ltin, Partner"", ""link"": """"}]"	1
https://www.akademie-heidelberg.de/seminar/fernstudium-gewerblicher-rechtsschutz-kompakt	Fernstudium: Gewerblicher Rechtsschutz kompakt	01-10-2021	31-03-2022	"{""type"": ""general"", ""start_time"": ""10:00AM"", ""end_time"": ""10:00AM"", ""timezone"": ""Uhr"", ""days"": ""all""}"		"{""type"": ""paid"", ""price"": ""1.030"", ""currency"": ""\u20ac""}"	"Das Team der Akademie Heidelberg ist mit über 20-jähriger fundierter Erfahrung Ihr 
                Partner in Sachen gezielter Fort- und Weiterbildung. Speziell für Sie selektieren 
                wir in einem komplexen Umfeld die entscheidenden Informationen und setzen sie in 
                exakt auf Ihren Bedarf zugeschnittene Veranstaltungen um"	Akademie für Fortbildung Heidelberg	https://www.akademie-heidelberg.de/						Luxemburger Str. 10, 13353 Berlin	Gemany	Luxemburger Str. 10, 13353 Berlin	https://www.akademie-heidelberg.de/termin/fernstudium-gewerblicher-rechtsschutz-kompakt-4	https://www.google.com/maps/place/Berliner+Hochschule+f%C3%BCr+Technik,+Luxemburger+Str.+10,+13353+Berlin,+Germany/data=!4m2!3m1!1s0x47a8517eddfb5539:0x78e0b1790a64334e?sa=X&ved=2ahUKEwihzu7pi-_2AhVOh_0HHSegD4sQ8gF6BAgFEAE			0
https://www.akademie-heidelberg.de/seminar/qualifikationslehrgang-fachreferentin-marisk-compliance	Qualifikationslehrgang Fachreferent*in MaRisk-Compliance	01-01-2022	31-12-2022	"{""type"": ""general"", ""start_time"": ""09:00AM"", ""end_time"": ""04:00PM"", ""timezone"": ""Uhr"", ""days"": ""all""}"		"{""type"": ""paid"", ""price"": ""2.400"", ""currency"": ""\u20ac""}"	"Das Team der Akademie Heidelberg ist mit über 20-jähriger fundierter Erfahrung Ihr 
                Partner in Sachen gezielter Fort- und Weiterbildung. Speziell für Sie selektieren 
                wir in einem komplexen Umfeld die entscheidenden Informationen und setzen sie in 
                exakt auf Ihren Bedarf zugeschnittene Veranstaltungen um"	Akademie für Fortbildung Heidelberg	https://www.akademie-heidelberg.de/									https://www.akademie-heidelberg.de/termin/qualifikationslehrgang-fachreferentin-marisk-compliance-0				1
https://www.akademie-heidelberg.de/seminar/patentcurriculum	PatentCurriculum	08-12-2021	29-06-2022	"{""type"": ""general"", ""start_time"": ""03:00PM"", ""end_time"": ""04:00PM"", ""timezone"": ""Uhr"", ""days"": ""all""}"		"{""type"": ""paid"", ""price"": ""Mitgliedsgeb\u00fchr"", ""currency"": ""\u20ac""}"	"Das Team der Akademie Heidelberg ist mit über 20-jähriger fundierter Erfahrung Ihr 
                Partner in Sachen gezielter Fort- und Weiterbildung. Speziell für Sie selektieren 
                wir in einem komplexen Umfeld die entscheidenden Informationen und setzen sie in 
                exakt auf Ihren Bedarf zugeschnittene Veranstaltungen um"	Akademie für Fortbildung Heidelberg	https://www.akademie-heidelberg.de/									https://www.akademie-heidelberg.de/termin/patentcurriculum-1			"[{""name"": ""Dr. Thomas K\u00fchnen"", ""title"": ""Vorsitzender Richter des 2. Zivilsenats"", ""link"": """"}]"	1
https://www.akademie-heidelberg.de/seminar/qualifikationslehrgang-fachreferentin-marisk-compliance	Qualifikationslehrgang Fachreferent*in MaRisk-Compliance	01-01-2022	31-12-2022	"{""type"": ""general"", ""start_time"": ""09:00AM"", ""end_time"": ""04:00PM"", ""timezone"": ""Uhr"", ""days"": ""all""}"		"{""type"": ""paid"", ""price"": ""2.400"", ""currency"": ""\u20ac""}"	"Das Team der Akademie Heidelberg ist mit über 20-jähriger fundierter Erfahrung Ihr 
                Partner in Sachen gezielter Fort- und Weiterbildung. Speziell für Sie selektieren 
                wir in einem komplexen Umfeld die entscheidenden Informationen und setzen sie in 
                exakt auf Ihren Bedarf zugeschnittene Veranstaltungen um"	Akademie für Fortbildung Heidelberg	https://www.akademie-heidelberg.de/									https://www.akademie-heidelberg.de/termin/qualifikationslehrgang-fachreferentin-marisk-compliance-0				1
https://www.akademie-heidelberg.de/seminar/presentation-skills	Presentation Skills	27-01-2022	30-06-2022	"{""type"": ""general"", ""start_time"": ""09:00AM"", ""end_time"": ""12:00PM"", ""timezone"": ""Uhr"", ""days"": ""all""}"		"{""type"": ""paid"", ""price"": ""1.795"", ""currency"": ""\u20ac""}"	"Das Team der Akademie Heidelberg ist mit über 20-jähriger fundierter Erfahrung Ihr 
                Partner in Sachen gezielter Fort- und Weiterbildung. Speziell für Sie selektieren 
                wir in einem komplexen Umfeld die entscheidenden Informationen und setzen sie in 
                exakt auf Ihren Bedarf zugeschnittene Veranstaltungen um"	Akademie für Fortbildung Heidelberg	https://www.akademie-heidelberg.de/									https://www.akademie-heidelberg.de/termin/presentation-skills			"[{""name"": ""Bill Child"", ""title"": ""Business English Trainer and Coach"", ""link"": """"}]"	1
https://www.akademie-heidelberg.de/seminar/10-zertifikatslehrgang-pharmacovigilance-manager	10. Zertifikatslehrgang: Pharmacovigilance Manager	01-04-2022	18-11-2022	"{""type"": ""general"", ""start_time"": ""10:00AM"", ""end_time"": ""12:00PM"", ""timezone"": ""Uhr"", ""days"": ""all""}"		"{""type"": ""paid"", ""price"": ""5.990"", ""currency"": ""\u20ac""}"	"Das Team der Akademie Heidelberg ist mit über 20-jähriger fundierter Erfahrung Ihr 
                Partner in Sachen gezielter Fort- und Weiterbildung. Speziell für Sie selektieren 
                wir in einem komplexen Umfeld die entscheidenden Informationen und setzen sie in 
                exakt auf Ihren Bedarf zugeschnittene Veranstaltungen um"	Akademie für Fortbildung Heidelberg	https://www.akademie-heidelberg.de/									https://www.akademie-heidelberg.de/termin/10-zertifikatslehrgang-pharmacovigilance-manager-0			"[{""name"": ""Dr. med., Dipl.-Inf. Susanne Kienzle-Horn"", ""title"": ""Senior Consultant"", ""link"": """"}, {""name"": ""Dr. med. Renald Hennig, MBA"", ""title"": ""Senior Consultant"", ""link"": """"}, {""name"": ""Meike Dahlke"", ""title"": ""Scientific Manager Pharmacovigilance"", ""link"": """"}, {""name"": ""Maria Habl"", ""title"": ""Lead PV Quality Assurance"", ""link"": """"}, {""name"": ""RA Christian Karle"", ""title"": ""Fachanwalt f\u00fcr Gewerblichen Rechtsschutz "", ""link"": """"}, {""name"": ""Magnus L\u00fchring"", ""title"": ""Senior Manager Pharmacovigilance"", ""link"": """"}, {""name"": ""Dr. rer. nat. Nicole Niemeier-Siegl"", ""title"": ""Senior Scientific Manager Pharmacovigilance"", ""link"": """"}, {""name"": ""Dr. Bianca Scholz"", ""title"": ""Gesch\u00e4ftsf\u00fchrerin, Lead Auditor DGQ/EOQ"", ""link"": """"}, {""name"": ""Dr. Carsten Wieser"", ""title"": ""Director Regulatory Affairs &amp; Drug Safety"", ""link"": """"}, {""name"": ""Dr. L\u00e9onie Zimmermann"", ""title"": ""Referentin Arzneimittelsicherheit"", ""link"": """"}]"	1
https://www.akademie-heidelberg.de/seminar/praxislehrgang-zertifizierter-anti-financial-crime-officer	Praxislehrgang Zertifizierter Anti-Financial Crime Officer	21-03-2022	29-03-2022	"{""type"": ""general"", ""start_time"": ""09:00AM"", ""end_time"": ""05:15PM"", ""timezone"": ""Uhr"", ""days"": ""all""}"		"{""type"": ""paid"", ""price"": ""3.480"", ""currency"": ""\u20ac""}"	"Das Team der Akademie Heidelberg ist mit über 20-jähriger fundierter Erfahrung Ihr 
                Partner in Sachen gezielter Fort- und Weiterbildung. Speziell für Sie selektieren 
                wir in einem komplexen Umfeld die entscheidenden Informationen und setzen sie in 
                exakt auf Ihren Bedarf zugeschnittene Veranstaltungen um"	Akademie für Fortbildung Heidelberg	https://www.akademie-heidelberg.de/									https://www.akademie-heidelberg.de/termin/5-taegiger-praxislehrgang-zertifizierter-anti-financial-crime-officer-0			"[{""name"": ""Knut C. Reiser"", ""title"": ""Senior Anti-Financial Crime Expert"", ""link"": """"}, {""name"": ""RAin Ilka Brian"", ""title"": ""Compliance Counsel, Head of Global Standards AML"", ""link"": """"}, {""name"": ""Holger Br\u00fcmmer"", ""title"": ""Bereichsleiter Betrugsmanagement Strategie"", ""link"": """"}, {""name"": ""Oliver Hecker"", ""title"": ""Director, Competence Team Compliance"", ""link"": """"}, {""name"": ""Carsten Helm"", ""title"": ""Leiter Group Compliance, Anti-Fraud, Bribery &amp; Corruption"", ""link"": """"}, {""name"": ""Peter Hessel"", ""title"": ""Erster Polizeihauptkommissar, Leiter Zentrale Ermittlungen/Dokumentenpr\u00fcfer"", ""link"": """"}, {""name"": ""Valentina Ilievska"", ""title"": ""Kriminalhauptkommissarin"", ""link"": """"}, {""name"": ""RA Dr. Joachim Kaetzler"", ""title"": ""Partner"", ""link"": """"}, {""name"": ""Marc Peter Klein"", ""title"": ""Head Business Line AFC Corporate &amp; Investment Bank Germany/EMEA"", ""link"": """"}, {""name"": ""Michael K\u00f6hn"", ""title"": ""Bereichsleiter Anti-Financial Crime &amp; Geldw\u00e4sche-Beauftragter"", ""link"": """"}, {""name"": ""Andreas Koukoussas"", ""title"": ""Stv. GW-Beauftragter, Head of AML Case Management"", ""link"": """"}, {""name"": ""RA Niels Christopher Litzka"", ""title"": ""Bereichsleiter Global Special Reviews &amp; Analysis"", ""link"": """"}, {""name"": ""Dirk Mayer"", ""title"": ""Fraud Consultant &amp; Catalyst"", ""link"": """"}, {""name"": ""Dr. Barbara Roth"", ""title"": ""Head of Group Audit"", ""link"": """"}, {""name"": ""Julian Sch\u00e4fer"", ""title"": ""Head of AML Investigations Germany &amp; EMEA"", ""link"": """"}, {""name"": ""Dr. Christopher Schlosser"", ""title"": ""Regulation, Compliance &amp; Anti-Financial Crime, Business Line AFC CB Germany"", ""link"": """"}, {""name"": ""Ralf Staamann"", ""title"": ""Leiter Geldw\u00e4sche- und Betrugspr\u00e4vention"", ""link"": """"}, {""name"": ""Dr. Stephan Vitzthum"", ""title"": ""Associate Partner"", ""link"": """"}, {""name"": ""Michael Zammert"", ""title"": ""Chief Compliance Officer"", ""link"": """"}]"	1
https://www.akademie-heidelberg.de/seminar/kyc-bei-sparkassen	KYC bei Sparkassen					"{""type"": ""paid"", ""price"": ""400"", ""currency"": ""\u20ac""}"	"Das Team der Akademie Heidelberg ist mit über 20-jähriger fundierter Erfahrung Ihr 
                Partner in Sachen gezielter Fort- und Weiterbildung. Speziell für Sie selektieren 
                wir in einem komplexen Umfeld die entscheidenden Informationen und setzen sie in 
                exakt auf Ihren Bedarf zugeschnittene Veranstaltungen um"	Akademie für Fortbildung Heidelberg	https://www.akademie-heidelberg.de/									https://www.akademie-heidelberg.de/seminar/kyc-bei-sparkassen			"[{""name"": ""Dr. Asmerom Ogbamichael"", ""title"": ""Rechtsanwalt"", ""link"": """"}, {""name"": ""Sebastian Weschler"", ""title"": ""Stv. Geldw\u00e4sche-Beauftragter"", ""link"": """"}]"	1
https://www.akademie-heidelberg.de/seminar/geldwaesche-schulung-fuer-sparkassen	Geldwäsche-Schulung für Sparkassen					"{""type"": ""paid"", ""price"": ""1.280"", ""currency"": ""\u20ac""}"	"Das Team der Akademie Heidelberg ist mit über 20-jähriger fundierter Erfahrung Ihr 
                Partner in Sachen gezielter Fort- und Weiterbildung. Speziell für Sie selektieren 
                wir in einem komplexen Umfeld die entscheidenden Informationen und setzen sie in 
                exakt auf Ihren Bedarf zugeschnittene Veranstaltungen um"	Akademie für Fortbildung Heidelberg	https://www.akademie-heidelberg.de/									https://www.akademie-heidelberg.de/termin/geldwaesche-schulung-fuer-sparkassen-0			"[{""name"": ""Dr. Asmerom Ogbamichael"", ""title"": ""Rechtsanwalt"", ""link"": """"}, {""name"": ""Sebastian Weschler"", ""title"": ""Stv. Geldw\u00e4sche-Beauftragter"", ""link"": """"}]"	1
