scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://publicsectornetwork.co/event/aotearoa-nz-data-ai-showcase-2022/	Aotearoa NZ ;  Public Sector Data & AI Executive Event 2022 	2022-04-12	2022-04-12	"{""type"": ""general"", ""start_time"": ""8:00AMPM"", ""end_time"": ""12:30PM"", ""timezone"": ""NZST"", ""days"": ""all""}"	With the first year of the revised and refreshed Government Data Strategy and developments of national initiatives in artificial intelligence (AI), such as the Algorithm Charter adoption underway, NZ’s whole-of-government data, and AI developments are gaining great momentum.		Public Sector Network brings together public and industry partners, in an open forum, to help deliver fair and collaborative alliances.	Public Sector Network	https://publicsectornetwork.co/		['SAS', 'Talend', 'Teradata']				InterContinental Wellington		InterContinental Wellington	https://publicsectornetwork.co/event/aotearoa-nz-data-ai-showcase-2022/	https://www.google.com/maps/place/InterContinental+Wellington,+an+IHG+Hotel/@-41.2846596,174.7769367,15z/data=!4m2!3m1!1s0x0:0x8f3ad1cc984a5293?sa=X&ved=2ahUKEwj9kZaSiIT3AhUkzoUKHXuZD7oQ_BJ6BAgyEAU	info@publicsectornetwork.co	['Suzanne Stew, Deputy CE, Te Whakatairanga Service Delivery, Statistics New Zealand', 'Mark Sowden, Government Chief Data Steward (GCDS), and Chief Executive, Statistics New Zealand', 'Chris Buxton, Director Agency Partnerships, The Department of Internal Affairs', 'Jan Sheppard, Chief Data Officer, Tertiary Education Commission NZ', 'Paul Stone, Principal Advisor Information & Data Governance, Kāinga Ora – Homes and Communities', 'Mike Cunnington, Deputy Commissioner, Information and Intelligence Services, Inland Revenue NZ', 'Dame Diane Robertson, Executive Director, The New Zealand Data Trust', 'Shar Amner, General Manager Māori – Te Tumu Houkura, Ministry of Business, Innovation and Employment (MBIE) NZ']	0
https://publicsectornetwork.co/event/virtual-event-cyber-security-risk-management-national-insights-spring-edition-canada/	 Cyber Security & Risk Management;  National Insights – Spring Edition 	2022-04-13	2022-04-13	"{""type"": ""general"", ""start_time"": ""12:00PM"", ""end_time"": ""2:15PM"", ""timezone"": ""ET"", ""days"": ""all""}"	Digital technologies are now an integral part of our daily lives, with new developments emerging daily. As we embrace digital technologies for their tremendous benefits, we can open ourselves up to threats. Criminals and other malicious cyber threat actors take advantage of security gaps, low cyber security awareness, and technological developments to compromise cyber systems. They steal personal and financial information, intellectual property, and citizen data. They disrupt and sometimes destroy the infrastructure that we rely on for essential services and our way of life.		Public Sector Network brings together public and industry partners, in an open forum, to help deliver fair and collaborative alliances.	Public Sector Network	https://publicsectornetwork.co/		['Microsoft', 'Crowdstrike', 'cctx']							https://publicsectornetwork.co/event/virtual-event-cyber-security-risk-management-national-insights-spring-edition-canada/		info@publicsectornetwork.co	['Sasha Einwechter, General Manager Information Technology, City of Guelph', 'Jennifer Quaid, Executive Director, Canadian Cyber Threat Exchange (CCTX)', 'Evelina Skalski, Records and Information Services, City of London', 'Cobi Falconer, Director Access to Information and Privacy, City of Vancouver', 'Artur Bittencourt, Information Technology Manager, Township of Esquimalt', 'Kenrick Bagnall, Detective Constable – Coordinated Cyber Centre (C3), Toronto Police Service', 'Andrew Hilts, Senior Technology and Policy Advisor, Information and Privacy Commissioner of Ontario', 'Sharon Byrch, Manager of Information Services, Capital Regional District', 'Manny Sahota, Compliance Officer – Security, Microsoft', 'Raushan Dilruba, Compliance, Risk and Privacy Technical Specialist, Microsoft', 'Jason Bero, Privacy, Risk and Compliance Officer, Microsoft', 'Victor Beitner, Director, Cyber Security Global Alliance', 'Steeve Martin, Sales Engineer, Crowdstrike']	1
https://publicsectornetwork.co/event/virtual-event-innovation-and-it-nz-national-insights-biannual-edition/	Refinin g IT Infrastructure Initiatives to FurtherAotearoa’s Digital Strategy	2022-04-13	2022-04-13	"{""type"": ""general"", ""start_time"": ""9:00AM"", ""end_time"": ""11:00AM"", ""timezone"": ""NZST"", ""days"": ""all""}"	The adoption of innovative IT technologies within the NZ public sector is accelerating rapidly, with exciting new tools and applications becoming increasingly utilised to enable greater efficiency outcomes within government organisations.		Public Sector Network brings together public and industry partners, in an open forum, to help deliver fair and collaborative alliances.	Public Sector Network	https://publicsectornetwork.co/									https://publicsectornetwork.co/event/virtual-event-innovation-and-it-nz-national-insights-biannual-edition/		info@publicsectornetwork.co	['Mary Craig, Deputy Commissioner – Enterprise Design and Integrity, Inland Revenue Department', 'Regine Deleu, General Manager – Digital Architecture, Auckland Transport', 'Andrew Stephen, Enterprise Architecture Consultant, Department of Internal Affairs']	1
https://publicsectornetwork.co/event/virtual-event-federal-it-insights-usa/	Federal IT Insights 2022 – USA	2022-04-20	2022-04-20	"{""type"": ""general"", ""start_time"": ""12:00PM"", ""end_time"": ""2:30PM"", ""timezone"": ""ET"", ""days"": ""all""}"	The last two years have reinforced the necessity for robust, reliable, and resilient IT systems that can provide flexibility to the challenges that government is facing today; and will yet face tomorrow. While public sector leaders recognize the value of investing in IT, for many the adoption remains a challenge based on security, compliance, budgetary realities, and competing priorities.		Public Sector Network brings together public and industry partners, in an open forum, to help deliver fair and collaborative alliances.	Public Sector Network	https://publicsectornetwork.co/		['Carahsoft', 'acquia']							https://publicsectornetwork.co/event/virtual-event-federal-it-insights-usa/		info@publicsectornetwork.co	['Monica Langley, Deputy CIO for Operations, FEMA, US Department of Homeland Security', 'Gardy Rosius, Acting Deputy CIO – Architecture Engineering Technology & Innovation, US Department of Energy (DOE),  , (Pending, Agency Clearance)', 'Gerald Caron, Chief Information Officer, US Department of Health & Human Services,  , (Pending, Agency Clearance)', 'Bill Pratt, Director, Strategic Technology Management, U.S. Department of Homeland Security , (Pending, Agency Clearance)', 'Dr. Ola Oludefolabi, DOC AI CoE – CTO Team,, Office of The Secretary, US Department of, Commerce (Pending, Agency Clearance)', 'Maggie Schroeder, Principal Product, Marketing Manager, Acquia']	1
https://publicsectornetwork.co/event/psis-atlantic-2022-canada/	Public Sector Innovation Show Atlantic	2022-04-26	2022-04-26	"{""type"": ""general"", ""start_time"": ""8:00AM"", ""end_time"": """", ""timezone"": ""AT"", ""days"": ""all""}"	In Atlantic Canada, accelerating digital transformation is happening across the public sector – organizations are collaborating and involving industry partners in the design of processes by actively soliciting ideas, gathering feedback, and co-creating better public service solutions.		Public Sector Network brings together public and industry partners, in an open forum, to help deliver fair and collaborative alliances.	Public Sector Network	https://publicsectornetwork.co/		['barrington', 'Google', 'Salesforce', 'rogers', 'Carahsoft', 'Procedureflow', 'compugen', 'Logitech', 'dalhousie', 'dns']				The Halifax Marriott		The Halifax Marriott	https://publicsectornetwork.co/event/psis-atlantic-2022-canada/	https://www.google.com/maps/place/Halifax+Marriott+Harbourfront+Hotel/@44.651162,-63.57345,15z/data=!4m2!3m1!1s0x0:0x42075335b30ee7ac?sa=X&ved=2ahUKEwjd37yiiIT3AhXEz4UKHanhANQQ_BJ6BAgmEAU	info@publicsectornetwork.co	['John Ariyo, Director, Equity and Engagement, Department of Health and Wellness, Government of Nova Scotia', 'Wayne Sumarah, Chief Executive Officer, Digital Nova Scotia', 'Travis Bergin, Associate Deputy Minister, Finance and Treasury Board, Province of New Brunswick', 'Todd Brown, Director-Strategic Initiatives, Public Safety and Field Communications Division, Government Services Branch, Nova Scotia Department of Internal Services', 'Keltie Jamieson, Former CIO in Public Sector, Univeristy of Toronto and Dalhousie University', 'Wendy Macdermott, Chief Experience Officer Department of Social Development, Government of New Brunswick', 'Glenn Chamberlain, Regional Director, Human Resources (Atlantic Region), Public Services and Procurement Canada', 'Scott McKenna, Chief Information Officer, Health Canada and Public Health Agency of Canada', 'Valerie Kelly, Director of Digital Transformation, Government of New Brunswick', 'David A. Wilson, Director, Provincial 911', 'Desiree Carter, Director, IoT Smart Cities, Rogers for Business', 'Gerald A. Post, Executive Director, Renewable Resources, Nova Scotia Natural Resources and Renewables', 'Lee Burry, Director, Performance and Continuous Improvement, Department of Education & Early Childhood, Government of New Brunswick', 'Stephanie Bush, Regional Director, Human Resources, Maritimes Region Fisheries and Oceans Canada', 'Stephanie Carter, Executive Director – Project and Advisory Services Finance and Treasury Board, Government of New Brunswick', 'Robert E. Bourgeois,, CPA, CA, Executive Director,, Government Accounting, Nova Scotia Department of, Finance and Treasury Board', 'Louise Adongo, Executive Director, Inspiring Communities', 'John Cousens, Managing Director, Public, Sector Canada, Google', 'Natalie Borden, B.Sc. (Pharm), Senior Executive Director, Client Services and Contract Administration, Department of Health and Wellness, Government of Nova Scotia', 'Alexandra McCann, Executive Director, ONSIDE', 'Chris Robertson, Director, Public Sector Canada, Salesforce']	0
https://publicsectornetwork.co/event/virtual-event-health-human-services-national-insights-spring-edition-canada/	Virtual  Event: Health & Human Services:National Insights – Spring Edition	2022-04-27	2022-04-27	"{""type"": ""general"", ""start_time"": ""12:00PM"", ""end_time"": ""2:15PM"", ""timezone"": ""ET"", ""days"": ""all""}"	We’ve faced a radical two-year disruption for the Canadian Health Care Sector in an unprecedented global post-pandemic age. The risk of not exponentially advancing becomes more significant than the risk of “doing things the way they’ve always been done.” The rapid evolution of global health systems, patient-centric design, and digital enablement is no longer in “the future”; it is in “the now.” With higher pressure on resources, shifting population needs, growth in healthcare expenditures, and evolving consumer expectations for better patient experience and outcomes, the emphasis is on delivering more value with less.		Public Sector Network brings together public and industry partners, in an open forum, to help deliver fair and collaborative alliances.	Public Sector Network	https://publicsectornetwork.co/		['Crowdstrike', '91793509', 'RICOH', 'SailPoint']							https://publicsectornetwork.co/event/virtual-event-health-human-services-national-insights-spring-edition-canada/		info@publicsectornetwork.co	['Dr. Ted Scott, Ph.D., MAppSC, CPHIMS-CA, Vice President Research & Chief Innovation Officer, Hamilton Health Sciences', 'Lisa S. Jensen RD, MBA, Corporate Director, Acute Care Services Integrated Access, Covenant Health', 'Emily Pridham, Long-term Care Director for COVID-19 Response, Island Health', 'Andriana Lukich, Director Digital Solutions, St Joseph’s, Healthcare Hamilton', 'Alexis Villa, Senior Program Director, Digital Health & Strategic, Program Delivery, University Health Network', 'Vin Singh, VP Information Systems and Technology Circle of Care, Sinai Health', 'Jeff Curtis DBA, MBA, MSc, CGEIT, CRISC, CISSP, CISM, Chief, Privacy Officer, Sunnybrook Health Sciences Centre', 'Penny Longman, Director, Information Security & Data, Stewardship, Fraser Health', 'Matthew Radcliffe, AVP Healthcare, SailPoint', 'Frank Mazza, Sales Engineer, CrowdStrike', 'Jonathan Wiersma, Practice Leader, Government, IQVIA']	1
https://publicsectornetwork.co/event/virtual-event-federal-hr-insights-usa-2022/	Federal HR Insights USA – 2022	2022-04-27	2022-04-27	"{""type"": ""general"", ""start_time"": ""12:00PM"", ""end_time"": ""2:15PM"", ""timezone"": ""ET"", ""days"": ""all""}"	Redefining the Workforce & Workplace in an Age of Uncertainty Over nearly 2-years we have participated in the largest remote work experiment in human history. While it has largely been a seamless transition from a productivity and efficiency standpoint – the more intractable challenges of learning & development, onboarding, team building & technological implementation remain ever relevant.		Public Sector Network brings together public and industry partners, in an open forum, to help deliver fair and collaborative alliances.	Public Sector Network	https://publicsectornetwork.co/		['BetterUp', 'Nintex']							https://publicsectornetwork.co/event/virtual-event-federal-hr-insights-usa-2022/		info@publicsectornetwork.co	['Jessica Bensel, Chief Human Capital Officer, U.S. Department of Commerce', 'N. Tony Nguyen, Chief Performance Officer,, U.S. Department of Housing and Urban Development', 'Michaela Doelman, Chief Human Resources Officer, State of Washington Employment Security Department', 'Adrian Taylor, Chief Learning Officer, NOAA', 'Donald Bauer, Chief Technology Officer, Global Talent Management,, U.S. Department of State', 'Brandon Carson, Vice President, Learning & Leadership Partner,, Walmart', 'Steve Witt, Director, Public Sector,, Nintex', 'Janet Sellars, Director of Human Resources, Kennedy Space Center', 'India Williams, Chief DEI Strategist, Diversity and Inclusion Office, Central Intelligence Agency', 'Mike Litano, AVP, People Insights, BetterUp', 'Alissa Manolescu, Senior Behavioral Scientist, People Insights, BetterUp']	1
https://publicsectornetwork.co/event/virtual-event-corporate-and-shared-services-national-insights-autumn-edition/	Digitising and Scaling Corporate Services for Back Office Transformation; Part of the Corporate & Shared Services National Insights Series	2022-04-27	2022-04-27	"{""type"": ""general"", ""start_time"": ""11:00AM"", ""end_time"": ""1:10PM"", ""timezone"": ""AEST"", ""days"": ""all""}"	Corporate functions play a crucial role in department-wide decision-making and excellence. Coupled with modern approaches to strategy, analytical insight reporting, and ever-evolving trends and expectations, working to deliver value internally and externally means the back-officemust always be looking to optimise their ways of working, and fast.		Public Sector Network brings together public and industry partners, in an open forum, to help deliver fair and collaborative alliances.	Public Sector Network	https://publicsectornetwork.co/		['Nintex']							https://publicsectornetwork.co/event/virtual-event-corporate-and-shared-services-national-insights-autumn-edition/		info@publicsectornetwork.co	['Helen Lovelock, Chief Procurement Officer, Queensland Corrective Services', 'Katrina Tonkin, Chief Finance Officer National Recovery & Resilience Agency, Department of the Prime Minister and Cabinet ACT', 'Andrea Mayer, Director Financial Services & Strategic Sourcing, Corporate Services , Department of State Development, Infrastructure, Local Government & Planning', 'Dr. Shikha Sharma, Director Business Improvement & Technology, Department of Human Services SA']	1
https://publicsectornetwork.co/event/virtual-event-innovation-and-it-national-insights-autumn-edition/	Harnessing Emerging Technologies For Citizen Outcomes	2022-04-28	2022-04-28	"{""type"": ""general"", ""start_time"": ""11:00AM"", ""end_time"": ""1:10PM"", ""timezone"": ""AEST"", ""days"": ""all""}"	The adoption of innovative IT technologies within the public sector is accelerating rapidly, with exciting new tools and applications such as API, RPA, Hyperautomation, and DevOps becoming increasingly utilised to enable greater efficiency outcomes within government organisations. 		Public Sector Network brings together public and industry partners, in an open forum, to help deliver fair and collaborative alliances.	Public Sector Network	https://publicsectornetwork.co/									https://publicsectornetwork.co/event/virtual-event-innovation-and-it-national-insights-autumn-edition/		info@publicsectornetwork.co	['Eva Balan-Vnuk, , Government Chief Information Officer, , Department of the Premier and Cabinet SA', 'Yandong Fan, , Chief Architect, , Public Transport Victoria', 'Yaso Arumugam, , Chief Information Officer, , National Archives of Australia', 'Keith Gemmell,, Chief Information Officer,, Safe Food Production QLD']	1
https://publicsectornetwork.co/event/psis-event-government-innovation-new-york/	Government Innovat ion  New York	2022-05-03	2022-05-03	"{""type"": ""general"", ""start_time"": ""7:30AM"", ""end_time"": """", ""timezone"": ""ET"", ""days"": ""all""}"	New York State is promoting best practices and inspiring technological innovation throughout the public sector. This is significant in the changing landscape and diversity across New York State – manifested through initiatives driving transparency & digital inclusion. Technology should have a positive impact for all. This will be achieved by enabling digital equity initiatives throughout the state.		Public Sector Network brings together public and industry partners, in an open forum, to help deliver fair and collaborative alliances.	Public Sector Network	https://publicsectornetwork.co/		['UKG', 'PANW', 'prove', '1200px', 'logo', 'TRANSPARENT']				Albany Capital Center		Albany Capital Center	https://publicsectornetwork.co/event/psis-event-government-innovation-new-york/	https://www.google.com/maps/place/Albany+Capital+Center/@42.6498772,-73.7560941,15z/data=!4m2!3m1!1s0x0:0x5e5723f23f703476?sa=X&ved=2ahUKEwinq6GviIT3AhURzIUKHU-XA10Q_BJ6BAg4EAU	info@publicsectornetwork.co	['Tina Kim, Deputy Comptroller for State Government Accountability, Office of the New York State Comptroller', 'Dr. Kitty Kay Chan, Professor of Practice in Applied Analytics; Program Director, M.S. in Applied Analytics,, Columbia University School of Professional Studies', 'Michael Washington, Deputy Commissioner for Diversity, Inclusion and Merit System Operations, New York State Department of Civil Service', 'Tayyab Walker, Director of Enterprise Data Solutions, Mayor’s Office for, Economic Opportunity, City of New York', 'Maria C. Herman, MBA, Director of Diversity and Inclusion, NYS Department of Corrections and Community Supervision', 'Kate May, Chief Performance Officer,, City of Rochester', 'Jacob Morrison, Deputy Commissioner, Dutchess County Office of Central and Information Services', 'Nicolas Diaz, Chief Innovation & Data Officer,, City of Syracuse', 'Meghan E. Cook, MPA, MS, Program Director, , CTG UAlbany, ,,  University at Albany, SUNY & , Advisor,,  New York State Local Government Information, Technology Directors Association', 'Dr. Mila Gasco Hernandez, MBA, Research Director, Center for Technology in Government, , University at Albany, SUNY (CTG Albany) &,  Associate, Professor, Department of, Public Administration and, Policy, , Rockefeller College, of Public Affairs and Policy,, University at Albany, SUNY', 'Oswaldo Mestre Jr., Chief Service Officer & Director of Citizen Services, City of Buffalo – Division of Citizen Services', 'Terrance Stroud, Deputy Commissioner , New York City, Department of Social,  Services', 'Lauren Moore, Assistant Commissioner, for Libraries and State, Librarian, New York State, Education Department', 'Margaret Käufer, President, The STEM Alliance', 'Robert Cacace, Commissioner of, Information Technology, City of Yonkers', 'John Coluccio, Signal Superintendent and Smart City Director, City of Schenectady, NY', 'Avi Epstein, Neighborhood Stabilization Coordinator, City of Schenectady, NY', 'Gary R. McCarthy, Mayor, City of Schenectady, NY', 'Mark Jones Ed.D., Deputy District, Superintendent and Chief Operating Officer, BOCES', 'Rob Chuck, Program Director: People Strategy & Delivery, UK, Foreign, Commonwealth and Development Office', 'Natalie Helbig, PhD, Deputy Director, Center for Health Data Innovation Office of Quality and Patient Safety, New York State Department of Health', 'Regina Zimmerman, PhD, MPH -Director, Data Governance and Informatics, Bureau of Epi Services, The NYC Department of Health and Mental Hygiene (DOHMH)', 'Joseph Kardash, Superintendent, Rensselaer City School District', 'Olivia Bumgardner, Deputy Superintendent, Research and Innovation, NYS Department of Financial Services', 'Frank Winters, Geographic Information Officer, NSGIC Past President, New York State Office of Information Technology Services', 'Rebecca Kirchheimer, Executive Director, Office of Business Process Innovation, NYC Human Resources Administration', 'Linda Misegadis, Senior Government Strategist, UKG', 'David Cumbow, Solutions Architect, Palo Alto Networks', 'Michele V. Handzel-Jones, Esq., Data Protection Officer Capital Region BOCES; Deputy Director of Risk Mitigation and Compliance, NERIC']	0
