scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://www.soci.org/events/british-carbon-group/2022/carbon-2022	Carbon 2022	2022-07-03	2022-07-08		Imperial College London			SCI	https://www.soci.org/						Imperial College London		Imperial College London, UK	https://www.soci.org/events/british-carbon-group/2022/carbon-2022	https://www.google.com/maps/place/Imperial+College+London/@51.4988222,-0.1748735,15z/data=!4m2!3m1!1s0x0:0x31911b371c692e86?sa=X&ved=2ahUKEwjg7u3Q4Jb4AhXW8rsIHSKFA7MQ_BJ6BAgnEAU	"[""conferences@soci.org""]"		0
https://www.soci.org/events/hq-events/2022/scis-141st-annual-general-meeting-agm-2022	SCI's 141st Annual General Meeting (AGM) 2022	2022-07-06	2022-07-06		The Chairman of the Board of Trustees warmly invites you to attend the Society’s Annual General Meeting on Wednesday 6 July 2022. The meeting will take place at SCI's headquarters. This is an opportunity for all members to review the past year at SCI and look forward to the future of our Society.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"		SCI	https://www.soci.org/			"[{""start_time"": ""01:00PM"", ""end_time"": ""01:30PM"", ""day"": ""2022-07-06"", ""desc"": """", ""title"": ""Registration & lunch""}, {""start_time"": ""01:30PM"", ""end_time"": ""02:15PM"", ""day"": ""2022-07-06"", ""desc"": """", ""title"": ""Annual General Meeting ""}, {""start_time"": ""02:15PM"", ""end_time"": ""02:45PM"", ""day"": ""2022-07-06"", ""desc"": """", ""title"": ""SCI Strategy, Sharon Todd, CEO ""}, {""start_time"": ""02:45PM"", ""end_time"": ""03:00PM"", ""day"": ""2022-07-06"", ""desc"": """", ""title"": ""Refreshment break""}, {""start_time"": ""03:00PM"", ""end_time"": ""05:00PM"", ""day"": ""2022-07-06"", ""desc"": """", ""title"": ""Scholars presentations,  ""}, {""start_time"": ""05:00PM"", ""end_time"": """", ""day"": ""2022-07-06"", ""desc"": """", ""title"": ""Presentation of Society awards (DSA and Lampitt)""}]"			Belgrave Square		SCI, Belgrave Square, London	https://www.soci.org/events/hq-events/2022/scis-141st-annual-general-meeting-agm-2022	https://www.google.com/maps/place/SCI/@51.498728,-0.154925,15z/data=!4m2!3m1!1s0x0:0x58a1d4a89487ef4e?sa=X&ved=2ahUKEwiLiNrf4Jb4AhXf8LsIHVMZCfkQ_BJ6BAgdEAU	"[""conferences@soci.org""]"		0
https://www.soci.org/events/agrifood-early-career-group/2022/a-celebration-of-careers-in-agrifood	A Celebration of Careers in Agri-Food	2022-07-20	2022-07-20		A celebration of the diversity of careers in Agri-food, including progress throughout and in between careers. A chance for people at all stages of their careers to hear about the experiences of others, interact and network.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"		SCI	https://www.soci.org/			"[{""start_time"": ""02:00PM"", ""end_time"": ""02:05PM"", ""day"": ""2022-07-20"", ""desc"": """", ""title"": ""Welcome and introduction""}, {""start_time"": ""02:05PM"", ""end_time"": ""02:30PM"", ""day"": ""2022-07-20"", ""desc"": """", ""title"": ""Transitioning between careers, Alison Foster, Associate Lecturer in Ethnobotany, University of Kent""}, {""start_time"": ""02:30PM"", ""end_time"": ""02:50PM"", ""day"": ""2022-07-20"", ""desc"": """", ""title"": ""Mid-careers panel ""}, {""start_time"": ""02:50PM"", ""end_time"": ""03:10PM"", ""day"": ""2022-07-20"", ""desc"": """", ""title"": ""Career experiences as an agricultural economist""}, {""start_time"": ""03:10PM"", ""end_time"": """", ""day"": ""2022-07-20"", ""desc"": """", ""title"": ""#AgriFoodBecause: Showcase of winning entries""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-07-20"", ""desc"": """", ""title"": "" Competition winners, Hannah Blyth and Lauren Hibbert""}, {""start_time"": """", ""end_time"": ""03:35PM"", ""day"": ""2022-07-20"", ""desc"": """", ""title"": ""Winning entry for Spring 2022 ""}, {""start_time"": ""03:35PM"", ""end_time"": ""03:40PM"", ""day"": ""2022-07-20"", ""desc"": """", ""title"": ""Closing remarks""}, {""start_time"": ""03:40PM"", ""end_time"": """", ""day"": ""2022-07-20"", ""desc"": """", ""title"": ""Networking and refreshments""}]"			London	United Kingdom	SCI, London, UK	https://www.soci.org/events/agrifood-early-career-group/2022/a-celebration-of-careers-in-agrifood		"[""conferences@soci.org""]"		0
https://www.soci.org/events/hq-events/2022/anodes-and-other-materials-energising-the-uk-battery-supply-chain--part-7	Anodes and Other Materials (Energising the UK Battery Supply Chain - Part 7)	2022-09-01	2022-09-01		Anodes and Other Materials	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"		SCI	https://www.soci.org/			"[{""start_time"": ""02:00PM"", ""end_time"": ""02:05PM"", ""day"": ""2022-09-01"", ""desc"": """", ""title"": ""Welcome and introduction , David Bott, SCI""}, {""start_time"": ""02:05PM"", ""end_time"": ""02:20PM"", ""day"": ""2022-09-01"", ""desc"": """", ""title"": ""Binding Batteries Together – The Role of Anode Binders in Lithium-ion Cells, Tom Castle, Synthomer""}, {""start_time"": ""02:20PM"", ""end_time"": ""02:35PM"", ""day"": ""2022-09-01"", ""desc"": """", ""title"": ""TBC""}, {""start_time"": ""02:35PM"", ""end_time"": ""02:50PM"", ""day"": ""2022-09-01"", ""desc"": """", ""title"": ""TBC""}, {""start_time"": ""02:50PM"", ""end_time"": """", ""day"": ""2022-09-01"", ""desc"": """", ""title"": ""Breakout discussions""}]"						https://www.soci.org/events/hq-events/2022/anodes-and-other-materials-energising-the-uk-battery-supply-chain--part-7		"[""conferences@soci.org""]"	"[[""Tom Castle Synthomer""]]"	1
https://www.soci.org/events/electrochemical-technology-group/2022/electrochem-2022	Electrochem 2022	2022-09-04	2022-09-06		Electrochem 2022 is part of the long-running Electrochem conference series that takes place at a different location within the UK or Ireland in August/September every year. The conference is organised jointly by the RSC Electrochemistry Group, the RSC Electroanalytical Sensing Systems Interest Group, and the SCI Electrochemical Technology Group, with the Institute of Corrosion joining the conference in odd-numbered years. Please note: Electrochem 2022 will also include the 61st Corrosion Science Symposium.			SCI	https://www.soci.org/						University of Edinburgh		University of Edinburgh, UK	https://www.soci.org/events/electrochemical-technology-group/2022/electrochem-2022	https://www.google.com/maps/place/The+University+of+Edinburgh/@55.9445158,-3.1892413,15z/data=!4m2!3m1!1s0x0:0xb21928d390bbc0ee?sa=X&ved=2ahUKEwjD-qqD4Zb4AhUGiv0HHaHGD60Q_BJ6BAgyEAU	"[""conferences@soci.org""]"		0
https://www.soci.org/events/iex2022--a-vision-for-the-future	IEX2022 - A Vision for the Future	2022-09-07	2022-09-09		The SCI IEX Conference brings together an internationally recognised group of experts in the field of ion exchange and its associated uses, including water treatment, catalysis, chemical processing, hydrometallurgy and bioprocessing.	"[{""type"": ""paid"", ""price"": ""275.00"", ""currency"": ""£""}]"		SCI	https://www.soci.org/			"[{""start_time"": ""08:30AM"", ""end_time"": ""09:00AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Conference Opening, and Introduction to “Spatial Chat” Presentation Platform., Rob Terrell (Chair of the IEX2022 Committee)""}, {""start_time"": ""09:00AM"", ""end_time"": ""09:45AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""PLENARY LECTURE 1: Selective extraction of ionic species by means of electrosorption processes., Professor Marek Bryjak (Wroclaw University of Science and Technology, Poland)""}, {""start_time"": ""09:45AM"", ""end_time"": ""10:15AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Keynote Lecture A brief history of Dungeness B condensate polishing plants – the difference between experimental testing and the real world. , Ryan Morris, Carl M Atkinson, Greg Fife (EDF Energy Nuclear Generation Ltd, UK)  ""}, {""start_time"": ""10:15AM"", ""end_time"": ""10:30AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Refreshment Break""}, {""start_time"": ""10:30AM"", ""end_time"": ""11:00AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Ion exchange resins quality features in thermal power plants., Lukasz Warachim, Hans-Jürgen Wedemeyer (Lanxess Deutschland GmbH)""}, {""start_time"": ""11:00AM"", ""end_time"": ""11:30AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""The impact of hydrazine on the performance of condensate polishing plant ion-exchange resins (Amberlite HPR 1600H).     , Carl M Atkinson, Ryan Morris, Zinnia Parker (EDF Energy Nuclear Generation Ltd, UK)""}, {""start_time"": ""11:30AM"", ""end_time"": ""12:00PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Benefits of resin analyses in water treatment plant performance evaluation., Peter van Hartingsveldt (Evides Industriewater, the Netherlands), Marc Slagt (DuPont Water Solutions, the Netherlands) ""}, {""start_time"": ""12:00PM"", ""end_time"": ""12:30PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Functionalized nanoporous ceramic membranes for electrodialysis treatment of harsh wastewater., Emile Rabe, Stephanie Candelaria, Rachel Malone, Greg Newbloom (Membrion Inc, USA)""}, {""start_time"": ""12:30PM"", ""end_time"": ""01:00PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Autonomous operation of the DI-plant: artificial intelligence (AI) in DI-production., Dieter Mauer (MionTec GmbH, Germany)""}, {""start_time"": ""01:00PM"", ""end_time"": ""01:45PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Lunch""}, {""start_time"": ""01:45PM"", ""end_time"": ""02:15PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Honouring recently-departed members of the Ion-Exchange Community and their contributions to the field., Rob Terrell, Chair of the IEX2022 Committee""}, {""start_time"": ""02:15PM"", ""end_time"": ""02:45PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Keynote Lecture Liquid waste treatment at Fukushima.      , Paul Sylvester (Veolia Nuclear Solutions, USA), Akira Ikeda (Kurion, Japan) ""}, {""start_time"": ""02:45PM"", ""end_time"": ""03:15PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Characterisation of nuclear fuel pond resin and the application of the data to plant optimisation and decommissioning strategies., Mike Wharton (Wood plc, UK), Carl Atkinson (EDF Energy Nuclear Generation Ltd, UK)  ""}, {""start_time"": ""03:15PM"", ""end_time"": ""03:45PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Adsorptivity of a novel bifunctional chelating adsorbent for recovery of uranium from seawater.     , M Nogami,  M Daiju, N Maegawa, R Toritsuka (Kindai University, Japan)""}, {""start_time"": ""03:45PM"", ""end_time"": ""04:00PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Refreshment Break""}, {""start_time"": ""04:00PM"", ""end_time"": ""05:30PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""The Spatial Chat platform will enable delegates to view posters and meet with authors, and to visit sponsors’ “rooms” where confidential discussions may be held.""}, {""start_time"": ""05:30PM"", ""end_time"": ""08:30AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Close of Day""}, {""start_time"": ""08:30AM"", ""end_time"": ""09:15AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Ion exchange processes in the chemical industry: current and future applications., Mrs Gabrielle Iffland (BASF SE, Germany)  ""}, {""start_time"": ""09:15AM"", ""end_time"": ""09:45AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Keynote Lecture Monosaccharide purification from crude hydrolysed sugar beet pulp by liquid-liquid centrifugal partition chromatography., G J Lye, D Ward, M Cárdenas-Fernández, F Subrizi, T D Sheppard, H C Hailes (University College, London, UK), C Bennett, D J Leak (University of Bath, UK), P Hewitson, S Ignatova (Brunel University, UK)  ""}, {""start_time"": ""09:45AM"", ""end_time"": ""10:15AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Recovery of critical elements from seawater saltworks bitterns: evaluation of equilibrium, kinetic and selectivity factors of ion-exchange materials., V Vallès (UPC-Barcelona TECH, Spain), A Leskinen (Tech. Research Centre of Finland), R T Koivula, M Fdez. de Labastida, J López (UPC-Barcelona TECH, Spain), J L Cortina (UPC-Barcelona TECH and CETaqua, Spain)   ""}, {""start_time"": ""10:15AM"", ""end_time"": ""10:30AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Refreshment Break""}, {""start_time"": ""10:30AM"", ""end_time"": ""11:00AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Detection, analysis and control of biological foulant distribution within IEX columns., Greta Jasulaityte, Daniel G Bracewell (University College London, UK), Hans J Johansson (Purolite Ltd, UK)       ""}, {""start_time"": ""11:00AM"", ""end_time"": ""11:30AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Three dimensional imaging of chromatography beds and beads to resolve geometric characteristics as a platform for simulation. , Thomas F Johnson, Paul R Shearing, Daniel G Bracewell (University College, London, UK), John H Welsh, Peter R Levison (Pall Biotech, UK)""}, {""start_time"": ""11:30AM"", ""end_time"": ""12:30PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""The Spatial Chat platform will enable delegates to view posters and meet with authors, and to visit sponsors’ “rooms” where confidential discussions may be held.""}, {""start_time"": ""12:30PM"", ""end_time"": ""01:00PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Awards to be presented on behalf of the UK Ion-Exchange Community for Outstanding Achievements and Contributions to the Field., Rob Terrell, Chair of the IEX2022 Committee""}, {""start_time"": ""01:00PM"", ""end_time"": ""01:45PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Lunch Break""}, {""start_time"": ""01:45PM"", ""end_time"": ""02:15PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Recovery of lithium from brine using lithium ion sieves.   , Craig J Brown (Chemionex Inc, USA), Andy Robinson (Standard Lithium Ltd)""}, {""start_time"": ""02:15PM"", ""end_time"": ""02:45PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""The use of selective resins with small particle size for the preparation of battery chemicals., Dirk Steinhilber, Petra Raab (Lanxess Deutschland GmbH)   ""}, {""start_time"": ""02:45PM"", ""end_time"": ""03:15PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Ion exchange purification of lithium ion battery waste leachate.    , Sami Virolainen, Arttu Kaukinen, Tuomo Sainio (LUT University, Finland)""}, {""start_time"": ""03:15PM"", ""end_time"": ""03:45PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Polyelectrolyte membranes composited with electrospun ion-exchange nanofibers., Hidetoshi Matsumoto, Fumiyasu Seino, Minoru Ashizawa (Tokyo Institute of Technology, Japan) Yuriko Kakihana, Mitsuru Higa (Yamaguchi University, Japan)""}, {""start_time"": ""03:45PM"", ""end_time"": ""04:00PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Refreshment Break""}, {""start_time"": ""04:00PM"", ""end_time"": ""04:30PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Liquid ion exchangers incorporated in polymeric membranes: a simple approach for water pollution control., Clàudia Fontàs, Enriqueta Anticó (University of Girona, Spain)  ""}, {""start_time"": ""04:30PM"", ""end_time"": ""05:00PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Dual approach for removal of hexavalent chromium in drinking water using ion exchange resins.   , María de los Angeles Pérez Maciá, Stephane Delameilleure, Blanca Salgado Ruiz, Guillem Gilabert Oriol, Valeria Burlakova (Dupont Water Solutions, Spain)  ""}, {""start_time"": ""05:00PM"", ""end_time"": ""05:30PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Improved ion exchange selectivity and yield in recovery of rare earth elements from phosphogypsum., Santeri Kurkinen, Sami Virolainen, Eveliina Repo, Tuomo Sainio (LUT University, Finland)    ""}, {""start_time"": ""05:30PM"", ""end_time"": ""08:30AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Close for the day""}, {""start_time"": ""08:30AM"", ""end_time"": ""09:30AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""The Spatial Chat platform will enable delegates to view posters and meet with authors, and to visit sponsors’ “rooms” where confidential discussions may be held.""}, {""start_time"": ""09:30AM"", ""end_time"": ""10:00AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Keynote Lecture Ion exchange resins for production of carotenoid building blocks., Roman Goy, Werner Bonrath (DSM Nutritional Products, Switzerland)        ""}, {""start_time"": ""10:00AM"", ""end_time"": ""10:30AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Liquid-phase synthesis of sec-butyl levulinate by esterification of levulinic acid with 1-butene over cation-exchange resins., F Cunill, J H Badia, E Ramírez, R Bringué, C Fité, M Iborra, J Tejero (University of Barcelona, Spain)     (new presenter to be identified)""}, {""start_time"": ""10:30AM"", ""end_time"": ""10:45AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Refreshment Break""}, {""start_time"": ""10:45AM"", ""end_time"": ""11:15AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""A novel heterogeneously catalyzed solvent-free process for the acylation of anisole with acetic anhydride.       , Matthias Eisenacher (TH Köln University of Applied Sciences, Germany), Wolfgang F Hölderich (TCHK Hoelderich Consultancy, Germany), Matthias Arend, Moritz Venschott   ""}, {""start_time"": ""11:15AM"", ""end_time"": ""11:45AM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Ion exchange novel catalysis applications with metal in polymer chemistry:  hydrogenation and carbon carbon coupling.     , Jose Antonio Trejo O’Reilly (DuPont, Water and Process Solutions, USA)""}, {""start_time"": ""11:45AM"", ""end_time"": ""12:15PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""n-butyl levulinate production over acidic ion-exchange resins to fuel reformulation., Javier Tejero, Eliana Ramírez, Roger Bringué, Carles Fité, Montserrat Iborra,Fidel Cunill (University of Barcelona, Spain)   ""}, {""start_time"": ""12:15PM"", ""end_time"": ""12:45PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""A novel heterogeneous catalytic process for styrene carbonate synthesis via CO2 utilisation.      , Bisi Olaniyan, Joshua Kanmodi, Basudeb Saha (Lancaster University)""}, {""start_time"": ""12:45PM"", ""end_time"": ""01:30PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Lunch break""}, {""start_time"": ""01:30PM"", ""end_time"": ""02:00PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Keynote Lecture Ion exchange: the key for production of hydroxyl carboxylic acids from spent pulping liquor., Jari Heinonen, Tuomo Sainio (LUT University, Finland)    ""}, {""start_time"": ""02:00PM"", ""end_time"": ""02:30PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""The effect of cell pair and flow velocity in reverse electrodialysis (RED) stack for generation of salinity gradient energy (SGE)., Orhan Kinali, Esra Altıok, Mine Eti, Soma Kitada, Nalan Kabay (Ege University, Turkey), Enver Güler (Atılım University, Turkey), Marek Bryjak (Wroclaw University of  Science and Technology, Poland).  ""}, {""start_time"": ""02:30PM"", ""end_time"": ""03:00PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Synthesis and application of cellulose-based functionalized adsorbent for the recovery of lithium from aqueous solutions.   , Aslı Yüksel Özşen, Yaşar Kemal Recepoğlu (Izmir Institute of Technology, Turkey)  ""}, {""start_time"": ""03:00PM"", ""end_time"": ""03:30PM"", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Metal-free activated boron nitride: a highly efficient adsorbent for carbon capture., Basudeb Saha, Fereshteh Hojatisaeidi (Lancaster University), Mauro Mureddu , Alberto Pettinau  (Sotacarbo SpA, Italy), Geraldine Durand (The Welding Institute, UK) ""}, {""start_time"": ""03:30PM"", ""end_time"": """", ""day"": ""2022-09-07"", ""desc"": """", ""title"": ""Rob Terrell, Chair of the IEX2022 Committee""}]"						https://www.soci.org/events/iex2022--a-vision-for-the-future		"[""conferences@soci.org""]"	"[[""Gabriele Iffland Talk title: Ion exchange processes in the chemical industry – Current and future applications"", ""Prof Marek Bryjak Talk title: Selective extraction of ionic species by means of electrosorption processes""]]"	1
https://www.soci.org/events/environment-health-and-safety-group/2022/ehs-group-agm-2022	EHS Group AGM 2022	2022-06-07	2022-06-07		The chair and committee members of SCI’s Environment, Health and Safety Group cordially invite members to their 61st Annual General Meeting (AGM) and open committee meeting held online on the 07 June 2022.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"		SCI	https://www.soci.org/			"[{""start_time"": """", ""end_time"": """", ""day"": ""2022-06-07"", ""desc"": """", ""title"": ""Apologies for absence ""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-07"", ""desc"": """", ""title"": ""Minutes of previous AGM (No.60, 11th June 2021) ""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-07"", ""desc"": """", ""title"": ""Matters arising from the minutes ""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-07"", ""desc"": """", ""title"": ""Report of the Chairman and Secretary for 2021 – 2022""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-07"", ""desc"": """", ""title"": ""Honorary Treasurer's Report for 2021 – 2022 ""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-07"", ""desc"": """", ""title"": ""Officers of the Environment Health & Safety Group Committee ""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-07"", ""desc"": """", ""title"": ""Election of Ordinary Members of the Committee ""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-07"", ""desc"": """", ""title"": ""Any Other Business ""}]"						https://www.soci.org/events/environment-health-and-safety-group/2022/ehs-group-agm-2022		"[""conferences@soci.org""]"		1
https://www.soci.org/events/lipids-group/2022/lipids-group-agm-and-young-lipid-scientist-award-2022	Lipids Group AGM and Young Lipid Scientist Award 2022	2022-06-15	2022-06-15		The Chair and committee members of SCI's Lipids Group cordially invite members to their Annual General Meeting (AGM), which will be held at the SCI HQ in London, but will also be available online (Online webinar details will be confirmed closer to the date). All members and guests are welcome to attend (only SCI members will be able to vote).	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"		SCI	https://www.soci.org/									https://www.soci.org/events/lipids-group/2022/lipids-group-agm-and-young-lipid-scientist-award-2022		"[""conferences@soci.org""]"		1
https://www.soci.org/events/young-chemists-panel/2022/national-undergraduate-industrial-placement-showcase-2022	National undergraduate industrial placement showcase 2022	2022-06-21	2022-06-21		This event is aimed at undergraduate students currently undertaking industrial research placements. Those working in organic, biological, supramolecular, physical organic or medicinal chemistry and related fields are encouraged to apply. The event presents an excellent opportunity for chemistry industrial placement students to present their work to a national audience, and to learn about what their peers in other companies are working on.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"		SCI	https://www.soci.org/			"[{""start_time"": ""12:00PM"", ""end_time"": ""12:55PM"", ""day"": ""2022-06-21"", ""desc"": """", ""title"": ""Registration, lunch, and posters""}, {""start_time"": ""12:55PM"", ""end_time"": ""01:00PM"", ""day"": ""2022-06-21"", ""desc"": """", ""title"": ""Welcome and introduction""}, {""start_time"": ""01:00PM"", ""end_time"": ""01:15PM"", ""day"": ""2022-06-21"", ""desc"": """", ""title"": ""Development of a High-Throughput-NMR Workflow for the Optimisation of a Decarboxylation Reaction within the Chemical Development Department at GSK, Imogen Godsmark-Ford, GSK""}, {""start_time"": ""01:15PM"", ""end_time"": ""01:30PM"", ""day"": ""2022-06-21"", ""desc"": """", ""title"": ""Synthesis and Structure-Activity Analysis of an Azetidine Amide Array for a Neurological Target , Romilly Hryczanek, Evotec""}, {""start_time"": ""01:30PM"", ""end_time"": ""01:45PM"", ""day"": ""2022-06-21"", ""desc"": """", ""title"": ""Investigation into the stalling of a deoxychlorination reaction, Lucy Bridgewater, Sai Life Sciences""}, {""start_time"": ""01:45PM"", ""end_time"": ""02:00PM"", ""day"": ""2022-06-21"", ""desc"": """", ""title"": ""Optimising Buchwald-Hartwig Amination Conditions using High Throughput Experimentation, Dean Stimpson, Charles River""}, {""start_time"": ""02:00PM"", ""end_time"": ""03:00PM"", ""day"": ""2022-06-21"", ""desc"": """", ""title"": ""Poster session, networking, and refreshments""}, {""start_time"": ""03:00PM"", ""end_time"": ""03:15PM"", ""day"": ""2022-06-21"", ""desc"": """", ""title"": ""Synthesis of Aromatic Azides as Photoaffinity Probes, Eilidh McTaggart, Sosei Heptares""}, {""start_time"": ""03:15PM"", ""end_time"": ""03:30PM"", ""day"": ""2022-06-21"", ""desc"": """", ""title"": ""[3+2]-electrocyclisations: Utilising azomethine ylide cycloadditions to introduce diversity into sp3-rich compound libraries, Matthew Southern, Sygnature Discovery""}, {""start_time"": ""03:30PM"", ""end_time"": ""03:45PM"", ""day"": ""2022-06-21"", ""desc"": """", ""title"": ""Covalent inhibitors: From screening selection to nanomolar compounds, Hannah Baillie, MSD""}, {""start_time"": ""03:45PM"", ""end_time"": ""04:00PM"", ""day"": ""2022-06-21"", ""desc"": """", ""title"": ""Photochemical and Electrochemical Decarboxylative C-N Cross Coupling for the Synthesis of Aminal Prodrugs, Isabella Roberts, Vertex Pharmaceuticals""}, {""start_time"": ""04:00PM"", ""end_time"": """", ""day"": ""2022-06-21"", ""desc"": """", ""title"": ""Keynote presentation: Process Chemistry in the Pharmaceutical Industry, George Taylor, Sai Life Sciences""}]"			Alderley Park Conference Centre		Alderley Park Conference Centre, UK	https://www.soci.org/events/young-chemists-panel/2022/national-undergraduate-industrial-placement-showcase-2022	https://www.google.com/maps/place/Alderley+Park+Conference+Centre/@53.2779802,-2.232447,15z/data=!4m2!3m1!1s0x0:0x8fb23c25e4c28a1c?sa=X&ved=2ahUKEwjst5yU4Zb4AhX_i_0HHRQ3C-gQ_BJ6BAgYEAU	"[""conferences@soci.org""]"	"[[""George Taylor Sai Life Sciences""]]"	0
https://www.soci.org/events/colloid-and-surface-chemistry-group/2022/20th-joint-colloids-group-agm-2022	20th Joint Colloids Group AGM 2022	2022-06-22	2022-06-22		The members of the Joint Colloids Group (a joint interest group comprising the SCI Colloid & Surface Chemistry Group (CSCG) and the RSC Colloid & Interface Science Group (CISG)) cordially invite you to their 20th Annual General Meeting (AGM) on Wednesday 22nd June 2022.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"		SCI	https://www.soci.org/			"[{""start_time"": """", ""end_time"": """", ""day"": ""2022-06-22"", ""desc"": """", ""title"": ""Welcome""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-22"", ""desc"": """", ""title"": ""Apologies""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-22"", ""desc"": """", ""title"": ""Reports""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-22"", ""desc"": """", ""title"": ""Committee composition""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-22"", ""desc"": """", ""title"": ""Membership""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-22"", ""desc"": """", ""title"": ""Awards""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-22"", ""desc"": """", ""title"": ""Past and future events""}, {""start_time"": """", ""end_time"": """", ""day"": ""2022-06-22"", ""desc"": """", ""title"": ""Finances""}]"			London	United Kingdom	SCI, London, UK and online webinar	https://www.soci.org/events/colloid-and-surface-chemistry-group/2022/20th-joint-colloids-group-agm-2022		"[""conferences@soci.org""]"		0
