scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://events.tc.umn.edu/event/7579-all-about-dogs-day-at-the-minnesota-landscape	All About Dogs Day at the Minnesota Landscape Arboretum	2022-05-01	2022-06-04		10 a.m.-2 p.m. June 4 All About Dogs Day is our annual celebration of dogs in nature. Back by pup-ular demand, All About Dogs Day is a perfect opportunity to walk the trails, heel for photos and meet other dog-lovers amid the beauty of our 65-acre Dog Commons. This event is open to all dog owners and their favorite four-legged friends. Visit a variety of educational booths and shop with local pet vendors at our Dog Expo while also enjoying door prizes, pet agility demonstrations and dog-friendly contests.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						Minnesota Landscape Arboretum	USA	Minnesota Landscape Arboretum	https://events.tc.umn.edu/event/7579-all-about-dogs-day-at-the-minnesota-landscape	https://www.google.com/maps/place/Minnesota+Landscape+Arboretum+-+Advance+Reservations%2FTickets+Required/@44.8621639,-93.6162667,15z/data=!4m2!3m1!1s0x0:0xeab1cb505e8f2fe0?sa=X&ved=2ahUKEwiVmeuQqtn3AhVzhP0HHbLBD-oQ_BJ6BAg0EAU			0
https://events.tc.umn.edu/event/7841-architecture-final-project-display-march-ms	ARCHITECTURE FINAL PROJECT DISPLAY (M.Arch & MS)	2022-05-11	2022-05-13		View final projects by graduate students in architecture.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://events.tc.umn.edu/event/7841-architecture-final-project-display-march-ms		Mahva Jones, jone3676@umn.edu		1
https://events.tc.umn.edu/event/7368-exhibition-birds-birds-birds-art-takes-flight-at	EXHIBITION | Birds, Birds, Birds: Art Takes Flight at the Arb in the Reedy Gallery	2022-05-05	2022-06-28		** Reserve your ticket or use your EZ Pass today, arb.umn.edu ** For as long as humans have been creating art, birds have been a source of inspiration. In this show, several painters, a sculptor and mosaic artist come together to honor our feathered friends. Join artists Brenna Busse, Georgia Kandiko, Lucy LeMay, Laura Ruprecht and James Turner as they visually demonstrate their affinity for these winged creatures. Cost: Included with gate admission; free for members, $15 for non-members ages 16 and older; free for children 15 and younger. Additional information: https://arb.umn.edu/art-arboretum/reedy-gallery			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						3675 Arboretum Drive, Chaska, MN 55318	USA	3675 Arboretum Drive, Chaska, MN 55318	https://events.tc.umn.edu/event/7368-exhibition-birds-birds-birds-art-takes-flight-at	https://www.google.com/maps/place/3675+Arboretum+Dr,+Chaska,+MN+55318,+USA/data=!4m2!3m1!1s0x87f604816a470727:0x3091ff4f58deab65?sa=X&ved=2ahUKEwi9z4ydqtn3AhXYhf0HHSZ5CIYQ8gF6BAgCEAE			0
https://events.tc.umn.edu/event/7364-exhibition-pollinator-friendly-paintings-by	EXHIBITION | Pollinator Friendly: Paintings by Abigail Blythe Davisson in the Cafe Gallery at the Minnesota Landscape Arboretum	2022-04-07	2022-05-22		** Reserve your ticket or use your EZ Pass today, arb.umn.edu ** Local artist Abigail Blythe Davisson’s work is inspired by our pollinator friends. Let your mind release as each image takes you on a journey around the canvas. Cost: Included with gate admission; free for members, $15 for non-members ages 16 and older; free for children 15 and younger. Website: https://arb.umn.edu/art-arboretum/cafe-gallery			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						Minnesota Landscape Arboretum	USA	Minnesota Landscape Arboretum	https://events.tc.umn.edu/event/7364-exhibition-pollinator-friendly-paintings-by	https://www.google.com/maps/place/Minnesota+Landscape+Arboretum+-+Advance+Reservations%2FTickets+Required/@44.8621639,-93.6162667,15z/data=!4m2!3m1!1s0x0:0xeab1cb505e8f2fe0?sa=X&ved=2ahUKEwiVmeuQqtn3AhVzhP0HHbLBD-oQ_BJ6BAg0EAU			0
https://events.tc.umn.edu/event/7863-exhibition-post-	EXHIBITION | post-	2022-05-03	2022-05-14		The Katherine E. Nash Gallery at the University of Minnesota presents post-, a group exhibition of twenty-eight Bachelor of Fine Arts candidates about to complete their degrees in the Department of Art at the University of Minnesota. The exhibition includes works by Stephen Alberts, Dez Bilges, Ashley Brazil, Emma Bushard, Anna Carlson, Ruby Cromer, Nick Dolan, Jo Garrison, Cooper Gatzmer, Eleanor Giese, Sarah Heinrich, Jordan Homstad, Trevor Jensen, Callianne Jones, Kruz Karstedt, Reid Edward Luskey, Fatuma Mohamud, Maria Oostra, Natalia Poteryakhin, Nikki Praus, Julia Reising, Barbara Shaterian, Bec Skelton, Syd Smith, Grant Staplin, Eleanore McKenzie Stevenson, Savannah Tines, and Maya Valadez.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						Katherine E. Nash Gallery	USA	Katherine E. Nash Gallery	https://events.tc.umn.edu/event/7863-exhibition-post-	https://www.google.com/maps/place/Katherine+E.+Nash+Gallery/@44.9697212,-93.2423536,15z/data=!4m2!3m1!1s0x0:0x4a13646f990741d6?sa=X&ved=2ahUKEwjN-petqtn3AhW3iv0HHc6sCtQQ_BJ6BAgfEAU	artdept@umn.edu		0
https://events.tc.umn.edu/event/3888-exhibition-totally-radical-designing-the-1980s	EXHIBITION | Totally Radical: Designing the 1980s	2022-12-04	2022-05-27		Presented by the Goldstein Museum of Design			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://events.tc.umn.edu/event/3888-exhibition-totally-radical-designing-the-1980s		Goldstein Museum of Design, 612-624-7434 or gmd@umn.edu		1
https://events.tc.umn.edu/event/5229-exhibitionartists-among-the-trees-maple-miller-and	EXHIBITION︱Artists Among the Trees: Maple, Miller, and Singh	2022-02-11	2022-05-15		An exhibit showcasing different forms of artwork incorporating trees.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://events.tc.umn.edu/event/5229-exhibitionartists-among-the-trees-maple-miller-and		Deborah K. Ultan, ultan004@umn.edu		1
https://events.tc.umn.edu/event/7921-hennepin-history-museum-separate-not-equal-the	Hennepin History Museum ┃Separate Not Equal: The Hale-Field Pairing	2022-04-28	2022-04-28		The exhibit pays tribute to the parents and educators who fought for desegregation and discusses the legal precedents and landmark rulings that lead up to the 1971 pairing.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						Hennepin History Museum	USA	Hennepin History Museum	https://events.tc.umn.edu/event/7921-hennepin-history-museum-separate-not-equal-the	https://www.google.com/maps/place/Hennepin+History+Museum/@44.9601347,-93.2724435,15z/data=!4m2!3m1!1s0x0:0xe0fc12322c05aac0?sa=X&ved=2ahUKEwiN25W8qtn3AhUe_7sIHeQxAMoQ_BJ6BAgmEAU	Rosella DePietro, rosella.depietro@hennepinhistory.org		0
https://events.tc.umn.edu/event/7404-may-markets-at-the-minnesota-landscape-arboretum	May Markets at the Minnesota Landscape Arboretum	2022-04-15	2022-05-29		10 a.m.-4 p.m. April 30 & May 1, May 14-15, May 21-22, May 28-29 Walk through spring blooms while shopping from up to 60 local artists and artisans on weekends throughout May at the Arboretum.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						3675 Arboretum Drive, Chaska, MN 55318	USA	3675 Arboretum Drive, Chaska, MN 55318	https://events.tc.umn.edu/event/7404-may-markets-at-the-minnesota-landscape-arboretum	https://www.google.com/maps/place/3675+Arboretum+Dr,+Chaska,+MN+55318,+USA/data=!4m2!3m1!1s0x87f604816a470727:0x3091ff4f58deab65?sa=X&ved=2ahUKEwi9z4ydqtn3AhXYhf0HHSZ5CIYQ8gF6BAgCEAE			0
https://events.tc.umn.edu/event/4956-restorative-expanded-functions-an-80-hour-training	Restorative Expanded Functions: An 80-hour Training Program	2022-02-26	2022-05-15		Add a new dimension and greater clinical responsibility to your career with this practical Restorative Functions (RF) training and credentialing program.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://events.tc.umn.edu/event/4956-restorative-expanded-functions-an-80-hour-training		cdeumn@umn.edu		1
