scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://devimpactinstitute.com/courses/project-management/training-on-child-protection	Training on Child Protection	2022-05-09	2022-05-17		Child protection consists of reducing risks to children’s holistic wellbeing, making children's rights to protection a reality, restoring hope and a dignified life where abuse and violence has occured and creating an enabling environment that supports children's positive development. Child protection work considers systems and community-based approaches to protection, including change at the institutional, community, family and individual level.		Devimpact Institute is a leading provider of research, training and consultancy services to international development organizations. We assist our partners to increase the impact and efficiency of their social interventions by providing a range of innovative solutions for sustainable results.	Devimpact Institute	https://devimpactinstitute.com/									https://devimpactinstitute.com/courses/online-booking/training-on-child-protection?occurrence=3481		"""info@devimpactinstitute.com"""		1
https://devimpactinstitute.com/courses/project-management/training-on-child-protection	Training on Child Protection	2022-05-23	2022-05-31		Child protection consists of reducing risks to children’s holistic wellbeing, making children's rights to protection a reality, restoring hope and a dignified life where abuse and violence has occured and creating an enabling environment that supports children's positive development. Child protection work considers systems and community-based approaches to protection, including change at the institutional, community, family and individual level.		Devimpact Institute is a leading provider of research, training and consultancy services to international development organizations. We assist our partners to increase the impact and efficiency of their social interventions by providing a range of innovative solutions for sustainable results.	Devimpact Institute	https://devimpactinstitute.com/									https://devimpactinstitute.com/courses/online-booking/training-on-child-protection?occurrence=3480		"""info@devimpactinstitute.com"""		1
https://devimpactinstitute.com/courses/project-management/training-on-child-protection	Training on Child Protection	2022-06-06	2022-06-14		Child protection consists of reducing risks to children’s holistic wellbeing, making children's rights to protection a reality, restoring hope and a dignified life where abuse and violence has occured and creating an enabling environment that supports children's positive development. Child protection work considers systems and community-based approaches to protection, including change at the institutional, community, family and individual level.		Devimpact Institute is a leading provider of research, training and consultancy services to international development organizations. We assist our partners to increase the impact and efficiency of their social interventions by providing a range of innovative solutions for sustainable results.	Devimpact Institute	https://devimpactinstitute.com/									https://devimpactinstitute.com/courses/online-booking/training-on-child-protection?occurrence=3479		"""info@devimpactinstitute.com"""		1
https://devimpactinstitute.com/courses/project-management/training-on-child-protection	Training on Child Protection	2022-06-20	2022-06-28		Child protection consists of reducing risks to children’s holistic wellbeing, making children's rights to protection a reality, restoring hope and a dignified life where abuse and violence has occured and creating an enabling environment that supports children's positive development. Child protection work considers systems and community-based approaches to protection, including change at the institutional, community, family and individual level.		Devimpact Institute is a leading provider of research, training and consultancy services to international development organizations. We assist our partners to increase the impact and efficiency of their social interventions by providing a range of innovative solutions for sustainable results.	Devimpact Institute	https://devimpactinstitute.com/									https://devimpactinstitute.com/courses/online-booking/training-on-child-protection?occurrence=3478		"""info@devimpactinstitute.com"""		1
https://devimpactinstitute.com/courses/project-management/training-on-child-protection	Training on Child Protection	2022-07-04	2022-07-12		Child protection consists of reducing risks to children’s holistic wellbeing, making children's rights to protection a reality, restoring hope and a dignified life where abuse and violence has occured and creating an enabling environment that supports children's positive development. Child protection work considers systems and community-based approaches to protection, including change at the institutional, community, family and individual level.		Devimpact Institute is a leading provider of research, training and consultancy services to international development organizations. We assist our partners to increase the impact and efficiency of their social interventions by providing a range of innovative solutions for sustainable results.	Devimpact Institute	https://devimpactinstitute.com/									https://devimpactinstitute.com/courses/online-booking/training-on-child-protection?occurrence=3477		"""info@devimpactinstitute.com"""		1
https://devimpactinstitute.com/courses/project-management/training-on-child-protection	Training on Child Protection	2022-07-18	2022-07-26		Child protection consists of reducing risks to children’s holistic wellbeing, making children's rights to protection a reality, restoring hope and a dignified life where abuse and violence has occured and creating an enabling environment that supports children's positive development. Child protection work considers systems and community-based approaches to protection, including change at the institutional, community, family and individual level.		Devimpact Institute is a leading provider of research, training and consultancy services to international development organizations. We assist our partners to increase the impact and efficiency of their social interventions by providing a range of innovative solutions for sustainable results.	Devimpact Institute	https://devimpactinstitute.com/									https://devimpactinstitute.com/courses/online-booking/training-on-child-protection?occurrence=3476		"""info@devimpactinstitute.com"""		1
https://devimpactinstitute.com/courses/project-management/training-on-child-protection	Training on Child Protection	2022-08-01	2022-08-09		Child protection consists of reducing risks to children’s holistic wellbeing, making children's rights to protection a reality, restoring hope and a dignified life where abuse and violence has occured and creating an enabling environment that supports children's positive development. Child protection work considers systems and community-based approaches to protection, including change at the institutional, community, family and individual level.		Devimpact Institute is a leading provider of research, training and consultancy services to international development organizations. We assist our partners to increase the impact and efficiency of their social interventions by providing a range of innovative solutions for sustainable results.	Devimpact Institute	https://devimpactinstitute.com/									https://devimpactinstitute.com/courses/online-booking/training-on-child-protection?occurrence=3475		"""info@devimpactinstitute.com"""		1
https://devimpactinstitute.com/courses/project-management/training-on-child-protection	Training on Child Protection	2022-08-15	2022-08-23		Child protection consists of reducing risks to children’s holistic wellbeing, making children's rights to protection a reality, restoring hope and a dignified life where abuse and violence has occured and creating an enabling environment that supports children's positive development. Child protection work considers systems and community-based approaches to protection, including change at the institutional, community, family and individual level.		Devimpact Institute is a leading provider of research, training and consultancy services to international development organizations. We assist our partners to increase the impact and efficiency of their social interventions by providing a range of innovative solutions for sustainable results.	Devimpact Institute	https://devimpactinstitute.com/									https://devimpactinstitute.com/courses/online-booking/training-on-child-protection?occurrence=3474		"""info@devimpactinstitute.com"""		1
https://devimpactinstitute.com/courses/project-management/training-on-child-protection	Training on Child Protection	2022-08-29	2022-09-06		Child protection consists of reducing risks to children’s holistic wellbeing, making children's rights to protection a reality, restoring hope and a dignified life where abuse and violence has occured and creating an enabling environment that supports children's positive development. Child protection work considers systems and community-based approaches to protection, including change at the institutional, community, family and individual level.		Devimpact Institute is a leading provider of research, training and consultancy services to international development organizations. We assist our partners to increase the impact and efficiency of their social interventions by providing a range of innovative solutions for sustainable results.	Devimpact Institute	https://devimpactinstitute.com/									https://devimpactinstitute.com/courses/online-booking/training-on-child-protection?occurrence=3473		"""info@devimpactinstitute.com"""		1
https://devimpactinstitute.com/courses/project-management/training-on-child-protection	Training on Child Protection	2022-09-12	2022-09-20		Child protection consists of reducing risks to children’s holistic wellbeing, making children's rights to protection a reality, restoring hope and a dignified life where abuse and violence has occured and creating an enabling environment that supports children's positive development. Child protection work considers systems and community-based approaches to protection, including change at the institutional, community, family and individual level.		Devimpact Institute is a leading provider of research, training and consultancy services to international development organizations. We assist our partners to increase the impact and efficiency of their social interventions by providing a range of innovative solutions for sustainable results.	Devimpact Institute	https://devimpactinstitute.com/									https://devimpactinstitute.com/courses/online-booking/training-on-child-protection?occurrence=4211		"""info@devimpactinstitute.com"""		1
