scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
	Leading SAFe (SAFe Agilist ) 5.1 Training – Virtual (15, 21 & 22 May IST)	2022-05-15	2022-05-22	"[{""type"": ""general"", ""start_time"": ""04:30PM"", ""end_time"": ""9:30PM"", ""timezone"": ""IST"", ""days"": ""all""}]"		"[{""type"": ""paid"", ""price"": ""595"", ""currency"": ""$""}]"	iZenBridge is the leading training provider, offering both classroom and online training across the globe. Your learning experience starts with us.	iZenbridge Consultancy Private Limited	https://www.izenbridge.com/											"[""sales@izenbridge.com""]"	"[{""name"": ""Saket Bansal "", ""title"": """", ""link"": ""https://www.izenbridge.com/trainers/saket.bansal/""}]"	1
	Advanced Certified ScrumMaster® (A-CSM) Virtual Training (18, 19 & 20 May)	2022-05-18	2022-05-20	"[{""type"": ""general"", ""start_time"": ""6:00PM"", ""end_time"": ""10:30PM"", ""timezone"": ""IST"", ""days"": ""all""}]"		"[{""type"": ""paid"", ""price"": ""45892"", ""currency"": ""\u20b9""}]"	iZenBridge is the leading training provider, offering both classroom and online training across the globe. Your learning experience starts with us.	iZenbridge Consultancy Private Limited	https://www.izenbridge.com/											"[""sales@izenbridge.com""]"	"[{""name"": ""Sekhar Burra"", ""title"": """", ""link"": ""https://www.izenbridge.com/trainers/sekhar-burra/""}]"	1
	Certified Scrum Master Training Virtual (18, 19 & 20 May)	2022-05-18	2022-05-20	"[{""type"": ""general"", ""start_time"": ""6:00AM"", ""end_time"": ""11:00AM"", ""timezone"": ""IST"", ""days"": ""all""}]"		"[{""type"": ""paid"", ""price"": ""45892"", ""currency"": ""\u20b9""}]"	iZenBridge is the leading training provider, offering both classroom and online training across the globe. Your learning experience starts with us.	iZenbridge Consultancy Private Limited	https://www.izenbridge.com/											"[""sales@izenbridge.com""]"	"[{""name"": ""Madhavi Ledalla"", ""title"": """", ""link"": ""https://www.izenbridge.com/trainers/madhavi/""}]"	1
	SAFe DevOps Practitioner Certification Virtual (21, 22 & 28 May)	2022-05-21	2022-05-28	"[{""type"": ""general"", ""start_time"": ""8:00AM"", ""end_time"": ""1:00PMEDT"", ""timezone"": """", ""days"": ""all""}]"		"[{""type"": ""paid"", ""price"": ""595"", ""currency"": ""$""}]"	iZenBridge is the leading training provider, offering both classroom and online training across the globe. Your learning experience starts with us.	iZenbridge Consultancy Private Limited	https://www.izenbridge.com/											"[""sales@izenbridge.com""]"	"[{""name"": ""Pulasti Choudhary"", ""title"": """", ""link"": ""https://www.izenbridge.com/trainers/pulasti-choudhary/""}]"	1
	SAFe Product Owner / Product Manager  – Virtual (21, 22 & 28 May EST)	2022-05-21	2022-05-28	"[{""type"": ""general"", ""start_time"": ""6:30AM"", ""end_time"": ""11:30AM"", ""timezone"": ""EST"", ""days"": ""all""}]"		"[{""type"": ""paid"", ""price"": ""595"", ""currency"": ""$""}]"	iZenBridge is the leading training provider, offering both classroom and online training across the globe. Your learning experience starts with us.	iZenbridge Consultancy Private Limited	https://www.izenbridge.com/											"[""sales@izenbridge.com""]"	"[{""name"": ""Prashamsa"", ""title"": """", ""link"": ""https://www.izenbridge.com/trainers/prashamsa/""}]"	1
	Certified Scrum Master Training Virtual (21 – 22 May)	2022-05-21	2022-05-22	"[{""type"": ""general"", ""start_time"": ""3:00PM"", ""end_time"": ""11:00PM"", ""timezone"": ""IST"", ""days"": ""all""}]"		"[{""type"": ""paid"", ""price"": ""45892"", ""currency"": ""\u20b9""}]"	iZenBridge is the leading training provider, offering both classroom and online training across the globe. Your learning experience starts with us.	iZenbridge Consultancy Private Limited	https://www.izenbridge.com/											"[""sales@izenbridge.com""]"	"[{""name"": ""Sekhar Burra"", ""title"": """", ""link"": ""https://www.izenbridge.com/trainers/sekhar-burra/""}]"	1
	ICAgile Certified Professional- Business Agility Foundations (ICP-BAF) Virtual (21 & 22 May EST)	2022-05-21	2022-05-22	"[{""type"": ""general"", ""start_time"": ""6:00AM"", ""end_time"": ""2:00PM"", ""timezone"": ""EST"", ""days"": ""all""}]"		"[{""type"": ""paid"", ""price"": ""595"", ""currency"": ""$""}]"	iZenBridge is the leading training provider, offering both classroom and online training across the globe. Your learning experience starts with us.	iZenbridge Consultancy Private Limited	https://www.izenbridge.com/											"[""sales@izenbridge.com""]"	"[{""name"": ""Rakesh Singh"", ""title"": """", ""link"": ""https://www.izenbridge.com/trainers/rakesh-singh/""}]"	1
	Certified Scrum Master Training Virtual (28 – 29 May)	2022-05-28	2022-05-29	"[{""type"": ""general"", ""start_time"": ""3:00PM"", ""end_time"": ""11:00PM"", ""timezone"": ""IST"", ""days"": ""all""}]"		"[{""type"": ""paid"", ""price"": ""45892"", ""currency"": ""\u20b9""}]"	iZenBridge is the leading training provider, offering both classroom and online training across the globe. Your learning experience starts with us.	iZenbridge Consultancy Private Limited	https://www.izenbridge.com/											"[""sales@izenbridge.com""]"	"[{""name"": ""Sekhar Burra"", ""title"": """", ""link"": ""https://www.izenbridge.com/trainers/sekhar-burra/""}]"	1
	SAFe Agile Product Manager (APM)- Virtual (28, 29 May & 4 June)	2022-05-28	2022-06-04	"[{""type"": ""general"", ""start_time"": ""7:00AM"", ""end_time"": ""2:00PM"", ""timezone"": ""EST"", ""days"": ""all""}]"		"[{""type"": ""paid"", ""price"": ""595"", ""currency"": ""$""}]"	iZenBridge is the leading training provider, offering both classroom and online training across the globe. Your learning experience starts with us.	iZenbridge Consultancy Private Limited	https://www.izenbridge.com/											"[""sales@izenbridge.com""]"	"[{""name"": ""Rakesh Singh"", ""title"": """", ""link"": ""https://www.izenbridge.com/trainers/rakesh-singh/""}]"	1
	Industry Enabled Scrum Master (IESM) Virtual (2, 3, 9 & 10 June)	2022-06-02	2022-06-10	"[{""type"": ""general"", ""start_time"": ""6:00AM"", ""end_time"": ""9:00AM"", ""timezone"": ""IST"", ""days"": ""all""}]"		"[{""type"": ""paid"", ""price"": ""595"", ""currency"": ""$""}]"	iZenBridge is the leading training provider, offering both classroom and online training across the globe. Your learning experience starts with us.	iZenbridge Consultancy Private Limited	https://www.izenbridge.com/											"[""sales@izenbridge.com""]"	"[{""name"": ""Kapil Anand\u00a0"", ""title"": """", ""link"": ""https://www.izenbridge.com/trainers/kapil-anand/""}]"	1
