scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category	Training Course on Designing and Conducting Surveys for M	2022-06-13	2022-06-17		A survey gathers data from or about individuals to depict, analyze, or clarify their insight, states of mind, and conduct. In opposition to a census, an survey as a rule gathers information from a sample, from which analysts make inferences regarding the entire populace.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category	Training Course on Designing and Conducting Surveys for M	2022-06-27	2022-07-01		A survey gathers data from or about individuals to depict, analyze, or clarify their insight, states of mind, and conduct. In opposition to a census, an survey as a rule gathers information from a sample, from which analysts make inferences regarding the entire populace.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category	Training Course on Designing and Conducting Surveys for M	2022-07-11	2022-07-15		A survey gathers data from or about individuals to depict, analyze, or clarify their insight, states of mind, and conduct. In opposition to a census, an survey as a rule gathers information from a sample, from which analysts make inferences regarding the entire populace.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category	Training Course on Designing and Conducting Surveys for M	2022-07-25	2022-07-29		A survey gathers data from or about individuals to depict, analyze, or clarify their insight, states of mind, and conduct. In opposition to a census, an survey as a rule gathers information from a sample, from which analysts make inferences regarding the entire populace.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category	Training Course on Designing and Conducting Surveys for M	2022-08-08	2022-08-12		A survey gathers data from or about individuals to depict, analyze, or clarify their insight, states of mind, and conduct. In opposition to a census, an survey as a rule gathers information from a sample, from which analysts make inferences regarding the entire populace.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category	Training Course on Designing and Conducting Surveys for M	2022-05-30	2022-06-03		A survey gathers data from or about individuals to depict, analyze, or clarify their insight, states of mind, and conduct. In opposition to a census, an survey as a rule gathers information from a sample, from which analysts make inferences regarding the entire populace.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category	Training Course on Designing and Conducting Surveys for M	2022-05-16	2022-05-20		A survey gathers data from or about individuals to depict, analyze, or clarify their insight, states of mind, and conduct. In opposition to a census, an survey as a rule gathers information from a sample, from which analysts make inferences regarding the entire populace.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category	Training Course on Designing and Conducting Surveys for M	2022-05-02	2022-05-06		A survey gathers data from or about individuals to depict, analyze, or clarify their insight, states of mind, and conduct. In opposition to a census, an survey as a rule gathers information from a sample, from which analysts make inferences regarding the entire populace.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category	Training Course on Designing and Conducting Surveys for M	2022-09-05	2022-09-09		A survey gathers data from or about individuals to depict, analyze, or clarify their insight, states of mind, and conduct. In opposition to a census, an survey as a rule gathers information from a sample, from which analysts make inferences regarding the entire populace.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category	Training Course on Designing and Conducting Surveys for M	2022-08-22	2022-08-26		A survey gathers data from or about individuals to depict, analyze, or clarify their insight, states of mind, and conduct. In opposition to a census, an survey as a rule gathers information from a sample, from which analysts make inferences regarding the entire populace.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Designing and Conducting Surveys for M&E&id=42&category=Select Category		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis	Training Course on Data Management, Graphics and Statistical analysis using SPSS	2022-09-05	2022-09-09		SPSS is extensively applied in virtually every field including in government, business, and academia. It is a statistical analysis tool that allows any firm or individual to analyze huge chunks of data in order to understand it. The most common use of SPSS is to draw correlations between variables and to make statistically valid forecasts for future results.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis	Training Course on Data Management, Graphics and Statistical analysis using SPSS	2022-05-02	2022-05-06		SPSS is extensively applied in virtually every field including in government, business, and academia. It is a statistical analysis tool that allows any firm or individual to analyze huge chunks of data in order to understand it. The most common use of SPSS is to draw correlations between variables and to make statistically valid forecasts for future results.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis	Training Course on Data Management, Graphics and Statistical analysis using SPSS	2022-05-16	2022-05-20		SPSS is extensively applied in virtually every field including in government, business, and academia. It is a statistical analysis tool that allows any firm or individual to analyze huge chunks of data in order to understand it. The most common use of SPSS is to draw correlations between variables and to make statistically valid forecasts for future results.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis	Training Course on Data Management, Graphics and Statistical analysis using SPSS	2022-05-30	2022-06-03		SPSS is extensively applied in virtually every field including in government, business, and academia. It is a statistical analysis tool that allows any firm or individual to analyze huge chunks of data in order to understand it. The most common use of SPSS is to draw correlations between variables and to make statistically valid forecasts for future results.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis	Training Course on Data Management, Graphics and Statistical analysis using SPSS	2022-06-13	2022-06-17		SPSS is extensively applied in virtually every field including in government, business, and academia. It is a statistical analysis tool that allows any firm or individual to analyze huge chunks of data in order to understand it. The most common use of SPSS is to draw correlations between variables and to make statistically valid forecasts for future results.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis	Training Course on Data Management, Graphics and Statistical analysis using SPSS	2022-06-27	2022-07-01		SPSS is extensively applied in virtually every field including in government, business, and academia. It is a statistical analysis tool that allows any firm or individual to analyze huge chunks of data in order to understand it. The most common use of SPSS is to draw correlations between variables and to make statistically valid forecasts for future results.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis	Training Course on Data Management, Graphics and Statistical analysis using SPSS	2022-07-11	2022-07-15		SPSS is extensively applied in virtually every field including in government, business, and academia. It is a statistical analysis tool that allows any firm or individual to analyze huge chunks of data in order to understand it. The most common use of SPSS is to draw correlations between variables and to make statistically valid forecasts for future results.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis	Training Course on Data Management, Graphics and Statistical analysis using SPSS	2022-07-25	2022-07-29		SPSS is extensively applied in virtually every field including in government, business, and academia. It is a statistical analysis tool that allows any firm or individual to analyze huge chunks of data in order to understand it. The most common use of SPSS is to draw correlations between variables and to make statistically valid forecasts for future results.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis	Training Course on Data Management, Graphics and Statistical analysis using SPSS	2022-08-08	2022-08-12		SPSS is extensively applied in virtually every field including in government, business, and academia. It is a statistical analysis tool that allows any firm or individual to analyze huge chunks of data in order to understand it. The most common use of SPSS is to draw correlations between variables and to make statistically valid forecasts for future results.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis	Training Course on Data Management, Graphics and Statistical analysis using SPSS	2022-08-22	2022-08-26		SPSS is extensively applied in virtually every field including in government, business, and academia. It is a statistical analysis tool that allows any firm or individual to analyze huge chunks of data in order to understand it. The most common use of SPSS is to draw correlations between variables and to make statistically valid forecasts for future results.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Data Management, Graphics and Statistical analysis using SPSS&id=41&category=Research & Data Analysis		"[""info@datastatresearch.org""]"		1
http://datastatresearch.org/courses/course-details.php?title=Training Course on Emergency Planning Management&id=265&category=Project Management	Training Course on Emergency Planning Management	2022-06-27	2022-07-01		Thorough understanding of the issues that underlie many of the day-to-day problems faced by practitioners in the field of emergency planning and management is very important in these times where emergencies of various kinds are so common. These risks are high and hence increased levels of preparedness and more effective responses to realized risks are thus necessary.			Datastat Research	https://datastatresearch.org/									http://datastatresearch.org/courses/course-details.php?title=Training Course on Emergency Planning Management&id=265&category=Project Management		"[""info@datastatresearch.org""]"		1
