scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://theilp.org.uk/event/hi-lights-from-the-ilp-7/	Hi Lights from the ILP	2022-04-25	2022-04-25	"[{""type"": ""general"", ""start_time"": ""1:00PM"", ""end_time"": ""3:00PM"", ""timezone"": """", ""days"": ""all""}]"		"[{""type"": ""Free"", ""price"": """", ""currency"": """"}]"		Institution of Lighting Professionals	https://theilp.org.uk/									https://www.eventbrite.co.uk/e/hi-lights-from-the-ilp-tickets-256708832027		"[""info@theilp.org.uk""]"		1
https://theilp.org.uk/event/how-to-be-brilliant-at-co-design/	How To Be Brilliant at Co-Design	2022-04-26	2022-04-26	"[{""type"": ""general"", ""start_time"": ""6:00PM"", ""end_time"": ""9:00PM"", ""timezone"": """", ""days"": ""all""}]"		"[{""type"": ""Free"", ""price"": """", ""currency"": """"}]"		Institution of Lighting Professionals	https://theilp.org.uk/						Arup, 10 George Street Edinburgh, England EH2 2PF United Kingdom		Arup, 10 George Street Edinburgh, England EH2 2PF United Kingdom	https://www.eventbrite.co.uk/e/how-to-be-brilliant-at-co-design-tickets-313503747147	https://www.google.com/maps/place/Arup/@55.9536672,-3.1952057,15z/data=!4m5!3m4!1s0x0:0x66ec5399b7b8daae!8m2!3d55.9536652!4d-3.1952182	"[""info@theilp.org.uk""]"		0
https://theilp.org.uk/event/rolan-2022/	ROLAN 2022							Institution of Lighting Professionals	https://theilp.org.uk/									https://theilp.org.uk/event/rolan-2022/		"[""info@theilp.org.uk""]"		1
https://theilp.org.uk/event/dark-skies-and-new-technology-for-lighting-cpd-social-event/	Dark Skies and New Technology for Lighting:  CPD & Social Event	2022-05-19	2022-05-19	"[{""type"": ""general"", ""start_time"": ""10:00AM"", ""end_time"": ""11:30PM"", ""timezone"": """", ""days"": ""all""}]"		"[{""type"": ""Paid"", ""price"": ""8.00 "", ""currency"": ""\u00a3""}]"		Institution of Lighting Professionals	https://theilp.org.uk/						The Tower Hotel & Leisure Centre, The Mall Waterford, Waterford X91 VXE0 Ireland		The Tower Hotel & Leisure Centre, The Mall Waterford, Waterford X91 VXE0 Ireland	https://www.eventbrite.co.uk/e/dark-skies-and-new-technology-for-lighting-cpd-social-event-tickets-324927315347	https://www.google.com/maps/place/Twin+Tower+Hotel+%26+Suites/@6.5044852,3.3502217,15z/data=!4m2!3m1!1s0x0:0xb9003baf28a0ca36?sa=X&ved=2ahUKEwiJ_pbw9Kj3AhUw_7sIHa-4AaMQ_BJ6BAgwEAU	"[""info@theilp.org.uk""]"		0
https://theilp.org.uk/event/ylp-technical-meeting-cpd-papers-factory-tour/	YLP Technical Meeting – CPD Papers & Factory Tour	2022-05-19	2022-05-19	"[{""type"": ""general"", ""start_time"": ""12:00PM"", ""end_time"": ""4:00PM"", ""timezone"": """", ""days"": ""all""}]"		"[{""type"": ""Free"", ""price"": """", ""currency"": """"}]"		Institution of Lighting Professionals	https://theilp.org.uk/						DW Windsor, Pindar Road Hoddesdon, England EN11 0DX United Kingdom		DW Windsor, Pindar Road Hoddesdon, England EN11 0DX United Kingdom	https://www.eventbrite.co.uk/e/ylp-technical-meeting-cpd-papers-factory-tour-tickets-324903845147	https://www.google.com/maps/place/DW+Windsor/@51.7645388,0.0054054,15z/data=!4m2!3m1!1s0x0:0xaeddcd3273e5d548?sa=X&ved=2ahUKEwjAtMf89Kj3AhXiUOUKHbPnBsUQ_BJ6BAgmEAU	"[""info@theilp.org.uk""]"		0
https://theilp.org.uk/event/hi-lights-from-the-ilp-8/	Hi Lights from the ILP	2022-05-23	2022-05-23	"[{""type"": ""general"", ""start_time"": ""1:00PM"", ""end_time"": ""3:00PM"", ""timezone"": """", ""days"": ""all""}]"		"[{""type"": ""Free"", ""price"": """", ""currency"": """"}]"		Institution of Lighting Professionals	https://theilp.org.uk/									https://www.eventbrite.co.uk/e/hi-lights-from-the-ilp-tickets-256709774847		"[""info@theilp.org.uk""]"		1
https://theilp.org.uk/event/clerkenwell-design-week-2022/	Clerkenwell Design Week 2022							Institution of Lighting Professionals	https://theilp.org.uk/									https://theilp.org.uk/event/clerkenwell-design-week-2022/		"[""info@theilp.org.uk""]"		1
https://theilp.org.uk/event/professional-lighting-summit-2022-exhibitors-sponsors/	Professional Lighting Summit 2022 – EXHIBITORS & SPONSORS	2022-06-21	2022-06-22	"[{""type"": ""general"", ""start_time"": ""9:30AM"", ""end_time"": ""4:30PM"", ""timezone"": """", ""days"": ""all""}]"		"[{""type"": ""Paid"", ""price"": ""700.00 "", ""currency"": ""\u00a3""}]"		Institution of Lighting Professionals	https://theilp.org.uk/						Watershed, 1 Canon's Road Bristol, England BS1 5TX United Kingdom		Watershed, 1 Canon's Road Bristol, England BS1 5TX United Kingdom	https://www.eventbrite.co.uk/e/professional-lighting-summit-2022-exhibitors-sponsors-registration-274129256987	https://www.google.com/maps/place/Watershed/@51.4513915,-2.5982592,15z/data=!4m2!3m1!1s0x0:0x78607ce02ba4510?sa=X&ved=2ahUKEwj3_9Kd9aj3AhWkg_0HHcnaBPoQ_BJ6BAglEAU	"[""info@theilp.org.uk""]"		0
https://theilp.org.uk/event/professional-lighting-summit-2022-2/	Professional Lighting Summit 2022	2022-06-21	2022-06-22	"[{""type"": ""general"", ""start_time"": ""9:30AM"", ""end_time"": ""4:30PM"", ""timezone"": """", ""days"": ""all""}]"		"[{""type"": ""Paid"", ""price"": ""20.00 "", ""currency"": ""\u00a3""}]"		Institution of Lighting Professionals	https://theilp.org.uk/						Watershed (daytime) & Bristol Hotel (evening of 21.06.22), Multiple locations Bristol, England BS1 5TX United Kingdom		Watershed (daytime) & Bristol Hotel (evening of 21.06.22), Multiple locations Bristol, England BS1 5TX United Kingdom	https://www.eventbrite.co.uk/e/professional-lighting-summit-2022-registration-296674570627		"[""info@theilp.org.uk""]"		0
https://theilp.org.uk/event/hi-lights-from-the-ilp-9/	Hi Lights from the ILP	2022-07-18	2022-07-18	"[{""type"": ""general"", ""start_time"": ""1:00PM"", ""end_time"": ""3:00PM"", ""timezone"": """", ""days"": ""all""}]"		"[{""type"": ""Free"", ""price"": """", ""currency"": """"}]"		Institution of Lighting Professionals	https://theilp.org.uk/									https://www.eventbrite.co.uk/e/hi-lights-from-the-ilp-tickets-256710497007		"[""info@theilp.org.uk""]"		1
