scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://upskilldevelopment.com/account-management-and-business-development-course	Account Management and Business Development Course	2022-04-25	2022-04-29		Strategic Account Management and Business Development focuses on training Sales Professionals to maximize their results with current clients while developing business and securing new customers. Maximizing account penetration and positively impacting the buying decision is a critical skill that leads to long term, profitable business results. Identifying new opportunities and converting them into additional revenue streams is an expertise that provides for long term organizational growth and prosperity. This course shares the knowledge and tools that lead to long term account growth, retention and success.	"[{""type"": ""paid"", ""price"": ""1000"", ""currency"": ""$""}]"	Upskill Development Institute is a training, research and consultancy services provider to international organizations. We assist our clients to improve their skills and confident by offering the best possible solutions to enable them fulfil their objectives for a sustainable result. We strive to improve the quality and accessibility of the training by creating an environment that ensures successful learning from start to finish.	Upskill Development Institute	https://upskilldevelopment.com/						Nairobi	Kenya	Nairobi	https://upskilldevelopment.com/account-management-and-business-development-course	https://www.google.com/maps/place/Nairobi,+Kenya/data=!4m2!3m1!1s0x182f1172d84d49a7:0xf7cf0254b297924c?sa=X&ved=2ahUKEwj6ka_ZnKz3AhVa57sIHYmpCQUQ8gF6BAg8EAE	"[""training@upskilldevelopment.com""]"		0
https://upskilldevelopment.com/account-management-and-business-development-course	Account Management and Business Development Course	2022-05-23	2022-05-27		Strategic Account Management and Business Development focuses on training Sales Professionals to maximize their results with current clients while developing business and securing new customers. Maximizing account penetration and positively impacting the buying decision is a critical skill that leads to long term, profitable business results. Identifying new opportunities and converting them into additional revenue streams is an expertise that provides for long term organizational growth and prosperity. This course shares the knowledge and tools that lead to long term account growth, retention and success.	"[{""type"": ""paid"", ""price"": ""1000"", ""currency"": ""$""}]"	Upskill Development Institute is a training, research and consultancy services provider to international organizations. We assist our clients to improve their skills and confident by offering the best possible solutions to enable them fulfil their objectives for a sustainable result. We strive to improve the quality and accessibility of the training by creating an environment that ensures successful learning from start to finish.	Upskill Development Institute	https://upskilldevelopment.com/						Nairobi	Kenya	Nairobi	https://upskilldevelopment.com/account-management-and-business-development-course	https://www.google.com/maps/place/Nairobi,+Kenya/data=!4m2!3m1!1s0x182f1172d84d49a7:0xf7cf0254b297924c?sa=X&ved=2ahUKEwj6ka_ZnKz3AhVa57sIHYmpCQUQ8gF6BAg8EAE	"[""training@upskilldevelopment.com""]"		0
https://upskilldevelopment.com/account-management-and-business-development-course	Account Management and Business Development Course	2022-06-20	2022-06-24		Strategic Account Management and Business Development focuses on training Sales Professionals to maximize their results with current clients while developing business and securing new customers. Maximizing account penetration and positively impacting the buying decision is a critical skill that leads to long term, profitable business results. Identifying new opportunities and converting them into additional revenue streams is an expertise that provides for long term organizational growth and prosperity. This course shares the knowledge and tools that lead to long term account growth, retention and success.	"[{""type"": ""paid"", ""price"": ""1000"", ""currency"": ""$""}]"	Upskill Development Institute is a training, research and consultancy services provider to international organizations. We assist our clients to improve their skills and confident by offering the best possible solutions to enable them fulfil their objectives for a sustainable result. We strive to improve the quality and accessibility of the training by creating an environment that ensures successful learning from start to finish.	Upskill Development Institute	https://upskilldevelopment.com/						Nairobi	Kenya	Nairobi	https://upskilldevelopment.com/account-management-and-business-development-course	https://www.google.com/maps/place/Nairobi,+Kenya/data=!4m2!3m1!1s0x182f1172d84d49a7:0xf7cf0254b297924c?sa=X&ved=2ahUKEwj6ka_ZnKz3AhVa57sIHYmpCQUQ8gF6BAg8EAE	"[""training@upskilldevelopment.com""]"		0
https://upskilldevelopment.com/account-management-and-business-development-course	Account Management and Business Development Course	2022-07-25	2022-07-29		Strategic Account Management and Business Development focuses on training Sales Professionals to maximize their results with current clients while developing business and securing new customers. Maximizing account penetration and positively impacting the buying decision is a critical skill that leads to long term, profitable business results. Identifying new opportunities and converting them into additional revenue streams is an expertise that provides for long term organizational growth and prosperity. This course shares the knowledge and tools that lead to long term account growth, retention and success.	"[{""type"": ""paid"", ""price"": ""1000"", ""currency"": ""$""}]"	Upskill Development Institute is a training, research and consultancy services provider to international organizations. We assist our clients to improve their skills and confident by offering the best possible solutions to enable them fulfil their objectives for a sustainable result. We strive to improve the quality and accessibility of the training by creating an environment that ensures successful learning from start to finish.	Upskill Development Institute	https://upskilldevelopment.com/						Nairobi	Kenya	Nairobi	https://upskilldevelopment.com/account-management-and-business-development-course	https://www.google.com/maps/place/Nairobi,+Kenya/data=!4m2!3m1!1s0x182f1172d84d49a7:0xf7cf0254b297924c?sa=X&ved=2ahUKEwj6ka_ZnKz3AhVa57sIHYmpCQUQ8gF6BAg8EAE	"[""training@upskilldevelopment.com""]"		0
https://upskilldevelopment.com/account-management-and-business-development-course	Account Management and Business Development Course	2022-08-22	2022-08-26		Strategic Account Management and Business Development focuses on training Sales Professionals to maximize their results with current clients while developing business and securing new customers. Maximizing account penetration and positively impacting the buying decision is a critical skill that leads to long term, profitable business results. Identifying new opportunities and converting them into additional revenue streams is an expertise that provides for long term organizational growth and prosperity. This course shares the knowledge and tools that lead to long term account growth, retention and success.	"[{""type"": ""paid"", ""price"": ""1000"", ""currency"": ""$""}]"	Upskill Development Institute is a training, research and consultancy services provider to international organizations. We assist our clients to improve their skills and confident by offering the best possible solutions to enable them fulfil their objectives for a sustainable result. We strive to improve the quality and accessibility of the training by creating an environment that ensures successful learning from start to finish.	Upskill Development Institute	https://upskilldevelopment.com/						Nairobi	Kenya	Nairobi	https://upskilldevelopment.com/account-management-and-business-development-course	https://www.google.com/maps/place/Nairobi,+Kenya/data=!4m2!3m1!1s0x182f1172d84d49a7:0xf7cf0254b297924c?sa=X&ved=2ahUKEwj6ka_ZnKz3AhVa57sIHYmpCQUQ8gF6BAg8EAE	"[""training@upskilldevelopment.com""]"		0
https://upskilldevelopment.com/account-management-and-business-development-course	Account Management and Business Development Course	2022-09-26	2022-09-30		Strategic Account Management and Business Development focuses on training Sales Professionals to maximize their results with current clients while developing business and securing new customers. Maximizing account penetration and positively impacting the buying decision is a critical skill that leads to long term, profitable business results. Identifying new opportunities and converting them into additional revenue streams is an expertise that provides for long term organizational growth and prosperity. This course shares the knowledge and tools that lead to long term account growth, retention and success.	"[{""type"": ""paid"", ""price"": ""1000"", ""currency"": ""$""}]"	Upskill Development Institute is a training, research and consultancy services provider to international organizations. We assist our clients to improve their skills and confident by offering the best possible solutions to enable them fulfil their objectives for a sustainable result. We strive to improve the quality and accessibility of the training by creating an environment that ensures successful learning from start to finish.	Upskill Development Institute	https://upskilldevelopment.com/						Nairobi	Kenya	Nairobi	https://upskilldevelopment.com/account-management-and-business-development-course	https://www.google.com/maps/place/Nairobi,+Kenya/data=!4m2!3m1!1s0x182f1172d84d49a7:0xf7cf0254b297924c?sa=X&ved=2ahUKEwj6ka_ZnKz3AhVa57sIHYmpCQUQ8gF6BAg8EAE	"[""training@upskilldevelopment.com""]"		0
https://upskilldevelopment.com/account-management-and-business-development-course	Account Management and Business Development Course	2022-10-24	2022-10-28		Strategic Account Management and Business Development focuses on training Sales Professionals to maximize their results with current clients while developing business and securing new customers. Maximizing account penetration and positively impacting the buying decision is a critical skill that leads to long term, profitable business results. Identifying new opportunities and converting them into additional revenue streams is an expertise that provides for long term organizational growth and prosperity. This course shares the knowledge and tools that lead to long term account growth, retention and success.	"[{""type"": ""paid"", ""price"": ""1000"", ""currency"": ""$""}]"	Upskill Development Institute is a training, research and consultancy services provider to international organizations. We assist our clients to improve their skills and confident by offering the best possible solutions to enable them fulfil their objectives for a sustainable result. We strive to improve the quality and accessibility of the training by creating an environment that ensures successful learning from start to finish.	Upskill Development Institute	https://upskilldevelopment.com/						Nairobi	Kenya	Nairobi	https://upskilldevelopment.com/account-management-and-business-development-course	https://www.google.com/maps/place/Nairobi,+Kenya/data=!4m2!3m1!1s0x182f1172d84d49a7:0xf7cf0254b297924c?sa=X&ved=2ahUKEwj6ka_ZnKz3AhVa57sIHYmpCQUQ8gF6BAg8EAE	"[""training@upskilldevelopment.com""]"		0
https://upskilldevelopment.com/accounting-for-ngos-using-quickbooks-course	Accounting for NGOs using QuickBooks Course	2022-05-16	2022-05-20		Strategic Account Management and Business Development focuses on training Sales Professionals to maximize their results with current clients while developing business and securing new customers. Maximizing account penetration and positively impacting the buying decision is a critical skill that leads to long term, profitable business results. Identifying new opportunities and converting them into additional revenue streams is an expertise that provides for long term organizational growth and prosperity. This course shares the knowledge and tools that lead to long term account growth, retention and success.	"[{""type"": ""paid"", ""price"": ""1000"", ""currency"": ""$""}]"	Upskill Development Institute is a training, research and consultancy services provider to international organizations. We assist our clients to improve their skills and confident by offering the best possible solutions to enable them fulfil their objectives for a sustainable result. We strive to improve the quality and accessibility of the training by creating an environment that ensures successful learning from start to finish.	Upskill Development Institute	https://upskilldevelopment.com/						Nairobi	Kenya	Nairobi	https://upskilldevelopment.com/accounting-for-ngos-using-quickbooks-course	https://www.google.com/maps/place/Nairobi,+Kenya/data=!4m2!3m1!1s0x182f1172d84d49a7:0xf7cf0254b297924c?sa=X&ved=2ahUKEwj6ka_ZnKz3AhVa57sIHYmpCQUQ8gF6BAg8EAE	"[""training@upskilldevelopment.com""]"		0
https://upskilldevelopment.com/accounting-for-ngos-using-quickbooks-course	Accounting for NGOs using QuickBooks Course	2022-06-20	2022-06-24		Strategic Account Management and Business Development focuses on training Sales Professionals to maximize their results with current clients while developing business and securing new customers. Maximizing account penetration and positively impacting the buying decision is a critical skill that leads to long term, profitable business results. Identifying new opportunities and converting them into additional revenue streams is an expertise that provides for long term organizational growth and prosperity. This course shares the knowledge and tools that lead to long term account growth, retention and success.	"[{""type"": ""paid"", ""price"": ""1000"", ""currency"": ""$""}]"	Upskill Development Institute is a training, research and consultancy services provider to international organizations. We assist our clients to improve their skills and confident by offering the best possible solutions to enable them fulfil their objectives for a sustainable result. We strive to improve the quality and accessibility of the training by creating an environment that ensures successful learning from start to finish.	Upskill Development Institute	https://upskilldevelopment.com/						Nairobi	Kenya	Nairobi	https://upskilldevelopment.com/accounting-for-ngos-using-quickbooks-course	https://www.google.com/maps/place/Nairobi,+Kenya/data=!4m2!3m1!1s0x182f1172d84d49a7:0xf7cf0254b297924c?sa=X&ved=2ahUKEwj6ka_ZnKz3AhVa57sIHYmpCQUQ8gF6BAg8EAE	"[""training@upskilldevelopment.com""]"		0
https://upskilldevelopment.com/accounting-for-ngos-using-quickbooks-course	Accounting for NGOs using QuickBooks Course	2022-07-18	2022-07-22		Strategic Account Management and Business Development focuses on training Sales Professionals to maximize their results with current clients while developing business and securing new customers. Maximizing account penetration and positively impacting the buying decision is a critical skill that leads to long term, profitable business results. Identifying new opportunities and converting them into additional revenue streams is an expertise that provides for long term organizational growth and prosperity. This course shares the knowledge and tools that lead to long term account growth, retention and success.	"[{""type"": ""paid"", ""price"": ""1000"", ""currency"": ""$""}]"	Upskill Development Institute is a training, research and consultancy services provider to international organizations. We assist our clients to improve their skills and confident by offering the best possible solutions to enable them fulfil their objectives for a sustainable result. We strive to improve the quality and accessibility of the training by creating an environment that ensures successful learning from start to finish.	Upskill Development Institute	https://upskilldevelopment.com/						Nairobi	Kenya	Nairobi	https://upskilldevelopment.com/accounting-for-ngos-using-quickbooks-course	https://www.google.com/maps/place/Nairobi,+Kenya/data=!4m2!3m1!1s0x182f1172d84d49a7:0xf7cf0254b297924c?sa=X&ved=2ahUKEwj6ka_ZnKz3AhVa57sIHYmpCQUQ8gF6BAg8EAE	"[""training@upskilldevelopment.com""]"		0
