scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://www.americanconference.com/life-sciences-patents	20th Advanced Summit onLife Sciences Patents	2022-06-02	2022-06-03		ACI’s Advanced Summit on life sciences patents is back in-person in New York City from June 2–3, 2022. Our reimagined 2022 conference will provide practical insights on how to implement bullet-proof patent prosecution tactics, maximize patent life cycles and develop strategies to enhance protections for your patent portfolio. Here are some of the key topics and that will be discussed at this year’s event: Our international think tank, featuring thought leaders from the most profitable IP markets around the world, sharing the advantages and disadvantages of their respective jurisdictions Identifying best practices for drafting licenses, assignments, and other strategic agreements A comprehensive review of the most significant cases and policy changes affecting fundamental concepts like subject matter eligibility and written description and enablement Redefining your global patent prosecution strategy and leveraging your life sciences assets for 2023		Our conferences connect the power of people with the power of information, a powerful combination for business growth and success. Each conference, summit or executive briefing is tailored to the sector, topic and audience need.	American Conference Institute	https://www.americanconference.com/		"[""mcandrews-held-molloy-ltd"", ""patsnap"", ""duane-morris-llp"", ""loeb-loeb-llp"", ""the-global-ip-matrix"", ""life-sciences-ip-review"", ""patent-docs"", ""the-patent-lawyer"", ""womens-ip-world""]"				 New York	USA	Harvard Club of New York, New York, NY	https://www.americanconference.com/life-sciences-patents	https://www.google.com/maps/place/Harvard+Club+of+New+York+City/@40.7555321,-73.9814629,15z/data=!4m5!3m4!1s0x0:0x18b35190c6b4a741!8m2!3d40.7555321!4d-73.9814629	"[""customerservice@americanconference.com""]"		0
https://www.americanconference.com/itc-litigation-enforcement	14th Annual Practitioners' Think Tank onITC Litigation & Enforcement	2022-06-07	2022-06-08		Be Part of the ITC Community’s most prestigious event. Returning to Washington, DC this June, ACI’s 14th Annual Practitioners’ Think Tank on ITC Litigation and Enforcement is your opportunity to learn from and connect with key members of the ITC Bench, Senior ITC attorneys, and leading In-House Counsel. Analyze the most important developments of the past year and walk away with the knowledge and skills to successfully manage disputes before the ITC. Join us for two days of innovative and interactive discussions on the latest trends and developments in ITC litigation and enforcement. Obtain timely intelligence on domestic industry decisions, standard essential patents, public interest considerations and Section 337 developments. We look forward to seeing you in June!		Our conferences connect the power of people with the power of information, a powerful combination for business growth and success. Each conference, summit or executive briefing is tailored to the sector, topic and audience need.	American Conference Institute	https://www.americanconference.com/		"[""akin-gump-stauss-hauer-feld-llp"", ""fti-consulting"", ""mcandrews-held-molly-ltd"", ""mckool-smith"", ""paul-hastings-llp"", ""ropes-gray-llp"", ""steptoe-johnson-llp"", ""wolf-greenfield-sacks-pc"", ""the-brattle-group"", ""cooley-llp"", ""crowell"", ""venable-llp"", ""the-global-ip-matrix"", ""life-sciences-ip-review"", ""the-patent-lawyer"", ""womens-ip-world""]"				 Washington	United States	Washington Marriott Georgetown, Washington, DC	https://www.americanconference.com/itc-litigation-enforcement	https://www.google.com/maps/place/Washington+Marriott+Georgetown/@38.9059999,-77.0483181,15z/data=!4m8!3m7!1s0x0:0x9d65124af10e4186!5m2!4m1!1i2!8m2!3d38.9059999!4d-77.0483181	"[""customerservice@americanconference.com""]"		0
https://www.americanconference.com/global-economic-sanctions-berlin	15th Berlin Forum onGlobal Economic Sanctions	2022-06-08	2022-06-09		Featured Speakers Regina Kang Senior Sanctions AdvisorSanctions Policy & ImplementationU.S. Department of State Alina Nedea Head of Sanctions, DG FISMAEU Commission Neil Whiley Director, SanctionsUK Finance (UK)		Our conferences connect the power of people with the power of information, a powerful combination for business growth and success. Each conference, summit or executive briefing is tailored to the sector, topic and audience need.	American Conference Institute	https://www.americanconference.com/		"[""alvarez-marsal-disputes-and-investigations-gmbh"", ""ankura"", ""dentons"", ""control-risks"", ""fti-consulting"", ""ropes-gray-llp"", ""white-case-llp"", ""wilson-sonsini"", ""agrc"", ""global-trade-review"", ""glg"", ""sanction-law-blog"", ""tfg""]"				Courtyard by Marriott Berlin City Center		Courtyard by Marriott Berlin City Center, Berlin	https://www.americanconference.com/global-economic-sanctions-berlin	https://www.google.com/maps/place/Courtyard+by+Marriott+Berlin+City+Center/@52.5098492,13.3998213,15z/data=!4m2!3m1!1s0x0:0x8b6bcb411fbb79e1?sa=X&ved=2ahUKEwiG9vDf2Y_4AhUf7rsIHS3yCbAQ_BJ6BAghEAU	"[""customerservice@americanconference.com""]"		0
https://www.americanconference.com/national-security-reviews-cfius	3rd European Forum onFDI Reviews and CFIUS	2022-06-08	2022-06-09		Navigating Emerging Complex National Security Reviews across the UK and EU Incoming and updated Foreign Direct Investment regimes are being introduced across Europe, creating a more highly scrutinized national security focus. Newly introduced policies and procedures are creating uncertainty, and the lack of juris prudence has left experts with little precedent to advise clients on how to complete business transactions. Join C5’s 3rd European Forum on FDI Reviews and CFIUS taking place in London on June 8 & 9, 2022 to delve into the critical changes affecting professionals working in foreign direct investment screening regulations.		Our conferences connect the power of people with the power of information, a powerful combination for business growth and success. Each conference, summit or executive briefing is tailored to the sector, topic and audience need.	American Conference Institute	https://www.americanconference.com/		"[""ankura"", ""brg"", ""cleary-gottlieb-steen-hamilton-llp"", ""white-case-llp"", ""linklaters-llp"", ""winston-strawn-llp""]"				Millennium Gloucester Hotel		Millennium Gloucester Hotel, London	https://www.americanconference.com/national-security-reviews-cfius	https://www.google.com/maps/place/Millennium+Gloucester+Hotel+London+Kensington/@51.4934174,-0.1830123,15z/data=!4m2!3m1!1s0x0:0xcaa4bbe6cc3053a9?sa=X&ved=2ahUKEwiVyPj32Y_4AhWD7rsIHYKuBjQQ_BJ6BAgiEAU	"[""customerservice@americanconference.com""]"		0
https://www.americanconference.com/anti-money-laundering-financial-crime	21st Annual Canadian Forum onAnti-Money Laundering and Financial Crime	2022-06-15	2022-06-16		Spotlight on the Cullen Commission Report Key Takeaways of Recommendations: View from the Government The Cullen report findings will have a ripple effect across all provinces and right into Federal Cabinet – and will be impactful into the shaping of the Canadian Financial Crime Agency. Hear cutting edge commentary on the recommendations and implications for government and future AML regulation across the country. VIEW AGENDA		Our conferences connect the power of people with the power of information, a powerful combination for business growth and success. Each conference, summit or executive briefing is tailored to the sector, topic and audience need.	American Conference Institute	https://www.americanconference.com/						 Toronto	Ontario	One King West, Toronto, ON	https://www.americanconference.com/anti-money-laundering-financial-crime	https://www.google.com/maps/place/One+King+West+Hotel+%26+Residence/@43.6488726,-79.3780722,15z/data=!4m8!3m7!1s0x0:0xd66d538daebfbfbb!5m2!4m1!1i2!8m2!3d43.6488726!4d-79.3780722	"[""customerservice@americanconference.com""]"		0
https://www.americanconference.com/fcpa-west-coast	12th WEST COAST FORUM ONFCPA Enforcement and Compliance	2022-06-15	2022-06-16		Back by popular demand, ACI’s acclaimed 12th West Coast Forum on FCPA Enforcement & Compliance returns to San Francisco This June! Join us for this long overdue reunion for the legal and compliance community! As the only comprehensive, practical event of its kind on the west coast, don’t miss your best opportunity to connect with decision-makers from your industry, gather cross-industry takeaways, and hear critically important updates affecting your work.		Our conferences connect the power of people with the power of information, a powerful combination for business growth and success. Each conference, summit or executive briefing is tailored to the sector, topic and audience need.	American Conference Institute	https://www.americanconference.com/		"[""vinson-elkins-llp"", ""freshfields-bruckhaus-deringer"", ""fti-consulting"", ""latham-watkins"", ""paul-hastings""]"				 San Francisco	California	Marines' Memorial Club & Hotel, San Francisco, CA	https://www.americanconference.com/fcpa-west-coast	https://www.google.com/maps/place/Marines'+Memorial+Club+%26+Hotel/@37.788844,-122.410475,15z/data=!4m2!3m1!1s0x0:0x87bdcb9d5115eb4a?sa=X&ved=2ahUKEwjm1e6i2o_4AhVdi_0HHcdcDhMQ_BJ6BAggEAU	"[""customerservice@americanconference.com""]"		0
https://www.americanconference.com/russia-think-tank	Russia Sanctions Think Tank	2022-06-16	2022-06-16		The U.S. has imposed sweeping economic sanctions restrictions in response to Russia’s invasion of Ukraine including sanctioning the top Russian banks, Russian oligarchs and their family members, numerous Russian entities and prohibiting new debt and equity of major Russian state-owned enterprises and privately owned financial institutions. The UK and EU have also issued their own set of sanctions restrictions. Businesses are now confronting unprecedented and uncertain business, legal, compliance, ethical and reputational risks – without an actionable blueprint for the path forward. Many financial institutions and companies have decided to suspend or withdraw from Russia, but many questions remain on how to move forward. ACI has created this new, interactive one-day Think Tank to delve into the very high stakes issues coming across your desk. Learn how your peers have been resolving expected (and unexpected) dilemmas and gain invaluable strategic insights on critically important questions, including: High Stake Business Decisions and Dilemmas: The Latest Takeaways from Revisiting Cross-Border Sanctions, Cyber, Operations and Reputational Risk Management Russia Counter Sanctions: Navigating Potential Threats and Asset Seizures for Companies Who Withdraw or Temporarily Suspend Operations Managing Rapid SDN Changes and The Latest Russian Ownership Transfers: Ensuring Robust Sanctions Screening and KYC Processes Evaluating the Future of Your Business in Russia: Short, Medium, and Long-Term Implications of Continuing Operations vs. a Partial or Complete Withdrawal Industry Specific Breakouts: Separate sessions for financial institutions, insurance, technology OFAC KEYNOTE Blake Santos Senior Compliance OfficerOffice of Foreign Assets ControlU.S. Department of the Treasury Learn More		Our conferences connect the power of people with the power of information, a powerful combination for business growth and success. Each conference, summit or executive briefing is tailored to the sector, topic and audience need.	American Conference Institute	https://www.americanconference.com/		"[""agrc"", ""gtr"", ""wiit""]"							https://www.americanconference.com/russia-think-tank		"[""customerservice@americanconference.com""]"		1
https://www.americanconference.com/cumulative-effects	NATIONAL SYMPOSIUM ONCumulative EffectsAssessment and Environmental Management	2022-06-22	2022-06-23		The 10th Annual National Symposium on Cumulative Effects Assessment and Environmental Management returns for the highly anticipated IN-PERSON and LIVE reunion in beautiful Calgary this June! The Symposium will provide you with multi-stakeholder perspectives on the current and future of cumulative effects assessment to effectively manage the social, economic and environmental effects of project development. Collaborate with thought-leaders from government, Indigenous communities, and industry and discuss opportunities to move forward with sustainable project development. This is your best opportunity to meet with key integral stakeholders and form a unique dialogue on sustainable project development.		Our conferences connect the power of people with the power of information, a powerful combination for business growth and success. Each conference, summit or executive briefing is tailored to the sector, topic and audience need.	American Conference Institute	https://www.americanconference.com/		"[""capp"", ""environmental-law-institute""]"				 Calgary	Alberta	Hotel Arts, Calgary, AB	https://www.americanconference.com/cumulative-effects	https://www.google.com/maps/place/Hotel+Arts/@51.0412095,-114.0648715,15z/data=!4m2!3m1!1s0x0:0x12243f87ba8c14cd?sa=X&ved=2ahUKEwiP37Oy2o_4AhW7lf0HHffRAHgQ_BJ6BAghEAU	"[""customerservice@americanconference.com""]"		0
https://www.americanconference.com/dcaa-dcma-cost-pricing	13th Advanced Forum onDCAA & DCMA Cost, Pricing, Compliance & Audits	2022-06-22	2022-06-23		Join us in Arlington, VA in June 2022 This in-depth conference is specifically focused on cost, pricing, audit and compliance challenges faced by government contractors. This is a unique opportunity to delve into these topics and hear from senior government officials from DCAA and DCMA to ensure that you are compliant and audit ready. Find out where acquisition regulations and policies may be headed in the new Biden Administration.		Our conferences connect the power of people with the power of information, a powerful combination for business growth and success. Each conference, summit or executive briefing is tailored to the sector, topic and audience need.	American Conference Institute	https://www.americanconference.com/		"[""baker-tilly"", ""blank-rome-llp"", ""rsm-us-llp"", ""dot"", ""defense-daily"", ""national-association-of-government-contractors""]"				 Arlington	Texas	The Westin Arlington Gateway, Arlington, VA	https://www.americanconference.com/dcaa-dcma-cost-pricing	https://www.google.com/maps/place/The+Westin+Arlington+Gateway/@38.8806466,-77.1142986,15z/data=!4m2!3m1!1s0x0:0xddb854139e45e958?sa=X&ved=2ahUKEwji2PHA2o_4AhWhQuUKHXkrA00Q_BJ6BAggEAU	"[""customerservice@americanconference.com""]"		0
https://www.americanconference.com/false-claims-qui-tam-enforcement	9th Annual Advanced Forum onFalse Claims and Qui Tam Enforcement	2022-06-22	2022-06-23		The United States Department of Justice (DOJ) released its annual statistics for the False Claims Act (FCA) and fraud cases for fiscal year 2021. The DOJ reported that it recovered $5.6 billion in final judgments and settlements during this time period — the second largest annual total in FCA history, and the largest since 2014. With 598 qui tam lawsuits filed in 2021, and 203 filed by DOJ, the recovery statistics for fiscal year 2021 show a sustained and aggressive use of the FCA by the government and qui tam relators alike. The DOJ also announced that the Civil Division will “energetically use every enforcement tool available to prevent wrongdoers from exploiting the COVID-19 crisis.” In addition, DOJ appointed a Chief Prosecutor to lead pandemic recovery fraud efforts. Finally, DOJ revealed the creation of a Civil Cyber-Fraud Initiative that will utilize the FCA to pursue cybersecurity related fraud by government contractors and grant recipients. By all accounts, the trend for government initiated FCA actions is continuing to climb, leaving the industry wondering: What will total recoveries amount to at the end of Fiscal ’22? What can we expect for Fiscal ‘22? Where will government enforcement priorities lie? Which industries are at greatest risk? What can you do now to prepare for the next wave of FCA enforcement and protect your client’s interests? ACI’s 9th Advanced Forum on False Claims and Qui Tam Enforcement, taking place IN-PERSON in New York City, will address the underlying controversies and challenges posed by these questions. Join us for in-depth discussions and analyses of the latest guidance, initiatives, and enforcement statistics, featuring a faculty of government speakers and leading defense, in-house, and relators’ counsel.		Our conferences connect the power of people with the power of information, a powerful combination for business growth and success. Each conference, summit or executive briefing is tailored to the sector, topic and audience need.	American Conference Institute	https://www.americanconference.com/		"[""chess-consulting-llc"", ""morgan-lewis-bickius-llp"", ""arnold-porter"", ""nagc"", ""womens-white-collar-defense-association-wwcda""]"				 New York	USA	New York Marriott Downtown, New York, NY	https://www.americanconference.com/false-claims-qui-tam-enforcement	https://www.google.com/maps/place/New+York+Marriott+Downtown/@40.7095206,-74.0144862,15z/data=!4m2!3m1!1s0x0:0xb7522984917c278f?sa=X&ved=2ahUKEwjim5nP2o_4AhW2hP0HHYlbAUcQ_BJ6BAgnEAU	"[""customerservice@americanconference.com""]"		0
