scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://www.case.org/conferences-training/diplomado-de-vinculacion-con-egresados	Diplomado De Vinculación Con Egresados	2022-01-24	2022-01-29				The Council for Advancement and Support of Education is the global nonprofit association dedicated to educational advancement professionals—in alumni relations, communications, development, marketing, and advancement services—who share the goal of championing education to transform lives and society.	Council for Advancement and Support of Education	https://www.case.org/									https://www.case.org/conferences-training/diplomado-de-vinculacion-con-egresados		"[""europe@case.org""]"		1
https://www.case.org/conferences-training/development-deans-and-academic-leaders-recording-series	Development for Deans and Academic Leaders Recording Series	2022-02-22	2022-02-15		Driven by CASE’s continuing efforts to develop the most relevant content to prepare academic leaders for the changing landscape of advancement, this conference has become the standard of excellence in training for deans, presidents, provosts and other academic leaders with fundraising responsibility. This seminar consists of eight curated pre-recorded sessions allowing you to learn at your own pace anywhere, any time! Recordings will be available to registrants immediately after registration. Access information will be sent in the automated receipt email. The program will review core concepts needed by academic leaders looking for a comprehensive introduction to development. Topics include top development tips for academic leaders; creating a true partnership between the academic leader and their development officer; the role of the dean in successful development; preparing for a successful donor visit; how to create purposeful advisory boards; building a donor pipeline and managing your portfolio; and the dean’s role in transformational gifts. Registration is available through June 15. Registrants will have access to the recordings through June 30, 2022.		The Council for Advancement and Support of Education is the global nonprofit association dedicated to educational advancement professionals—in alumni relations, communications, development, marketing, and advancement services—who share the goal of championing education to transform lives and society.	Council for Advancement and Support of Education	https://www.case.org/									https://www.case.org/conferences-training/development-deans-and-academic-leaders-recording-series		"[""europe@case.org""]"		1
https://www.case.org/conferences-training/case-global-reporting-standards-course	CASE Global Reporting Standards Course	2022-04-28	2022-04-30				The Council for Advancement and Support of Education is the global nonprofit association dedicated to educational advancement professionals—in alumni relations, communications, development, marketing, and advancement services—who share the goal of championing education to transform lives and society.	Council for Advancement and Support of Education	https://www.case.org/									https://www.case.org/conferences-training/case-global-reporting-standards-course		"[""europe@case.org""]"		1
https://www.case.org/districts/district-v-great-lakes/2022-case-indiana-conference	2022 CASE Indiana Conference	2022-05-24	2022-05-24				The Council for Advancement and Support of Education is the global nonprofit association dedicated to educational advancement professionals—in alumni relations, communications, development, marketing, and advancement services—who share the goal of championing education to transform lives and society.	Council for Advancement and Support of Education	https://www.case.org/						Indianapolis, IN	Indiana	Indianapolis, IN	https://www.case.org/districts/district-v-great-lakes/2022-case-indiana-conference	https://www.google.com/maps/place/Indianapolis,+IN,+USA/data=!4m2!3m1!1s0x886b50ffa7796a03:0xd68e9df640b9ea7c?sa=X&ved=2ahUKEwiv-OfXt_T3AhVJzBoKHU87AFkQ8gF6BAg0EAE	"[""europe@case.org""]"		0
https://www.case.org/conferences-training/future-major-giving-schools	The Future of Major Giving in Schools	2022-05-26	2022-05-26	"[{""type"": ""general"", ""Start_time"": ""3:00 PM"", ""end_time"": ""4:00 PM"", ""timezone"": ""ET"", ""days"": ""all""}]"	Join us for a conversation about major gift work in Independent Schools. In this session, Kathryn Van Sickle will lead a conversation about working with volunteers, building pipelines, and strategies to best engage your Head of School with donors. Kathryn brings a higher ed background to her work in the Independent School space and is looking forward to talking about raising your sights with major gifts.		The Council for Advancement and Support of Education is the global nonprofit association dedicated to educational advancement professionals—in alumni relations, communications, development, marketing, and advancement services—who share the goal of championing education to transform lives and society.	Council for Advancement and Support of Education	https://www.case.org/									https://www.case.org/conferences-training/future-major-giving-schools		"[""europe@case.org""]"		1
https://www.case.org/conferences-training/special-events-advancement-2022	Special Events in Advancement	2022-06-06	2022-06-08				The Council for Advancement and Support of Education is the global nonprofit association dedicated to educational advancement professionals—in alumni relations, communications, development, marketing, and advancement services—who share the goal of championing education to transform lives and society.	Council for Advancement and Support of Education	https://www.case.org/						Denver, CO	Colorado	Denver, CO	https://www.case.org/conferences-training/special-events-advancement-2022	https://www.google.com/maps/place/Denver,+CO,+USA/data=!4m2!3m1!1s0x876b80aa231f17cf:0x118ef4f8278a36d6?sa=X&ved=2ahUKEwjCmtbmt_T3AhUI3RoKHfwNDVoQ8gF6BAhFEAE	"[""europe@case.org""]"	"[{""name"": ""Correan Barker"", ""title"": ""Director of Strategic Engagement, The Evergreen State College"", ""link"": """"}]"	0
https://www.case.org/conferences-training/homecomings-and-reunions-2022	Homecomings and Reunions	2022-06-07	2022-06-09		Homecomings and reunions provide the highest visibility opportunities to engage alumni from all generations. Institutions are creating new traditions and maximizing existing ones to make the most of this annual stalwart of alumni relations. Join us to explore, create and rebuild new program models to fit your institution's needs. This conference is designed for newcomers to the advancement profession and professionals with mid- and senior-level responsibility.		The Council for Advancement and Support of Education is the global nonprofit association dedicated to educational advancement professionals—in alumni relations, communications, development, marketing, and advancement services—who share the goal of championing education to transform lives and society.	Council for Advancement and Support of Education	https://www.case.org/						New Orleans, LA	Louisiana	New Orleans, LA	https://www.case.org/conferences-training/homecomings-and-reunions-2022	https://www.google.com/maps/place/New+Orleans,+LA,+USA/data=!4m2!3m1!1s0x8620a454b2118265:0xdb065be85e22d3b4?sa=X&ved=2ahUKEwjt7Zzzt_T3AhWD34UKHTCRB1oQ8gF6BAhREAE	"[""europe@case.org""]"	"[{""name"": ""Durice White Galloway"", ""title"": ""Associate Vice President Alumni Engagement and Annual Giving Strategies, University Advancement, Arcadia University"", ""link"": """"}]"	0
https://www.case.org/conferences-training/young-alumni-and-student-engagement-2022	Young Alumni and Student Engagement	2022-06-08	2022-06-10				The Council for Advancement and Support of Education is the global nonprofit association dedicated to educational advancement professionals—in alumni relations, communications, development, marketing, and advancement services—who share the goal of championing education to transform lives and society.	Council for Advancement and Support of Education	https://www.case.org/						New Orleans, LA	Louisiana	New Orleans, LA	https://www.case.org/conferences-training/young-alumni-and-student-engagement-2022	https://www.google.com/maps/place/New+Orleans,+LA,+USA/data=!4m2!3m1!1s0x8620a454b2118265:0xdb065be85e22d3b4?sa=X&ved=2ahUKEwjt7Zzzt_T3AhWD34UKHTCRB1oQ8gF6BAhREAE	"[""europe@case.org""]"	"[{""name"": ""Skylar Beaver"", ""title"": ""Assistant Director of Advancement, Director of the Lawrenceville Fund and Alumni and Family Engagement, The Lawrenceville School"", ""link"": """"}]"	0
https://www.case.org/conferences-training/annual-conference-marketing-and-branding-2022	Annual Conference on Marketing and Branding	2022-06-08	2022-06-10				The Council for Advancement and Support of Education is the global nonprofit association dedicated to educational advancement professionals—in alumni relations, communications, development, marketing, and advancement services—who share the goal of championing education to transform lives and society.	Council for Advancement and Support of Education	https://www.case.org/						New Orleans, LA	Louisiana	New Orleans, LA	https://www.case.org/conferences-training/annual-conference-marketing-and-branding-2022	https://www.google.com/maps/place/New+Orleans,+LA,+USA/data=!4m2!3m1!1s0x8620a454b2118265:0xdb065be85e22d3b4?sa=X&ved=2ahUKEwjt7Zzzt_T3AhWD34UKHTCRB1oQ8gF6BAhREAE	"[""europe@case.org""]"		0
https://www.case.org/conferences-training/annual-conference-donor-relations-professionals-2022	Annual Conference on Stewardship and Donor-Centered Advancement	2022-06-13	2022-06-15				The Council for Advancement and Support of Education is the global nonprofit association dedicated to educational advancement professionals—in alumni relations, communications, development, marketing, and advancement services—who share the goal of championing education to transform lives and society.	Council for Advancement and Support of Education	https://www.case.org/						Ft. Lauderdale, FL	Florida	Ft. Lauderdale, FL	https://www.case.org/conferences-training/annual-conference-donor-relations-professionals-2022	https://www.google.com/maps/place/Fort+Lauderdale,+FL,+USA/data=!4m2!3m1!1s0x88d9012720facaf5:0x7602be7540bf8ebe?sa=X&ved=2ahUKEwjEmpOTuPT3AhXF34UKHZYoB1oQ8gF6BAg7EAE	"[""europe@case.org""]"	"[{""name"": ""Emily M. Rankin"", ""title"": ""Assistant Vice Chancellor for Development, University of California, Riverside"", ""link"": """"}]"	0
https://www.case.org/conferences-training/annual-conference-donor-relations-professionals-2022	Annual Conference on Stewardship and Donor-Centered Advancement	2022-06-13	2022-06-15				The Council for Advancement and Support of Education is the global nonprofit association dedicated to educational advancement professionals—in alumni relations, communications, development, marketing, and advancement services—who share the goal of championing education to transform lives and society.	Council for Advancement and Support of Education	https://www.case.org/						Ft. Lauderdale, FL		Ft. Lauderdale, FL	https://www.case.org/conferences-training/annual-conference-donor-relations-professionals-2022	https://www.google.com/maps/place/Fort+Lauderdale,+FL,+USA/data=!4m2!3m1!1s0x88d9012720facaf5:0x7602be7540bf8ebe?sa=X&ved=2ahUKEwjEmpOTuPT3AhXF34UKHZYoB1oQ8gF6BAg7EAE	"[""europe@case.org""]"	"[{""name"": ""Emily M. Rankin"", ""title"": ""Assistant Vice Chancellor for Development, University of California, Riverside"", ""link"": """"}]"	0
