scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://events.linuxfoundation.org/openjs-world/	OpenJS World	2022-06-06	2022-06-10		Learn and engage with leaders building modern applications at a massive scale. There will be something for everyone who loves JavaScript, including content around development, security, performance, automation & testing, and community building.		The Linux Foundation provides a neutral, trusted hub for developers to code, manage, and scale open technology projects.	The Linux Foundation®	https://linuxfoundation.org/		"[""ibm"", ""nearform"", ""techatbloomberg""]"				Austin	United States	Austin, United States	https://events.linuxfoundation.org/openjs-world/	https://www.google.com/maps/place/Austin,+TX,+USA/data=!4m2!3m1!1s0x8644b599a0cc032f:0x5d9b464bd469d57a?sa=X&ved=2ahUKEwjPn-DAtIb4AhVXPcAKHfmUDukQ8gF6BAhHEAE	"["" events@linuxfoundation.org""]"	"[{""name"": ""Brian Behlendorf"", ""title"": ""General Manager, Open Source Security Foundation"", ""link"": """"}, {""name"": ""Rachel Nabors"", ""title"": ""Principal Program Manager, Developer Education\u2014Amazon AWS Amplify"", ""link"": """"}, {""name"": ""Matteo Collina"", ""title"": ""Chief Software Architect, NearForm"", ""link"": """"}, {""name"": ""Cory Doctorow"", ""title"": ""Science Fiction Author, Activist, and Journalist"", ""link"": """"}, {""name"": ""Michaela Laurencin"", ""title"": ""Microsoft"", ""link"": """"}, {""name"": ""Felienne Hermans"", ""title"": ""Leiden Institute of Advanced Computer Science"", ""link"": """"}, {""name"": ""Regin\u00e9 Gilbert"", ""title"": ""Industry Assistant Professor, NYU"", ""link"": """"}, {""name"": ""Feross Aboukhadijeh"", ""title"": ""Founder & CEO, Socket"", ""link"": """"}, {""name"": ""Myles Borins"", ""title"": ""Product Manager, GitHub"", ""link"": """"}, {""name"": ""Joe Sepi"", ""title"": ""Program Director of Open Tech, IBM"", ""link"": """"}, {""name"": ""Jeff Cross"", ""title"": ""Co-Founder & Principal Architect, Nrwl"", ""link"": """"}, {""name"": ""Melissa McKay"", ""title"": ""Developer Advocate, JFrog"", ""link"": """"}, {""name"": ""Hilary Carter"", ""title"": ""VP, The Linux Foundation"", ""link"": """"}, {""name"": ""Lee Byron"", ""title"": ""Design Technologist, GraphQL"", ""link"": """"}, {""name"": ""Christian Bromann"", ""title"": ""Founding Engineer, Stateful Inc."", ""link"": """"}, {""name"": ""Jordan Harband"", ""title"": ""Staff Developer Relations Engineer, Coinbase"", ""link"": """"}, {""name"": ""James Snell"", ""title"": ""Systems Engineer, Cloudflare"", ""link"": """"}, {""name"": ""Jory Burson"", ""title"": ""Community Director, Linux Foundation"", ""link"": """"}, {""name"": ""Robin Bender Ginn"", ""title"": ""Executive Director, OpenJS Foundation"", ""link"": """"}]"	0
https://events.linuxfoundation.org/cdcon/	cdCon	2022-06-07	2022-06-08		Weeks		The Linux Foundation provides a neutral, trusted hub for developers to code, manage, and scale open technology projects.	The Linux Foundation®	https://linuxfoundation.org/		"[""ibm"", ""armory"", ""io"", ""dynatrace"", ""armory""]"				Austin	United States	Austin, United States	https://events.linuxfoundation.org/cdcon/	https://www.google.com/maps/place/Austin,+TX,+USA/data=!4m2!3m1!1s0x8644b599a0cc032f:0x5d9b464bd469d57a?sa=X&ved=2ahUKEwjPn-DAtIb4AhVXPcAKHfmUDukQ8gF6BAhHEAE	"["" events@linuxfoundation.org""]"		0
https://events.linuxfoundation.org/zephyr-developer-summit/	Zephyr Developer Summit	2022-06-08	2022-06-09		June 7: Intro to Zephyr Day		The Linux Foundation provides a neutral, trusted hub for developers to code, manage, and scale open technology projects.	The Linux Foundation®	https://linuxfoundation.org/		"[""infineon"", ""nxp""]"				Mountain View	United States	Mountain View, United States	https://events.linuxfoundation.org/zephyr-developer-summit/	https://www.google.com/maps/place/Mountain+View,+CA,+USA/data=!4m2!3m1!1s0x808fb7495bec0189:0x7c17d44a466baf9b?sa=X&ved=2ahUKEwjkiej3tIb4AhVJSsAKHaVFCHcQ8gF6BAhAEAE	"["" events@linuxfoundation.org""]"		0
https://events.linuxfoundation.org/lfn-developer-testing-forum/	LFN Developer & Testing Forum	2022-06-13	2022-06-16		The LFN Developer & Testing Forum is the primary technical event for the LFN project communities. During these events, 500+ community members converge via sessions, workshops, tutorials, and demos to further project releases; discuss project architecture, direction, and integration points; and further innovate through the open source networking stack.		The Linux Foundation provides a neutral, trusted hub for developers to code, manage, and scale open technology projects.	The Linux Foundation®	https://linuxfoundation.org/						Porto	Portugal	Porto, Portugal	https://events.linuxfoundation.org/lfn-developer-testing-forum/	https://www.google.com/maps/place/Porto,+Portugal/data=!4m2!3m1!1s0xd2465abc4e153c1:0xa648d95640b114bc?sa=X&ved=2ahUKEwihgrb-tIb4AhUGaMAKHTQvD00Q8gF6BAhLEAE	"["" events@linuxfoundation.org""]"		0
https://events.linuxfoundation.org/finops-x/	FinOps X	2022-06-20	2022-06-21		Weeks		The Linux Foundation provides a neutral, trusted hub for developers to code, manage, and scale open technology projects.	The Linux Foundation®	https://linuxfoundation.org/		"[""deloitte"", ""apptio"", ""accenture""]"				Austin	United States	Austin, United States	https://events.linuxfoundation.org/finops-x/	https://www.google.com/maps/place/Austin,+TX,+USA/data=!4m2!3m1!1s0x8644b599a0cc032f:0x5d9b464bd469d57a?sa=X&ved=2ahUKEwjPn-DAtIb4AhVXPcAKHfmUDukQ8gF6BAhHEAE	"["" events@linuxfoundation.org""]"	"[{""name"": ""Idaliz Baez"", ""title"": ""FinOps Trainer, RealOps"", ""link"": """"}, {""name"": ""Josh Bauman"", ""title"": ""Director Of Business Operations, Electronic Arts (EA)"", ""link"": """"}, {""name"": ""Dann Berg"", ""title"": ""Senior CloudOps Analyst (FinOps), Datadog"", ""link"": """"}, {""name"": ""Abhash Bhandary"", ""title"": ""Sr. Cloud and Hosting Services Engineer, Pearson"", ""link"": """"}, {""name"": ""Courtney Bormann"", ""title"": ""Senior Manager, Cloud Enablement, General Mills"", ""link"": """"}, {""name"": ""Mark Butcher"", ""title"": ""Director, Posetiv Cloud"", ""link"": """"}, {""name"": ""Noel Crowley"", ""title"": ""Director of Cloud FinOps, Fidelity Investments"", ""link"": """"}, {""name"": ""Stephanie Gooch"", ""title"": ""Commercial Architect, AWS"", ""link"": """"}, {""name"": ""Riley Jenkins"", ""title"": ""Sr. SRE/FinOps Architect, Domo, Inc."", ""link"": """"}, {""name"": ""Anthony Johnson"", ""title"": ""Cloud Business Manager \u2013 Cloud Engineering, Box"", ""link"": """"}, {""name"": ""Teresa Meade"", ""title"": ""Manager, Infrastructure Finance, Atlassian"", ""link"": """"}, {""name"": ""Josh Moe"", ""title"": ""Senior Enterprise Architect, General Mills"", ""link"": """"}, {""name"": ""Eric Mulartrick"", ""title"": ""FinOps Lead, Boomi"", ""link"": """"}, {""name"": ""Parker Nancollas"", ""title"": ""Cloud Business Analyst, Intellectual Reserve"", ""link"": """"}, {""name"": ""James Regennitter"", ""title"": ""Cloud and Hosting Services Analyst, Pearson"", ""link"": """"}, {""name"": ""Mike Rosenberg"", ""title"": ""Senior Director Of Engineering, Nubank"", ""link"": """"}, {""name"": ""Vik Saluja"", ""title"": ""Cloud Strategist and FinOps Manager, Cloud CoE, CIGNA"", ""link"": """"}, {""name"": ""Deana Solis"", ""title"": ""Senior FinOps Engineer, Smarsh"", ""link"": """"}, {""name"": ""Zachary Stitham"", ""title"": ""VP \u2013 Cloud Business Management Office, Fidelity Investments"", ""link"": """"}, {""name"": ""Matt Tomlinson"", ""title"": ""Technical Product Management Leader, Indeed"", ""link"": """"}, {""name"": ""Karen Whelan"", ""title"": ""Project Manager, Verizon"", ""link"": """"}]"	0
https://events.linuxfoundation.org/open-telemetry-community-day/	Open Telemetry Community Day	2022-06-20	2022-06-20				The Linux Foundation provides a neutral, trusted hub for developers to code, manage, and scale open technology projects.	The Linux Foundation®	https://linuxfoundation.org/		"[""nginx"", ""calyptia"", ""cncf""]"				Austin	United States	Austin, United States	https://events.linuxfoundation.org/open-telemetry-community-day/	https://www.google.com/maps/place/Austin,+TX,+USA/data=!4m2!3m1!1s0x8644b599a0cc032f:0x5d9b464bd469d57a?sa=X&ved=2ahUKEwjPn-DAtIb4AhVXPcAKHfmUDukQ8gF6BAhHEAE	"["" events@linuxfoundation.org""]"		0
https://events.linuxfoundation.org/agl-at-embedded-world/	AGL at Embedded World	2022-06-21	2022-06-23		Automotive Grade Linux (AGL) is a collaborative open source project that is accelerating the development of a fully open software platform for automotive applications.As an Embedded World 2022 exhibitor, AGL will be at Hall 4 highlighting our members and the broader AGL ecosystem in Booths 4-171 and 4-173. Come see us!		The Linux Foundation provides a neutral, trusted hub for developers to code, manage, and scale open technology projects.	The Linux Foundation®	https://linuxfoundation.org/						Nuremberg	Germany	Nuremberg, Germany	https://events.linuxfoundation.org/agl-at-embedded-world/	https://www.google.com/maps/place/Nuremberg,+Germany/data=!4m2!3m1!1s0x479f57aeb5b61cd3:0xdd5daf85a98c21b7?sa=X&ved=2ahUKEwjk3OeNtYb4AhXMbsAKHcV8CMoQ8gF6BAhHEAE	"["" events@linuxfoundation.org""]"		0
https://events.linuxfoundation.org/open-source-summit-north-america/about/cloudopen/	CloudOpen	2022-06-21	2022-06-24		CloudOpen provides valuable content across cloud native and cloud infrastructure technologies. It is where cloud developers, engineers and operations teams can discover new tools, projects, platforms and technologies across cloud native and cloud infrastructure.		The Linux Foundation provides a neutral, trusted hub for developers to code, manage, and scale open technology projects.	The Linux Foundation®	https://linuxfoundation.org/		"[""amazon"", ""cncf"", ""hackster""]"				Austin	United States	Austin, United States	https://events.linuxfoundation.org/open-source-summit-north-america/about/cloudopen/	https://www.google.com/maps/place/Austin,+TX,+USA/data=!4m2!3m1!1s0x8644b599a0cc032f:0x5d9b464bd469d57a?sa=X&ved=2ahUKEwjPn-DAtIb4AhVXPcAKHfmUDukQ8gF6BAhHEAE	"["" events@linuxfoundation.org""]"		0
https://events.linuxfoundation.org/open-source-summit-north-america/about/community-leadership-conference/	Community Leadership Conference	2022-06-21	2022-06-24		The Community Leadership Conference (CLC) is where community and business leaders interested in building empowered, productive, and diverse communities come together to discuss, collaborate and continue to refine the practice of community leadership at this event with world-class content and ample networking opportunities.		The Linux Foundation provides a neutral, trusted hub for developers to code, manage, and scale open technology projects.	The Linux Foundation®	https://linuxfoundation.org/		"[""amazon"", ""cncf"", ""hackster""]"				Austin	United States	Austin, United States	https://events.linuxfoundation.org/open-source-summit-north-america/about/community-leadership-conference/	https://www.google.com/maps/place/Austin,+TX,+USA/data=!4m2!3m1!1s0x8644b599a0cc032f:0x5d9b464bd469d57a?sa=X&ved=2ahUKEwjPn-DAtIb4AhVXPcAKHfmUDukQ8gF6BAhHEAE	"["" events@linuxfoundation.org""]"		0
https://events.linuxfoundation.org/open-source-summit-north-america/about/containercon/	ContainerCon	2022-06-21	2022-06-24		Containers are revolutionizing the way workloads are automated, deployed and scaled, and ContainerCon is where teams can learn more about why and how to adopt containerization to further automation, portability and efficiency.		The Linux Foundation provides a neutral, trusted hub for developers to code, manage, and scale open technology projects.	The Linux Foundation®	https://linuxfoundation.org/		"[""amazon"", ""cncf"", ""hackster""]"				Austin	United States	Austin, United States	https://events.linuxfoundation.org/open-source-summit-north-america/about/containercon/	https://www.google.com/maps/place/Austin,+TX,+USA/data=!4m2!3m1!1s0x8644b599a0cc032f:0x5d9b464bd469d57a?sa=X&ved=2ahUKEwjPn-DAtIb4AhVXPcAKHfmUDukQ8gF6BAhHEAE	"["" events@linuxfoundation.org""]"		0
