scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://events.marketsandmarkets.com/chief-revenue-officer-talk-series-season-1-5-steps-to-become-a-successful-cro/	Chief Revenue Officer Talk Series - 5 Steps to Become A Successful CRO | Season 1				There is a massive shift to digitally transformed and customer-focused marketing and the Customers’ journey is more content-driven and engaging now. The key to businesses is the smooth transitions and effective management of sales pipeline and marketing resources. In a subscription-based economy, where companies are investing big time on annuity revenue models, role of CROs is not only becoming increasingly important for the internal CXO community but also gaining importance for investors and venture capitalists. The CRO function oversees operations, sales, company development, advertising and marketing, pricing, and revenue management. They recognize enhancing income overall performance, developing great product and pricing strategy, and delivering customer satisfaction. CROs are accountable in aligning all sales-generating departments and building strategic partnerships. Their cross-functional expertise ensures sales and marketing communicate well, share information, and collaborate in content creation so that each messaging fits their target customers. How the role of a Chief Revenue Officer is shaping up to be more focused on all revenue generation processes in an organization? Listen to the CRO Talk Series - Encompassed in a 5 module virtual series of 30 minutes each, this gathering of 500+ nation’s top sales & revenue leaders will get benefitted from 5 hours of keynotes, fireside chats, interactive panels, and endless networking opportunities with captivating content aimed at transforming the way businesses meet the goals and provides an ensured success pathway to become a successful CRO.			MarketsandMarkets Research Private Ltd.	https://events.marketsandmarkets.com/									https://events.marketsandmarkets.com/chief-revenue-officer-talk-series-season-1-5-steps-to-become-a-successful-cro/		"[""events@marketsandmarkets.com""]"	"[{""name"": ""Deb Deep Sengupta"", ""title"": ""Chief Revenue Officer | Board Advisor | Investor | Former CEO SAP India & South Asia"", ""link"": """"}, {""name"": ""Steve Winter"", ""title"": ""Operations Advisor Sales and Marketing Advent International, Former Chief Revenue Officer Coupa Software"", ""link"": """"}, {""name"": ""Miha Bobic"", ""title"": ""Vice President Business Development and Product Portfolio Danfoss"", ""link"": """"}, {""name"": ""Sandeep Singhal"", ""title"": ""Senior Advisor & Investment Committee Member Avaana Capital"", ""link"": """"}, {""name"": ""Eric Duffaut"", ""title"": ""President & Global Head of Field & Marketing Finastra"", ""link"": """"}, {""name"": ""Marcus Jewell"", ""title"": ""Chief Revenue Officer Juniper Network Ltd"", ""link"": """"}]"	1
https://events.marketsandmarkets.com/chief-revenue-officer-talk-series-role-of-cro-embracing-market-disruptions/	Chief Revenue Officer Talk Series: Role of CRO Embracing Market Disruptions | Module 5 [Time-Zone EST]				The CRO oversees operations, sales, company development, advertising and marketing, pricing, and revenue management. They recognize enhancing income overall performance, developing great product and pricing strategy, and delivering customer satisfaction. Their function is becoming increasingly essential in recurring revenue models like subscription-oriented models and retrieving customers as well as organising commercial enterprise relationships with new ones. They are the individual in charge of a company’s revenue streams. Leveraging knowledge of the roles both sales and advertising play in driving growth, they have remaining accountability in aligning all sales-generating departments and building strategic partnerships. Their cross-functional expertise ensures sales and marketing communicate well, share information, and collaborate in content creation so that each messaging fits their target customers. working in industries as varied as financial services, IT, and advertising, a CRO who can lead your organisation in building alliances and collaborations increases the likelihood of higher profitability and achievement. In a subscription-based economy, where companies are investing big time on annuity revenue models, role of CROs is not only becoming increasingly important for the internal CXO community but also gaining importance for investors and venture capitalists. Encompassed in a 5 module virtual series of 60 minutes each, this gathering of 500+ nation’s top sales & revenue leaders will get benefitted from 5 hours of keynotes, fireside chats, interactive panels, and endless networking opportunities with captivating content aimed at transforming the way you meet goals and will provide an ensured success pathway to become a successful CRO.			MarketsandMarkets Research Private Ltd.	https://events.marketsandmarkets.com/									https://events.marketsandmarkets.com/chief-revenue-officer-talk-series-role-of-cro-embracing-market-disruptions/		"[""events@marketsandmarkets.com""]"	"[{""name"": ""Deb Deep Sengupta"", ""title"": ""Chief Revenue Officer | Board Advisor | Investor | Former CEO SAP India & South Asia"", ""link"": """"}, {""name"": ""Deb Deep Sengupta"", ""title"": ""Chief Revenue Officer | Board Advisor | Investor | Former CEO SAP India & South Asia"", ""link"": """"}, {""name"": ""Marcus Jewell"", ""title"": ""Chief Revenue Officer Juniper Network Ltd"", ""link"": """"}]"	1
https://events.marketsandmarkets.com/disruptiondialogues-episode-5-the-new-design-for-circular-economy/	#DisruptionDialogues Episode 5: The New Design for Circular Economy				#DisruptionDialogues Podcast focuses on the various upcoming disruptions that are changing the operating landscape of global businesses. This podcast series is designed to introduce the subject of disruption to like-minded leaders who would share insights on a host of challenges being faced by a plethora of industries, and the solutions being pitted to tackle them. In this decade alone, we expect to see each B2B company transforming 50% of their revenues. To survive these business disruptions, companies need to analyze their business processes and external environment to ascertain whether they are well equipped to rise to these challenges. According to MarketsandMarkets estimate, these disruptions are expected to create new revenue opportunities worth US$ 25 trillion by 2030. In the Episode 5 of our Podcast Series, we discuss the New Design for Circular Economy and the kind of shifts that businesses would need to make to manage the circular economy and its impact on businesses.			MarketsandMarkets Research Private Ltd.	https://events.marketsandmarkets.com/									https://events.marketsandmarkets.com/disruptiondialogues-episode-5-the-new-design-for-circular-economy/		"[""events@marketsandmarkets.com""]"	"[{""name"": ""Pranjal Sharma"", ""title"": ""Economic Analyst, Advisor and Author World Economic Forum"", ""link"": """"}, {""name"": ""Corey Glickman"", ""title"": ""Global Head, Sustainability and Design Consulting Services Infosys"", ""link"": """"}]"	1
https://events.marketsandmarkets.com/marketsandmarkets-biogene-confex-2022/	MarketsandMarkets Biogene Confex 2022	2022-06-16	2022-06-17		MarketsandMarkets is providing a platform for pharmaceutical, biotechnology professionals and technology providers to come together at the BioGeNe 2022 Confex on the 16th - 17th June 2022 in San Diego-USA to discuss advancements and solutions to the most critical challenges in the Biomarker, Microbiome and Genome engineering areas. With growing pressures of increasing success rates for FDA approved biomarkers as well as companion diagnostics tests has seen an outgrowth in drug discovery companies to invest in novel strategies for biomarker discovery. The industry of genome editing has witnessed some great breakthroughs during a year in the areas like genome writing, base editing and specific progression in the field of therapeutics through the Car-T cells and immunotherapy. With the increasing focus on the development of human microbiome therapies and probiotics product &drug development various small innovative players are operating in the market. The three conferences which are going to be a part of Biogene Confex 2022 are, 7th Annual MarketsandMarkets Biomarker and Companion Diagnostics Conference and 4th Annual MarketsandMarkets Next-Gen Microbiome and Probiotics Conference			MarketsandMarkets Research Private Ltd.	https://events.marketsandmarkets.com/		"[""Owlstone Medical"", ""Eremid Research Services"", ""BioForm Solutions"", ""Microbiology International"", ""Microba""]"				Double Tree by Hilton San Diego- Mission Valley		Double Tree by Hilton San Diego- Mission Valley	https://events.marketsandmarkets.com/marketsandmarkets-biogene-confex-2022/		"[""events@marketsandmarkets.com""]"	"[{""name"": ""John Rossi"", ""title"": ""Director, Translational Sciences Kite Pharma"", ""link"": """"}, {""name"": ""Julius Goepp"", ""title"": ""Founder, CEO Scaled Microbiomics"", ""link"": """"}, {""name"": ""Emily Stein"", ""title"": ""CEO Primal Health Inc."", ""link"": """"}, {""name"": ""Yug Varma"", ""title"": ""CEO Phi Therapeutics"", ""link"": """"}, {""name"": ""Nicole M. Scott"", ""title"": ""CEO and Founder Cybele Microbiome"", ""link"": """"}, {""name"": ""Matt Davis"", ""title"": ""Director, Molecular biology and Sequencing Gritstone Oncology, Inc."", ""link"": """"}, {""name"": ""Miten Jain"", ""title"": ""Assistant Research Scientist University of California Santa Cruz"", ""link"": """"}, {""name"": ""Matteo D\u2019Antonio"", ""title"": ""Assistant Project Scientist Frazer Lab UC San Diego, La Jolla"", ""link"": """"}, {""name"": ""Carl Saab"", ""title"": ""Professor of Neuroscience Brown University"", ""link"": """"}, {""name"": ""Santhoshi Krishnan"", ""title"": ""Senior Research Student University of Michigan"", ""link"": """"}, {""name"": ""Joshua Campbell"", ""title"": ""Professor Boston University School of Medicine"", ""link"": """"}, {""name"": ""Arun Devotta"", ""title"": ""Associate Research Scientist New York University"", ""link"": """"}, {""name"": ""Brittany Rife"", ""title"": ""University of Florida Research Assistant Scientist"", ""link"": """"}, {""name"": ""Manoj Bhasin"", ""title"": ""Director, Bioinformatics and Systems Biology Shared Resource Winship Cancer Institute"", ""link"": """"}, {""name"": ""Kelly A Frazer"", ""title"": ""Director, Institute for Genomic Medicine University of California, San Diego"", ""link"": """"}, {""name"": ""Maya Ivanjesku"", ""title"": ""Chief Scientific Officer Dakota Biotech"", ""link"": """"}]"	0
https://events.marketsandmarkets.com/4th-annual-marketsandmarkets-next-gen-microbiome-and-probiotics-conference/	4th Annual MarketsandMarkets Next-Gen Microbiome and Probiotics Conference	2022-06-16	2022-06-17		The ecology of human microbiome is known to be associated with both phenotype and environment. With the increasing focus on the development of human microbiome therapies and probiotics product &drug development various small innovative players are operating in the market. However, inadequate research and regulatory policies in the human microbiome are some of the factors which restrain the progress. Learn about microbial innovation and applying the new microbiome findings along with the regulatory pathways for better therapeutic development. Also, witness discussions on Microbiome vs probiotics and the link between them. Connect with biotech, pharma, academicians and investors at 4th Annual Next Gen Microbiome and Probiotics Conference on 16th - 17th June 2022 in San Diego, USA, discussing the most ingenious research and technological advances. Key sessions on Applying new microbiome findings, regulatory updates, brandng and marketing of probiotics along with discussion on effective translation from R& D to commercialization.			MarketsandMarkets Research Private Ltd.	https://events.marketsandmarkets.com/		"[""Eremid Research Services"", ""BioForm Solutions"", ""Microbiology International"", ""Microba""]"				Double Tree by Hilton San Diego- Mission Valley		Double Tree by Hilton San Diego- Mission Valley	https://events.marketsandmarkets.com/4th-annual-marketsandmarkets-next-gen-microbiome-and-probiotics-conference/		"[""events@marketsandmarkets.com""]"	"[{""name"": ""Julius Goepp"", ""title"": ""Founder, CEO Scaled Microbiomics"", ""link"": """"}, {""name"": ""Emily Stein"", ""title"": ""CEO Primal Health Inc."", ""link"": """"}, {""name"": ""Yug Varma"", ""title"": ""CEO Phi Therapeutics"", ""link"": """"}, {""name"": ""Nicole M. Scott"", ""title"": ""CEO and Founder Cybele Microbiome"", ""link"": """"}, {""name"": ""Julius Goepp"", ""title"": ""Founder, CEO Scaled Microbiomics"", ""link"": """"}, {""name"": ""Emily Stein"", ""title"": ""CEO Primal Health Inc."", ""link"": """"}, {""name"": ""Yug Varma"", ""title"": ""CEO Phi Therapeutics"", ""link"": """"}, {""name"": ""Nicole M. Scott"", ""title"": ""CEO and Founder Cybele Microbiome"", ""link"": """"}, {""name"": ""Maya Ivanjesku"", ""title"": ""Chief Scientific Officer Dakota Biotech"", ""link"": """"}, {""name"": ""Arun Bhunia"", ""title"": ""Professor of Food Microbiology Purdue University"", ""link"": """"}, {""name"": ""Aubrey Levitt"", ""title"": ""CEO/Co-Founder Postbiotics +"", ""link"": """"}, {""name"": ""Ryan Toma"", ""title"": ""Research Scientist Viome"", ""link"": """"}]"	0
https://events.marketsandmarkets.com/7th-annual-marketsandmarkets-biomarker-and-companion-diagnostics-conference/	7th Annual MarketsandMarkets Biomarker and Companion Diagnostics Conference	2022-06-16	2022-06-17		Leveraging next gen technologies beyond conventional biomarker drug discovery The 7th Annual MarketsandMarkets Biomarker and Companion Diagnostics Conference scheduled to be held on 16th - 17th June 2022 in San Diego, CA would address the gaps between early stage biomarker development and the commercialization stage of biomarkers. 30+ experts from academia and industry will be presenting their current work in Biomarkers, Latest updates on regulatory guidelines and approvals, Cancer biomarker validation for clinical application, Biomarkers and Personalized Medicine, Impact of Big data in translational biomarker research and Future of Companion Diagnostics Opportunity to develop long-lasting business relationships and networking opportunities with researchers, scientists, clinicians, academicians and professionals from Pharmaceutical companies, Bio-pharma companies, Universities, and Research institutes. Over 20 presentations, round-tables, and panel discussions focused on the key opportunities and challenges in biomarker research, from precision medicine and companion diagnostics through to digital biomarkers and clinical trials. This conference would also highlight case studies on leveraging emerging technologies in Digital Biomarkers, Precision Medicine and Big Data. Regarding commercialization of biomarkers, leading industry and academic experts would share their case studies focusing on advancements in companion diagnostics area. The keynote presentations would also help the attendees understand the issues related to clinical translation of biomarkers..			MarketsandMarkets Research Private Ltd.	https://events.marketsandmarkets.com/		"[""HTG Molecular Diagnostics, Inc."", ""Proteome Sciences"", ""Somalogic"", ""Randox"", ""QIAGEN"", ""Biodesix"", ""SensID"", ""Beckton Dickinson"", ""Rules-Based Medicine""]"				Double Tree by Hilton San Diego- Mission Valley		Double Tree by Hilton San Diego- Mission Valley	https://events.marketsandmarkets.com/7th-annual-marketsandmarkets-biomarker-and-companion-diagnostics-conference/		"[""events@marketsandmarkets.com""]"	"[{""name"": ""John Rossi"", ""title"": ""Director, Translational Sciences Kite Pharma"", ""link"": """"}, {""name"": ""Roy Baynes"", ""title"": ""Senior Vice President and Head Global Clinical Development, Chief Medical Officer Merck Research Laboratories"", ""link"": """"}, {""name"": ""Lokesh Agrawal"", ""title"": ""Program Director, Biorepositories and Biospecimen Research Branch (BBRB), NIH"", ""link"": """"}, {""name"": ""Mike Baratta"", ""title"": ""Scientific Director, Translational Biomarker Research Takeda"", ""link"": """"}, {""name"": ""Pallavi Sachdev"", ""title"": ""Senior Director, Clinical Pharmacology and Translational Medicine Eisai"", ""link"": """"}, {""name"": ""John Rossi"", ""title"": ""Director, Translational Sciences Kite Pharma"", ""link"": """"}, {""name"": ""Yisrael Katz"", ""title"": ""Senior Medical Director Viracta Therapeutics, Inc."", ""link"": """"}, {""name"": ""Naveen Babbar"", ""title"": ""Executive Director, Precision Medicine Leader Novartis"", ""link"": """"}, {""name"": ""Jason Kinchen"", ""title"": ""Lead Biomarker Discovery Scientist Owlstone Medical"", ""link"": """"}]"	0
https://events.marketsandmarkets.com/biopharma-series-boston-usa/	MarketsAndMarkets BioPharma Series	2022-06-23	2022-06-24		Witness an overwhelming participation of the key decision makers from academia, pharmaceutical and bio-pharmaceutical industies working in the areas of research and development, manufacturing, market access, commercialization and supply chain under one roof. MarketsandMarkets’ Biopharma Series is a platform providing an opportunity to experts from the industry, regulators, academia and technology providers to discuss innovations, challenges, best practices, use-cases and future aspects in the area of single cell analysis, next-gen immune-oncology, next-gen bioprocessing, cell and gene therapy manufacturing, biosimilars drug development and commercialization and pharma supply chain and logistics.			MarketsandMarkets Research Private Ltd.	https://events.marketsandmarkets.com/		"[""Proteome Sciences"", ""Sanyou Bio"", ""CRYOPDP an Air Liquid Group"", ""Cellex"", ""Larvol"", ""PHC Group"", ""Epredia"", ""Novogene"", ""AmericanBio"", ""Sartorius Stedim Biotech GmbH"", ""PromoCell"", ""TransCure bioServices"", ""QIAGEN"", ""Kiromic Biopharma"", ""Veracyte"", ""BioIVT"", ""Mission Bio""]"				Boston	USA	Boston, USA	https://events.marketsandmarkets.com/biopharma-series-boston-usa/	https://www.google.com/maps/place/Boston,+MA,+USA/data=!4m2!3m1!1s0x89e3652d0d3d311b:0x787cbf240162e8a0?sa=X&ved=2ahUKEwjqgZ-FtYv4AhUKhP0HHefFAUMQ8gF6BAg8EAE	"[""events@marketsandmarkets.com""]"	"[{""name"": ""Yuhwa Lo"", ""title"": ""Professor, Electrical & Computer Engineering University of California, San Diego"", ""link"": """"}, {""name"": ""Amita Goel"", ""title"": ""CEO Celltheon"", ""link"": """"}, {""name"": ""Tuhin Bhowmick"", ""title"": ""Founder & CEO Pandorum Int."", ""link"": """"}, {""name"": ""David Gemmell"", ""title"": ""MSAT Biomanufacturing Engineer Merck"", ""link"": """"}, {""name"": ""Arvind Rao"", ""title"": ""Associate Professor, Department of Computational Medicine and Bioinformatics University of Michigan"", ""link"": """"}, {""name"": ""Ejvind Mortz"", ""title"": ""Chief Operating Officer Alphalyse"", ""link"": """"}, {""name"": ""Prasun Mishra"", ""title"": ""Chief Executive Officer Precision Biopharma"", ""link"": """"}, {""name"": ""Yuhwa Lo"", ""title"": ""Professor, Electrical & Computer Engineering University of California, San Diego"", ""link"": """"}, {""name"": ""Matt Davis"", ""title"": ""Director, Molecular biology and Sequencing Gritstone Oncology, Inc."", ""link"": """"}, {""name"": ""Jun Wang"", ""title"": ""Associate Professor Stony Brook University"", ""link"": """"}, {""name"": ""Prem Subramaniam"", ""title"": ""Associate Research Scientist Columbia University"", ""link"": """"}, {""name"": ""Anka G. Ehrhardt"", ""title"": ""Director, Cell-Based Sciences, AR&D Merck"", ""link"": """"}]"	0
https://events.marketsandmarkets.com/marketsandmarkets-chief-strategy-officer-summit/	MarketsandMarkets Chief Strategy Officer Summit	2022-06-23	2022-06-24		CSO’s role shelters everything from defining a corporate strategy, to anchoring it with clients, partners, and the ecosystem at large. Confronted with disruptive trends in technologies, ever more stringent regulations, and increasingly complex organizational structures, executive leaders need to continuously develop and implement more robust strategies to respond, adapt and get ahead. That’s where the role of the Chief Strategy Officer comes into play. MarketsandMarkets “Chief Strategy Officer Summit”, is an exclusive leadership platform for decision makers to discuss the framework to model strategy in this new economy. Through interactive sessions, keynotes, and discussions, we will spend two insightful days with leaders, spear-heading the most transformative business journeys. Make the most of this In-person mixer to harness the power of genuine connections. Get Inspired and make an impact.			MarketsandMarkets Research Private Ltd.	https://events.marketsandmarkets.com/						New York	USA	New York, USA	https://events.marketsandmarkets.com/marketsandmarkets-chief-strategy-officer-summit/	https://www.google.com/maps/place/New+York,+NY,+USA/data=!4m2!3m1!1s0x89c24fa5d33f083b:0xc80b8f06e177fe62?sa=X&ved=2ahUKEwiW2--MtYv4AhXkk_0HHUtbAxUQ8gF6BAgyEAE	"[""events@marketsandmarkets.com""]"	"[{""name"": ""Chris Huff"", ""title"": ""Chief Strategy Officer Kofax, Washington D.C"", ""link"": """"}, {""name"": ""Chip Strange"", ""title"": ""Chief Strategy Officer Ookla"", ""link"": """"}, {""name"": ""John Miller"", ""title"": ""Director \u2013 Product Management Domo, Inc"", ""link"": """"}, {""name"": ""Shinji Sandy Kimura"", ""title"": ""Chief Strategy Officer Rakuten"", ""link"": """"}, {""name"": ""Sanjay Tripathi"", ""title"": ""Vice President \u2013 Portfolio, Strategy & Business Development IBM"", ""link"": """"}, {""name"": ""Satish Raman"", ""title"": ""Chief strategy officer Fractal AI"", ""link"": """"}, {""name"": ""Marc Cohen"", ""title"": ""Chief Strategy Officer First Onsite"", ""link"": """"}, {""name"": ""Eli Weiss"", ""title"": ""Chief Strategy officer Chefman"", ""link"": """"}]"	0
https://events.marketsandmarkets.com/5th-annual-marketsandmarkets-next-gen-immuno-oncology-conference/	5th Annual MarketsAndMarkets Next-Gen Immuno-Oncology Conference	2022-06-23	2022-06-24		Our 5th Annual MarketsandMarkets Next Gen Immuno-Oncology Conference to be held on 23rd-24th, June 2022, in Boston, would address the challenges and future directions in IO research. The congress aims to bring academicians, researchers and scientists from research institutes pharmaceutical, bio-pharmaceutical and biotechnology companies to discuss the latest updates in development of ADC’s, Bispecific Antibodies, Cellular Therapy and Immune Checkpoint Inhibitors. This congress would also focus on various combination strategies, pre-clinical and translational immune-oncology developments, updates in cellular and viral therapies, vaccines development and personalized immunotherapy. Keynote presentations, Brainstorming Panel Discussions and Case studies will give the stakeholders an opportunity to discuss and understand the issues faced and come up with solutions. With more than 20 speakers across the world from pharma, bio-pharma and biotech companies, the congress will discuss the latest updates in development of ADC’s, Monoclonal Antibodies, Bispecific Antibodies, Immune Checkpoint Inhibitors and Cellular Therapy			MarketsandMarkets Research Private Ltd.	https://events.marketsandmarkets.com/		"[""Proteome Sciences"", ""Sanyou Bio"", ""Larvol"", ""PHC Group"", ""Epredia"", ""Angle Plc"", ""EpigenDx"", ""PromoCell"", ""TransCure bioServices"", ""QIAGEN"", ""Kiromic Biopharma"", ""Veracyte"", ""BioVT"", ""Talem Therapeutics""]"				Boston	USA	Boston, USA	https://events.marketsandmarkets.com/5th-annual-marketsandmarkets-next-gen-immuno-oncology-conference/	https://www.google.com/maps/place/Boston,+MA,+USA/data=!4m2!3m1!1s0x89e3652d0d3d311b:0x787cbf240162e8a0?sa=X&ved=2ahUKEwjqgZ-FtYv4AhUKhP0HHefFAUMQ8gF6BAg8EAE	"[""events@marketsandmarkets.com""]"	"[{""name"": ""Lokesh Agrawal"", ""title"": ""Program Director, Biorepositories and Biospecimen Research Branch (BBRB), NIH"", ""link"": """"}, {""name"": ""Alison Crawford"", ""title"": ""Sr. Staff Scientist Regeneron Pharmaceuticals, Inc."", ""link"": """"}, {""name"": ""Stefan Glueck"", ""title"": ""Senior Vice President, Global Medical Affairs Celgene"", ""link"": """"}, {""name"": ""Paul Lammers"", ""title"": ""President & CEO Triumvira Immunologics"", ""link"": """"}, {""name"": ""Shahram Salek-Ardakani"", ""title"": ""Senior Director, Cancer Immunology Pfizer"", ""link"": """"}, {""name"": ""Sarbajit Mukherjee"", ""title"": ""Assistant Professor Oncology Roswell Park Comprehensive Cancer Center"", ""link"": """"}, {""name"": ""Rajkumar Noubade"", ""title"": ""Senior Scientist Amgen"", ""link"": """"}, {""name"": ""Jennifer Elliott"", ""title"": ""Senior Director, Oncology & Precision Medicine Qiagen"", ""link"": """"}]"	0
https://events.marketsandmarkets.com/marketsandmarkets-semiconductor-supply-chain-crystal-ball-event/	MarketsandMarkets Semiconductor Supply Chain Crystal Ball Event [Time Zone - 11 AM EST]	2022-06-23	2022-06-23	"[{""type"": ""general"", ""Start_time"": ""11AM"", ""end_time"": """", ""timezone"": ""EST"", ""days"": ""all""}]"	High growth markets which contribute to 20% of your revenues today will contribut 80% in the next 5 years. Identify these new revenue sources at MarketsandMarkets’ Crystal Ball Event! The Global semiconductor market was valued at US$ 554 billion in 2021, an increase of 26% percent from 2020. Analog segment was the major growth rate contributor, followed by Memory, and Logic. It is expected that the semiconductor market in 2020 will cross US$600 billion, primarily driven by the increasing semiconductor content across the end-user industries including automotive, consumer electronics, data centers, Industrial, Healthcare, Energy and Power etc. The semiconductor manufacturing supply chain is complex with intellectual property originating in a few regions. Semiconductor capital equipment manufacturers and fab facilities are mostly concentrated Chin, East Asia, China, Taiwan, and US. Supplier dependency, environmental risks, political/governance change, economic instability, and geopolitical factors such as US current sanctions on China, and Ukraine and Russia War are some of the factors leading to supply chain issues in semiconductor industry. Automotive industry is facing the biggest supply chain challenge as automobile manufacturers are facing issues including chip shortages, material availability, extended lead times etc. The average lead time, the gap between when a semiconductor is ordered and when it’s delivered has increased considerably to 28 weeks. The shortage in semiconductor due to supply chain issues has hampered the recovery post pandemic for automobile manufacturers and the Automotive OEMs have lost approximately USD 180 billion in sales in 2021. The global semiconductor industry is committed to increase the overall semiconductor production capacity by either expanding their current fabrication facilities or investing in new ones. Supply chain members across the globe including semiconductor component manufacturers and government organizations are taking initiatives towards the development of semiconductor industry and ease supply chain issues. For instance, TSMC is planning to spend approximately US$ 44 billion to increase its production capacity by up to 47% this year. In 2021, the EU introduced the “2030 Digital Compass Initiative,” which explicitly set a goal of increasing the EU’s share of global chip manufacturing from 10% in 2020 to 20% by 2030. Rising demand for high-performance and power efficient semiconductor ICs is leading to the investment in low process technology nodes (under 10 nm, mainly at 3 nm, 5 nm and 7 nm). Demand drivers include AI/ML, IoT, 5G, Blockchain, Robotics, intelligent edge, cloud computing, hardware accelerators etc. Rise in digitalization, implementation of automation technologies, compute power at the edge of the network, demand for high reliability and low latency networks is creating the need to collaborate with supply chain partners not only identify supply chain issues but also to identify attractive, high growth opportunities in the semiconductor industry. Participants such as CIOs, CTOs, CMOs, semiconductor supply chain members can benefit from this unprecedented growth over the next five years.			MarketsandMarkets Research Private Ltd.	https://events.marketsandmarkets.com/									https://events.marketsandmarkets.com/marketsandmarkets-semiconductor-supply-chain-crystal-ball-event/		"[""events@marketsandmarkets.com""]"	"[{""name"": ""Sonny Banwari"", ""title"": ""VP Global Business Development and Operations, Advantest Cloud"", ""link"": """"}, {""name"": ""Sanjeev Keskar"", ""title"": ""Chief Executive Officer , Arvind Consultancy"", ""link"": """"}]"	1
