scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://events.umich.edu/event/94766	CRCs	2022-05-31	2022-05-31	"[{""type"": ""general"", ""Start_time"": ""12:00AM"", ""end_time"": ""5:00PM"", ""timezone"": """", ""days"": ""all""}]"	The University of Michigan Women's Rugby Club will be playing in the Collegiate Rugby Championship in New Orleans.		Welcome to the University of Michigan Events Calendar! Use this site to browse and search for events happening throughout campus. The calendar system is full of events sponsored by registered student organizations and University departments. If you belong to a University department or registered student organization, you can add events to the calendar.	Maize Pages Student Organizations	https://events.umich.edu/		"[""Student Organization: University of Michigan Women's Rugby Football Club""]"				Shrine on Airline		Shrine on Airline	https://events.umich.edu/event/94766	https://www.google.com/maps/place/Shrine+on+Airline/@29.9749339,-90.2000895,15z/data=!4m2!3m1!1s0x0:0x3c732eaf45dbfcc8?sa=X&ved=2ahUKEwjIrfmt_oj4AhUWhlwKHWkEB1UQ_BJ6BAgWEAU			0
https://events.umich.edu/event/95010	D-1 Men's College Nationals	2022-05-31	2022-05-31	"[{""type"": ""general"", ""Start_time"": ""12:00AM"", ""end_time"": ""8:00PM"", ""timezone"": """", ""days"": ""all""}]"	The 20 best collegiate ultimate teams compete for the National Championsip.		Welcome to the University of Michigan Events Calendar! Use this site to browse and search for events happening throughout campus. The calendar system is full of events sponsored by registered student organizations and University departments. If you belong to a University department or registered student organization, you can add events to the calendar.	Maize Pages Student Organizations	https://events.umich.edu/		"[""Student Organization: Men's Ultimate Frisbee - MagnUM""]"				Uihlein Soccer Park		Uihlein Soccer Park	https://events.umich.edu/event/95010	https://www.google.com/maps/place/Uihlein+Soccer+Park/@43.1477949,-87.999054,15z/data=!4m2!3m1!1s0x0:0x88269e1c4ed4a027?sa=X&ved=2ahUKEwjyvpG7_oj4AhWHi1wKHVBhD-8Q_BJ6BAghEAU			0
https://events.umich.edu/event/93885	Homework Help at The Children's Center	2022-05-31	2022-05-31	"[{""type"": ""general"", ""Start_time"": ""12:00AM"", ""end_time"": ""11:59PM"", ""timezone"": """", ""days"": ""all""}]"	The Homework Help program offers children assistance with their homework assignments. Children are encouraged to bring homework and are paired with a volunteer to assist them. This program is a critical service in helping children thrive. Volunteers give children the tools they need to be successful in school.Virtual and in-person volunteer opportunities are available. If you would like to volunteer, please start the enrollment process by creating an account on the Children Center's Volunteer Site found HERE. After your account is created, the Children's Center will reach out to you within 2 business days to answer any questions and discuss the next steps.In accordance with the CMS Vaccine Mandate, those volunteering in-person at the Children’s Center are required to be fully vaccinated and must provide proof of full vaccination upon request.		Welcome to the University of Michigan Events Calendar! Use this site to browse and search for events happening throughout campus. The calendar system is full of events sponsored by registered student organizations and University departments. If you belong to a University department or registered student organization, you can add events to the calendar.	Maize Pages Student Organizations	https://events.umich.edu/		"[""Student Organization: Chapter of the Scientista Foundation""]"				The Children's Center		The Children's Center	https://events.umich.edu/event/93885	https://www.google.com/maps/place/University+of+Michigan+North+Campus+Children's+Center/@42.3012841,-83.7085906,15z/data=!4m2!3m1!1s0x0:0x8970d194e585f89e?sa=X&ved=2ahUKEwiTjZzM_oj4AhV1S0EAHa4ODmcQ_BJ6BAgnEAU			0
https://events.umich.edu/event/95208	NCBA D1 World Series	2022-05-31	2022-05-31	"[{""type"": ""general"", ""Start_time"": ""12:00AM"", ""end_time"": ""11:59PM"", ""timezone"": """", ""days"": ""all""}]"	After winning the Great Lakes Regional Tournament, we punch our ticket to the D1 World Series. We are 6 seed in the tournament out of 8 teams and our first game is against Utah State on Friday, May 27th at 10:30 AM. If we make it to the championship, we will be in South Carolina until June 3rd.		Welcome to the University of Michigan Events Calendar! Use this site to browse and search for events happening throughout campus. The calendar system is full of events sponsored by registered student organizations and University departments. If you belong to a University department or registered student organization, you can add events to the calendar.	Maize Pages Student Organizations	https://events.umich.edu/		"[""Student Organization: Michigan Club Baseball""]"				Stephen B. Dolny Stadium		Stephen B. Dolny Stadium	https://events.umich.edu/event/95208	https://www.google.com/maps/place/University+of+Michigan/@42.2780436,-83.7382241,15z/data=!4m2!3m1!1s0x0:0x5ba14e5178e997e3?sa=X&ved=2ahUKEwjIpZ3f_oj4AhUKR8AKHfnSDp0Q_BJ6BAgWEAU			0
https://events.umich.edu/event/89571	UROP 2022-2023 Rising Sophomore Applications Open	2022-05-31	2022-05-31	"[{""type"": ""general"", ""Start_time"": ""7:00AM"", ""end_time"": ""11:59PM"", ""timezone"": """", ""days"": ""all""}]"	The Undergraduate Research Opportunity Program is now accepting applications for students who will be rising sophomores during the 2022-2023 academic year. Learn more and apply today at http://myumi.ch/uropsophomore Rising Sophomore Applications are being accepted on a rolling basis.		Welcome to the University of Michigan Events Calendar! Use this site to browse and search for events happening throughout campus. The calendar system is full of events sponsored by registered student organizations and University departments. If you belong to a University department or registered student organization, you can add events to the calendar.	UROP - Undergraduate Research Opportunity Program	https://events.umich.edu/									https://events.umich.edu/event/89571				1
https://events.umich.edu/event/92406	Apply to Changing Gears	2022-05-31	2022-05-31	"[{""type"": ""general"", ""Start_time"": ""8:00AM"", ""end_time"": ""11:00PM"", ""timezone"": """", ""days"": ""all""}]"	Changing Gears (CG) is a UROP program designed primarily for community college transfer students who will be attending the University of Michigan, but also serves students transferring from 4 year institutions. Students in the CG Program become a part of an ongoing faculty-driven research, scholarly or creative project in their field of interest. Students learn valuable academic skills, applying these skills to their research project, academics, and future career opportunities, while receiving academic credit or compensation for their efforts in research work. Applications are accepted on a rolling basis. Learn more about Changing Gears at: myumi.ch/uropcg		Welcome to the University of Michigan Events Calendar! Use this site to browse and search for events happening throughout campus. The calendar system is full of events sponsored by registered student organizations and University departments. If you belong to a University department or registered student organization, you can add events to the calendar.	UROP - Undergraduate Research Opportunity Program	https://events.umich.edu/									https://events.umich.edu/event/92406				1
https://events.umich.edu/event/95140	Lane Hall Gallery Summer Exhibit	2022-05-31	2022-05-31	"[{""type"": ""general"", ""Start_time"": ""8:00AM"", ""end_time"": ""4:00PM"", ""timezone"": """", ""days"": ""all""}]"	"In this exhibit, artists Ashley Bigham (photographs) and Grace Mahoney (watercolors) investigate the visibility and social role of Ukraine’s older generation of women embodied in a figure both iconic and ubiquitous: the babusya. Seen in public transport, in the market, and on the street, each babusya has a story to tell. Each has something to say, something to gossip about, and something to complain about. ""Invisible Women: Portraits of Aging in Ukraine"" is hosted by the University of Michigan’s Institute for Research on Women and Gender (IRWG) and the Department of Women’s and Gender Studies. The exhibit is on display for public viewing weekdays from 8:00 a.m.- 4:00 p.m. through August 18, 2022, in the main lobby of Lane Hall, located at 204 South State Street, Ann Arbor, MI 48109. For more information on the current exhibit, visit IRWG’s website."		Welcome to the University of Michigan Events Calendar! Use this site to browse and search for events happening throughout campus. The calendar system is full of events sponsored by registered student organizations and University departments. If you belong to a University department or registered student organization, you can add events to the calendar.	Institute for Research on Women and Gender	https://events.umich.edu/		"[""Women's and Gender Studies Department"", ""Center for Russian, East European, and Eurasian Studies"", ""Slavic Languages & Literatures""]"				Lane Hall		Lane Hall	https://events.umich.edu/event/95140	https://www.google.com/maps/place/Lane+Hall,+University+of+Michigan/@42.2799294,-83.7412707,15z/data=!4m2!3m1!1s0x0:0xad29b06d24e993fd?sa=X&ved=2ahUKEwi16673_oj4AhUHT8AKHb5IBTIQ_BJ6BAgdEAU			0
https://events.umich.edu/event/94707	Mail Art: Postcards from the Pandemic	2022-05-31	2022-05-31	"[{""type"": ""general"", ""Start_time"": ""8:00AM"", ""end_time"": ""7:00PM"", ""timezone"": """", ""days"": ""all""}]"	View postcards from the pandemic. When the U-M Library and the Ann Arbor District Library asked community members to submit handmade postcards — mail art — in 2020 to capture the emotions and experiences of the Ann Arbor and U-M community during challenging pandemic times, creative pieces of art started arriving at the library. About the submissions: https://myumi.ch/pdbeW Stop by the Hatcher Library to view these physical artifacts that reflect how people were coping during the unexpected Covid-19 shutdown.		Welcome to the University of Michigan Events Calendar! Use this site to browse and search for events happening throughout campus. The calendar system is full of events sponsored by registered student organizations and University departments. If you belong to a University department or registered student organization, you can add events to the calendar.	University Library	https://events.umich.edu/						Hatcher Graduate Library - North Lobby (just off the Diag)		Hatcher Graduate Library - North Lobby (just off the Diag)	https://events.umich.edu/event/94707	https://www.google.com/maps/place/Harlan+Hatcher+Graduate+Library/@42.2763342,-83.7379811,15z/data=!4m2!3m1!1s0x0:0x12fe2c3a0a6d7801?sa=X&ved=2ahUKEwiH-qCS_4j4AhUObsAKHZFQDEwQ_BJ6BAgrEAU			0
https://events.umich.edu/event/90765	Map ≠ Territory: Distortion and Power in Cartography	2022-05-31	2022-05-31	"[{""type"": ""general"", ""Start_time"": ""8:00AM"", ""end_time"": ""7:00PM"", ""timezone"": """", ""days"": ""all""}]"	More than strict representations of the world we inhabit, maps are social constructions that embody the interests of their creators. Map ≠ Territory deconstructs maps that have been used to subjugate, appropriate, and oppress, as well as the maps that counter that power through emancipation and advocacy. The exhibit critically engages with materials that span from the colonial era to modern-day Detroit. The exhibit is available in the Clark Library (second floor Hatcher) during Hatcher Library hours. Please verify hours on the library's website: https://www.lib.umich.edu		Welcome to the University of Michigan Events Calendar! Use this site to browse and search for events happening throughout campus. The calendar system is full of events sponsored by registered student organizations and University departments. If you belong to a University department or registered student organization, you can add events to the calendar.	University Library	https://events.umich.edu/						Hatcher Graduate Library - Clark Library	2nd Floor	Hatcher Graduate Library - Clark Library, 2nd Floor	https://events.umich.edu/event/90765	https://www.google.com/maps/place/Harlan+Hatcher+Graduate+Library/@42.2763342,-83.7379811,15z/data=!4m2!3m1!1s0x0:0x12fe2c3a0a6d7801?sa=X&ved=2ahUKEwiXqtSl_4j4AhUJLsAKHaqmDl0Q_BJ6BAgeEAU			0
https://events.umich.edu/event/83923	UROP First-Year Application Open	2022-05-31	2022-05-31	"[{""type"": ""general"", ""Start_time"": ""8:00AM"", ""end_time"": ""11:00PM"", ""timezone"": """", ""days"": ""all""}]"	"Our ""Traditional UROP Program"" has been our flagship program running over 30 years. This Academic Year program, in which students participate for both Fall and Winter Terms, is designed for University of Michigan first and second year undergraduate students enrolled on the Ann Arbor campus who are seeking a first time research experience. Student research assistants work alongside a faculty member, research scientist or professional practitioner on an ongoing or new research project. Learn more and apply at: myumi.ch/uropyearone Applications being accepted on a rolling basis."		Welcome to the University of Michigan Events Calendar! Use this site to browse and search for events happening throughout campus. The calendar system is full of events sponsored by registered student organizations and University departments. If you belong to a University department or registered student organization, you can add events to the calendar.	UROP - Undergraduate Research Opportunity Program	https://events.umich.edu/									https://events.umich.edu/event/83923				1
