scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://www.event.law.com/dailyreportonline-GeorgiaLegalAwards	The Georgia Legal Awards 2022	2022-06-23	2022-06-23		The Daily Report is honoring those attorneys and judges who have made a remarkable difference in the legal profession in Georgia.		ALM is the premier destination for professionals to learn about powerful business research, premium information on ongoing and emerging market trends, and domestic and international advances in technology. Our more than 80 events serve as launchpads for elite industry leaders, strategic partners and prospective clients to become better informed, celebrate their successes, and meet and engage in impactful and meaningful discussions with their peers.	ALM Media Properties	https://www.alm.com/						Flourish Atlanta		Flourish Atlanta	https://www.event.law.com/dailyreportonline-GeorgiaLegalAwards	https://www.google.com/maps/place/Flourish+Atlanta/@33.8418703,-84.3707345,15z/data=!4m5!3m4!1s0x0:0xd606b1d580cd1413!8m2!3d33.8418758!4d-84.3707176	"[""pcoughlin@alm.com""]"		0
https://www.event.law.com/asialegalawards	The Asia Legal Awards 2022	2022-06-29	2022-06-29		Where the region's top lawyers, law firms and in-house teams will gather to celebrate their most stellar achievements of the year.		ALM is the premier destination for professionals to learn about powerful business research, premium information on ongoing and emerging market trends, and domestic and international advances in technology. Our more than 80 events serve as launchpads for elite industry leaders, strategic partners and prospective clients to become better informed, celebrate their successes, and meet and engage in impactful and meaningful discussions with their peers.	ALM Media Properties	https://www.alm.com/						Island Shangri-La, Hong Kong	Hong Kong	Island Shangri-La, Hong Kong	https://www.event.law.com/asialegalawards	https://www.google.com/maps/place/Island+Shangri-La,+Hong+Kong/@22.2771904,114.1644241,15z/data=!4m8!3m7!1s0x0:0x476edbf3622c83!5m2!4m1!1i2!8m2!3d22.2771904!4d114.1644241	"[""pcoughlin@alm.com""]"		0
https://www.event.law.com/thelegalintelligencer-PALegalAwards	The Pennsylvania Legal Awards 2022	2022-06-29	2022-06-29		The Legal Intelligencer honors lawyers leaving a mark on the legal community in Pennsylvania with their dedication to law.		ALM is the premier destination for professionals to learn about powerful business research, premium information on ongoing and emerging market trends, and domestic and international advances in technology. Our more than 80 events serve as launchpads for elite industry leaders, strategic partners and prospective clients to become better informed, celebrate their successes, and meet and engage in impactful and meaningful discussions with their peers.	ALM Media Properties	https://www.alm.com/						Loews Philadelphia Hotel		Loews Philadelphia Hotel	https://www.event.law.com/thelegalintelligencer-PALegalAwards	https://www.google.com/maps/place/Loews+Philadelphia+Hotel/@39.9515991,-75.1602673,15z/data=!4m2!3m1!1s0x0:0x3aa2530ffaa3d3db?sa=X&ved=2ahUKEwjbk_-Rt6_4AhV8lIkEHTybApoQ_BJ6BAg1EAU	"[""pcoughlin@alm.com""]"		0
https://www.event.law.com/nationallawjournal-ETL	Elite Trial Lawyers 2022	2022-07-14	2022-07-14		The National Law Journal Elite Trial Lawyers recognizes U.S.-based law firms performing exemplary work on behalf of plaintiffs.		ALM is the premier destination for professionals to learn about powerful business research, premium information on ongoing and emerging market trends, and domestic and international advances in technology. Our more than 80 events serve as launchpads for elite industry leaders, strategic partners and prospective clients to become better informed, celebrate their successes, and meet and engage in impactful and meaningful discussions with their peers.	ALM Media Properties	https://www.alm.com/						Mandarin Oriental, New York	New York	Mandarin Oriental, New York	https://www.event.law.com/nationallawjournal-ETL	https://www.google.com/maps/place/Mandarin+Oriental,+New+York/@40.7689873,-73.9830172,15z/data=!4m8!3m7!1s0x0:0x510fcbc303f0de9d!5m2!4m1!1i2!8m2!3d40.7689873!4d-73.9830172	"[""pcoughlin@alm.com""]"		0
https://www.event.globest.com/WomenOfInfluence	Addressing the Critical Role of Women in Today's CRE Business	2022-07-25	2022-07-27		GlobeSt. Women of Influence Conference celebrates the women who drive the commercial real estate industry forward.		ALM is the premier destination for professionals to learn about powerful business research, premium information on ongoing and emerging market trends, and domestic and international advances in technology. Our more than 80 events serve as launchpads for elite industry leaders, strategic partners and prospective clients to become better informed, celebrate their successes, and meet and engage in impactful and meaningful discussions with their peers.	ALM Media Properties	https://www.alm.com/						 Park City, UT	UT	Stein Eriksen Lodge Deer Valley, Park City, UT	https://www.event.globest.com/WomenOfInfluence	https://www.google.com/maps/place/Stein+Eriksen+Lodge+Deer+Valley/@40.6220547,-111.4906561,15z/data=!4m8!3m7!1s0x0:0xf2e7c3093a8a9e7!5m2!4m1!1i2!8m2!3d40.6220547!4d-111.4906561	"[""pcoughlin@alm.com""]"		0
https://www.event.law.com/legalweek-AfricanLegalAwards	The African Legal Awards 2022	2022-09-02	2022-09-02		The African Legal Awards recognise exceptional achievement within Africa s legal community during a period of rapid change.		ALM is the premier destination for professionals to learn about powerful business research, premium information on ongoing and emerging market trends, and domestic and international advances in technology. Our more than 80 events serve as launchpads for elite industry leaders, strategic partners and prospective clients to become better informed, celebrate their successes, and meet and engage in impactful and meaningful discussions with their peers.	ALM Media Properties	https://www.alm.com/						Houghton Hotel, Johannesburg	Johannesburg	Houghton Hotel, Johannesburg	https://www.event.law.com/legalweek-AfricanLegalAwards	https://www.google.com/maps/place/The+Houghton+Hotel/@-26.1667762,28.074236,15z/data=!4m8!3m7!1s0x0:0xcc06a54a28e7b6b8!5m2!4m1!1i2!8m2!3d-26.166776!4d28.074226	"[""pcoughlin@alm.com""]"		0
https://www.event.law.com/texaslawyer-legalawards	Texas Legal Awards 2022	2022-09-14	2022-09-14		The Texas Lawyer honors attorneys and judges who have made a remarkable difference in the legal profession in Texas.		ALM is the premier destination for professionals to learn about powerful business research, premium information on ongoing and emerging market trends, and domestic and international advances in technology. Our more than 80 events serve as launchpads for elite industry leaders, strategic partners and prospective clients to become better informed, celebrate their successes, and meet and engage in impactful and meaningful discussions with their peers.	ALM Media Properties	https://www.alm.com/						 Dallas, TX	TX	Arts District Mansion, Dallas, TX	https://www.event.law.com/texaslawyer-legalawards	https://www.google.com/maps/place/Arts+District+Mansion/@32.7883212,-96.7990757,15z/data=!4m2!3m1!1s0x0:0x92e0eec268c5f2fa?sa=X&ved=2ahUKEwiO-P3Tt6_4AhWDg4kEHZFEBzUQ_BJ6BAgyEAU	"[""pcoughlin@alm.com""]"		0
https://www.event.law.com/njlawjournal-NJLegalAwards	The New Jersey Legal Awards 2022	2022-09-29	2022-09-29		New Jersey Law Journal honors lawyers leaving a mark on the legal community in New Jersey with their dedication to the profession.		ALM is the premier destination for professionals to learn about powerful business research, premium information on ongoing and emerging market trends, and domestic and international advances in technology. Our more than 80 events serve as launchpads for elite industry leaders, strategic partners and prospective clients to become better informed, celebrate their successes, and meet and engage in impactful and meaningful discussions with their peers.	ALM Media Properties	https://www.alm.com/						Brooklake Country Club		Brooklake Country Club	https://www.event.law.com/njlawjournal-NJLegalAwards	https://www.google.com/maps/place/Brooklake+Country+Club+%26+Events/@40.7659492,-74.3772354,15z/data=!4m2!3m1!1s0x0:0x9c28eec3c614535d?sa=X&ved=2ahUKEwiUzc7jt6_4AhU0rIkEHdh4C24Q_BJ6BAggEAU	"[""pcoughlin@alm.com""]"		0
https://www.event.law.com/newyorklawjournal-NYLA	The New York Legal Awards 2022	2022-10-06	2022-10-06		The New York Law Journal honors attorneys and judges who have made a remarkable difference in the legal profession in New York.		ALM is the premier destination for professionals to learn about powerful business research, premium information on ongoing and emerging market trends, and domestic and international advances in technology. Our more than 80 events serve as launchpads for elite industry leaders, strategic partners and prospective clients to become better informed, celebrate their successes, and meet and engage in impactful and meaningful discussions with their peers.	ALM Media Properties	https://www.alm.com/						 New York, NY	NY	New York Marriott Marquis, New York, NY	https://www.event.law.com/newyorklawjournal-NYLA	https://www.google.com/maps/place/New+York+Marriott+Marquis/@40.7585862,-73.9858202,15z/data=!4m8!3m7!1s0x0:0x18f39d1f8ee2a312!5m2!4m1!1i2!8m2!3d40.7585862!4d-73.9858202	"[""pcoughlin@alm.com""]"		0
https://www.event.law.com/corpcounsel-WIPL-Awards	Women, Influence & Power in Law Awards 2022	2022-10-18	2022-10-18		Women, Influence & Power in Law Awards honors women lawyers who have made a remarkable difference in the legal profession.		ALM is the premier destination for professionals to learn about powerful business research, premium information on ongoing and emerging market trends, and domestic and international advances in technology. Our more than 80 events serve as launchpads for elite industry leaders, strategic partners and prospective clients to become better informed, celebrate their successes, and meet and engage in impactful and meaningful discussions with their peers.	ALM Media Properties	https://www.alm.com/						 Washington, DC	DC	JW Marriott Washington, DC, Washington, DC	https://www.event.law.com/corpcounsel-WIPL-Awards	https://www.google.com/maps/place/JW+Marriott+Washington,+DC/@38.89659,-77.031471,15z/data=!4m2!3m1!1s0x0:0x79b949ea780c8702?sa=X&ved=2ahUKEwiVk5KEuK_4AhXihIkEHY0WDIgQ_BJ6BAg3EAU	"[""pcoughlin@alm.com""]"		0
