scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://www.ntca.org/events-education/events/rural-telecom-industry-meeting-expo-rtime	Rural Telecom Industry Meeting + EXPO (RTIME)	2023-02-19	2023-02-22		RTIME is America’s largest annual rural telecommunications industry event that delivers a universal education on policy, technology, healthcare, agriculture, community growth and advocacy.		NTCA–The Rural Broadband Association is building a better broadband future for rural America. Proudly representing nearly 850 independent, family-owned and community-based telecommunications companies, NTCA’s members build and deliver broadband connectivity and operate essential services in rural and small-town communities across the U.S.	NTCA–The Rural Broadband Association	https://www.ntca.org/						San Diego, CA	California	February 19–22, 2023 Manchester Grand Hyatt, San Diego, CA	https://www.ntca.org/events-education/events/rural-telecom-industry-meeting-expo-rtime		"[""meetings@ntca.org""]"		0
https://www.ntca.org/events-education/events/rural-telecom-industry-meeting-expo-rtime	Rural Telecom Industry Meeting + EXPO (RTIME)	2024-02-11	2024-02-14		RTIME is America’s largest annual rural telecommunications industry event that delivers a universal education on policy, technology, healthcare, agriculture, community growth and advocacy.		NTCA–The Rural Broadband Association is building a better broadband future for rural America. Proudly representing nearly 850 independent, family-owned and community-based telecommunications companies, NTCA’s members build and deliver broadband connectivity and operate essential services in rural and small-town communities across the U.S.	NTCA–The Rural Broadband Association	https://www.ntca.org/						Tampa, FL	Florida	February 11–14, 2024 Convention Center, Tampa, FL	https://www.ntca.org/events-education/events/rural-telecom-industry-meeting-expo-rtime	https://www.google.com/maps/place/Tampa+Convention+Center/@27.9411767,-82.4561034,15z/data=!4m2!3m1!1s0x0:0x904f36bf9ae72c3a?sa=X&ved=2ahUKEwijmIjJgub4AhUYNxoKHZ82A00Q_BJ6BAgXEAU	"[""meetings@ntca.org""]"		0
https://www.ntca.org/events-education/events/rural-telecom-industry-meeting-expo-rtime	Rural Telecom Industry Meeting + EXPO (RTIME)	2025-02-23	2025-02-26		RTIME is America’s largest annual rural telecommunications industry event that delivers a universal education on policy, technology, healthcare, agriculture, community growth and advocacy.		NTCA–The Rural Broadband Association is building a better broadband future for rural America. Proudly representing nearly 850 independent, family-owned and community-based telecommunications companies, NTCA’s members build and deliver broadband connectivity and operate essential services in rural and small-town communities across the U.S.	NTCA–The Rural Broadband Association	https://www.ntca.org/						San Antonio, TX	Texas	February 23–26, 2025 San Antonio Convention Center, San Antonio, TX	https://www.ntca.org/events-education/events/rural-telecom-industry-meeting-expo-rtime	https://www.google.com/maps/place/Henry+B.+Gonz%C3%A1lez+Convention+Center/@29.4208884,-98.485123,15z/data=!4m2!3m1!1s0x0:0x9adbeeaa9ace85f0?sa=X&ved=2ahUKEwi28NzVgub4AhUG4RoKHYaHB0MQ_BJ6BAgpEAU	"[""meetings@ntca.org""]"		0
https://www.ntca.org/events-education/events/rural-telecom-industry-meeting-expo-rtime	Rural Telecom Industry Meeting + EXPO (RTIME)	2026-02-01	2026-02-04		RTIME is America’s largest annual rural telecommunications industry event that delivers a universal education on policy, technology, healthcare, agriculture, community growth and advocacy.		NTCA–The Rural Broadband Association is building a better broadband future for rural America. Proudly representing nearly 850 independent, family-owned and community-based telecommunications companies, NTCA’s members build and deliver broadband connectivity and operate essential services in rural and small-town communities across the U.S.	NTCA–The Rural Broadband Association	https://www.ntca.org/						Orlando, FL	Florida	February 1–4, 2026 Walt Disney World Swan/Dolphin, Orlando, FL	https://www.ntca.org/events-education/events/rural-telecom-industry-meeting-expo-rtime		"[""meetings@ntca.org""]"		0
https://www.ntca.org/events-education/events/telecom-executive-forum	Telecom Executive Forum	2023-04-02	2023-04-04		Join other rural telecom CEOs and general managers for the annual Telecom Executive Forum to engage with each other and NTCA staff and plan to stay on March 23 to attend the free Retirement Readiness Seminar.		NTCA–The Rural Broadband Association is building a better broadband future for rural America. Proudly representing nearly 850 independent, family-owned and community-based telecommunications companies, NTCA’s members build and deliver broadband connectivity and operate essential services in rural and small-town communities across the U.S.	NTCA–The Rural Broadband Association	https://www.ntca.org/						St. Petersburg, FL	Florida	April 2–4, 2023 Vinoy Renaissance St. Petersburg Resort & Golf Club, St. Petersburg, FL	https://www.ntca.org/events-education/events/telecom-executive-forum	https://www.google.com/maps/place/The+Vinoy%C2%AE+Renaissance+St.+Petersburg+Resort+%26+Golf+Club/@27.779117,-82.6292839,15z/data=!4m2!3m1!1s0x0:0x44f056fae781c7ec?sa=X&ved=2ahUKEwjvhqf4gub4AhVYwIUKHf10CfkQ_BJ6BAg7EAU	"[""meetings@ntca.org""]"		0
https://www.ntca.org/events-education/events/telecom-executive-forum	Telecom Executive Forum	2024-03-10	2024-03-12		Join other rural telecom CEOs and general managers for the annual Telecom Executive Forum to engage with each other and NTCA staff and plan to stay on March 23 to attend the free Retirement Readiness Seminar.		NTCA–The Rural Broadband Association is building a better broadband future for rural America. Proudly representing nearly 850 independent, family-owned and community-based telecommunications companies, NTCA’s members build and deliver broadband connectivity and operate essential services in rural and small-town communities across the U.S.	NTCA–The Rural Broadband Association	https://www.ntca.org/						San Antonio Hill Country, TX	San Antonio, TX 78247	March 10–12, 2024 La Cantera Resort & Spa, San Antonio Hill Country, TX	https://www.ntca.org/events-education/events/telecom-executive-forum	https://www.google.com/maps/place/La+Cantera+Resort+%26+Spa/@29.6027244,-98.622439,15z/data=!4m2!3m1!1s0x0:0xb1e6687c008991dc?sa=X&ved=2ahUKEwi2n5aDg-b4AhUE-BoKHQevBcwQ_BJ6BAgjEAU	"[""meetings@ntca.org""]"		0
https://www.ntca.org/events-education/events/save-date-legislative-policy-conference	Legislative + Policy Conference	2023-04-16	2023-04-18		The Legislative + Policy Conference is NTCA’s premier advocacy meeting bringing members to Washington, DC to hear the latest federal telecom policy updates and to discuss key issues with policymakers.		NTCA–The Rural Broadband Association is building a better broadband future for rural America. Proudly representing nearly 850 independent, family-owned and community-based telecommunications companies, NTCA’s members build and deliver broadband connectivity and operate essential services in rural and small-town communities across the U.S.	NTCA–The Rural Broadband Association	https://www.ntca.org/						Washington, DC	District of Columbia	April 16–18, 2023 Hyatt Regency Washington on Capitol Hill, Washington, DC	https://www.ntca.org/events-education/events/save-date-legislative-policy-conference		"[""meetings@ntca.org""]"		0
https://www.ntca.org/events-education/events/save-date-legislative-policy-conference	Legislative + Policy Conference	2024-04-28	2024-04-30		The Legislative + Policy Conference is NTCA’s premier advocacy meeting bringing members to Washington, DC to hear the latest federal telecom policy updates and to discuss key issues with policymakers.		NTCA–The Rural Broadband Association is building a better broadband future for rural America. Proudly representing nearly 850 independent, family-owned and community-based telecommunications companies, NTCA’s members build and deliver broadband connectivity and operate essential services in rural and small-town communities across the U.S.	NTCA–The Rural Broadband Association	https://www.ntca.org/						Washington, DC	District of Columbia	April 28–30, 2024 Hyatt Regency Washington on Capitol Hill, Washington, DC	https://www.ntca.org/events-education/events/save-date-legislative-policy-conference	https://www.google.com/maps/place/Hyatt+Regency+Washington+On+Capitol+Hill/@38.8953279,-77.0114836,15z/data=!4m2!3m1!1s0x0:0xe97ff844edfba90a?sa=X&ved=2ahUKEwiKjducg-b4AhXVhM4BHRm0CdsQ_BJ6BAghEAU	"[""meetings@ntca.org""]"		0
https://www.ntca.org/events-education/events/save-date-legislative-policy-conference	Legislative + Policy Conference	2025-04-27	2025-04-29		The Legislative + Policy Conference is NTCA’s premier advocacy meeting bringing members to Washington, DC to hear the latest federal telecom policy updates and to discuss key issues with policymakers.		NTCA–The Rural Broadband Association is building a better broadband future for rural America. Proudly representing nearly 850 independent, family-owned and community-based telecommunications companies, NTCA’s members build and deliver broadband connectivity and operate essential services in rural and small-town communities across the U.S.	NTCA–The Rural Broadband Association	https://www.ntca.org/						Washington, DC	District of Columbia	April 27–29, 2025 Hyatt Regency Washington on Capitol Hill, Washington, DC	https://www.ntca.org/events-education/events/save-date-legislative-policy-conference		"[""meetings@ntca.org""]"		0
https://www.ntca.org/events-education/events/save-date-marketing-sales-conference	Marketing + Sales Conference	2023-04-30	2023-04-02		The annual Marketing + Sales Conference is the only conference of its kind, combining all aspects of marketing and sales for the rural broadband industry into one robust, high-value event.		NTCA–The Rural Broadband Association is building a better broadband future for rural America. Proudly representing nearly 850 independent, family-owned and community-based telecommunications companies, NTCA’s members build and deliver broadband connectivity and operate essential services in rural and small-town communities across the U.S.	NTCA–The Rural Broadband Association	https://www.ntca.org/						Austin, TX	Texas	 Hyatt Regency Austin, Austin, TX	https://www.ntca.org/events-education/events/save-date-marketing-sales-conference	https://www.google.com/maps/place/Hyatt+Regency+Austin/@30.2607308,-97.7471632,15z/data=!4m2!3m1!1s0x0:0x827e1b9c0ba012e3?sa=X&ved=2ahUKEwjky4u6g-b4AhUUgHMKHZQXCcYQ_BJ6BAhBEAU	"[""meetings@ntca.org""]"		0
