scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://www.ox.ac.uk/event/ali-kazim-suspended-time	Ali Kazim: Suspended in Time	2022-02-07	2022-06-26	"[{""type"": ""general"", ""Start_time"": ""10:00AM"", ""end_time"": ""05:00PM"", ""timezone"": """", ""days"": ""all""}]"	This exhibition is informed by the time Ali Kazim, one of the most exciting artists working in Pakistan today, spent in the Ashmolean.During a residency in 2019, Kazim spent days browsing through the Museum’s South Asian collection, examining several objects up close. Kazim’s engagement with the material and visual traditions encourages us to reflect on how the past informs and influences the present.Curated by Dr Mallica Kumbera Landrus, Keeper of the Department of Eastern Art and Senior Curator of Indian, Himalayan and Southeast Asian Art, in collaboration with the artist, the exhibition will feature Ashmolean objects alongside paintings, sculptures and installations by Kazim.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Oxford has a distinctive collegiate structure. Students and academics benefit from belonging both to the University, a large, internationally-renowned institution, and to a college or hall, a small, interdisciplinary academic community.	University of Oxford	https://www.ox.ac.uk/						Ashmolean Museum Beaumont Street	Oxford Oxford OX1 2PH	Ashmolean Museum Beaumont Street, Oxford Oxford OX1 2PH	https://www.ashmolean.org/event/ali-kazim	https://www.google.com/maps/place/Ashmolean+Museum/@51.755428,-1.2600725,15z/data=!4m2!3m1!1s0x0:0xe88ca2375e205743?sa=X&ved=2ahUKEwiK8f6Guqz4AhUogP0HHde7DqUQ_BJ6BAg3EAU			0
https://www.ox.ac.uk/event/carry-akroyd-found-fields	Carry Akroyd: Found in the Fields	2022-04-25	2022-06-22	"[{""type"": ""general"", ""Start_time"": ""10:00AM"", ""end_time"": ""07:00PM"", ""timezone"": """", ""days"": ""all""}]"	An exhibition of serigraphs and lithographs by Carry Akroyd relating to the poetry of John Clare.Open daily 10am-7pm subject to College commitments.Visitors are advised to telephone the College Lodge on (01865) 274100 before visiting, especially if travelling a distance.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Oxford has a distinctive collegiate structure. Students and academics benefit from belonging both to the University, a large, internationally-renowned institution, and to a college or hall, a small, interdisciplinary academic community.	University of Oxford	https://www.ox.ac.uk/						Oxford	UK	Wolfson College Linton Road Oxford OX2 6UD	https://www.wolfson.ox.ac.uk/wolfson-events	https://www.google.com/maps/place/Wolfson+College/@51.7710407,-1.2556339,15z/data=!4m5!3m4!1s0x0:0x4e39181df53da749!8m2!3d51.7710407!4d-1.2556339			0
https://www.ox.ac.uk/event/elsa-gomis-my-exile-yours	Elsa Gomis: My Exile is Yours	2022-04-29	2022-06-17	"[{""type"": ""general"", ""Start_time"": ""09:00AM"", ""end_time"": ""08:00PM"", ""timezone"": """", ""days"": ""all""}]"	Filmmaker Elsa Gomis’s work explores visual forms which challenge dominant representations of marginalized populations. Working at the crossroads of migrations studies and art, Gomis’s research focuses on all dimensions of exile, from the political to the personal. My Exile is Yours presents four films exploring this theme.Elsa Gomis is a filmmaker, Postdoctoral Research Assistant at the Oxford Department of Politics and International Relations, and Visiting Researcher at Maison Française, Oxford.Marble Hall, Wolfson College, Linton Road, Oxford, OX2 6UD free admission, open daily	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Oxford has a distinctive collegiate structure. Students and academics benefit from belonging both to the University, a large, internationally-renowned institution, and to a college or hall, a small, interdisciplinary academic community.	University of Oxford	https://www.ox.ac.uk/						Oxford	UK	Wolfson College Linton Road Oxford OX26 1US		https://www.google.com/maps/place/Wolfson+College/@51.7710407,-1.2556339,15z/data=!4m2!3m1!1s0x0:0x4e39181df53da749?sa=X&ved=2ahUKEwiS7fCpuqz4AhWAh_0HHbN1Dn8Q_BJ6BAg7EAU			0
https://www.ox.ac.uk/event/innovation-festival-begbroke-science-park-0	Innovation Festival - Begbroke Science Park	2022-06-14	2022-06-16		Begbroke Science Park, launchpad for some of Oxford’s best known research spinouts and home to several cutting-edge Mathematical, Physical and Life Sciences Division department labs, is hosting an Innovation Festival to celebrate its achievements and showcase environmental sustainability and innovation across the OxCam ARC region. Discover some of the transformative science and innovation happening right now, across Oxfordshire and the University, and learn about the radical new plans for the Park’s future development as an Innovation District, where more world-class research ideas will find a home. Could those ideas be yours? The Innovation Festival is a chance to meet and network with leading researchers and entrepreneurs, attend panel discussions and presentations, and find out more about the facilities and opportunities available at Begbroke.Breakfast networking, refreshments, snacks, lunch, ice-cream and drinks into the early evening.(Free Stagecoach S3/shuttle buses to and from the town centre for Oxford University staff and students.)The Oxford Cambridge ARC Region Day | University of OxfordThe Environmental Sustainability Day | University of Oxford The Oxford University Science Park and Innovation Day | University of Oxford	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Oxford has a distinctive collegiate structure. Students and academics benefit from belonging both to the University, a large, internationally-renowned institution, and to a college or hall, a small, interdisciplinary academic community.	University of Oxford	https://www.ox.ac.uk/						Begbroke	United Kingdom	Begbroke Science Park Begbroke Hill Woodstock Road Begbroke OX5 1PF	https://www.begbroke.ox.ac.uk/events/	https://www.google.com/maps/place/University+of+Oxford+Begbroke+Science+Park/@51.8180043,-1.3065388,15z/data=!4m5!3m4!1s0x0:0x48b7a437091f262!8m2!3d51.8180043!4d-1.3065388			0
https://www.ox.ac.uk/event/industrial-organization-international-trade-finance-during-first-globalization	The Industrial Organization of International Trade Finance during the First Globalization	2022-06-14	2022-06-14	"[{""type"": ""general"", ""Start_time"": ""05:00PM"", ""end_time"": ""07:00PM"", ""timezone"": """", ""days"": ""all""}]"	The Oxford Centre for Economic and Social History Research Seminar series for Trinity term is convened by Professor Catherine Schenk.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Oxford has a distinctive collegiate structure. Students and academics benefit from belonging both to the University, a large, internationally-renowned institution, and to a college or hall, a small, interdisciplinary academic community.	University of Oxford	https://www.ox.ac.uk/						1DY		St Hilda's College Vernon Harcourt Room Cowley Place Oxford OX4 1DY OX4 1DY	https://www.st-hildas.ox.ac.uk/content/industrial-organization-international-trade-finance-during-first-globalization	https://www.google.com/maps/place/St+Hilda's+College/@51.7487899,-1.2451297,15z/data=!4m2!3m1!1s0x0:0x34411838bc96ecc3?sa=X&ved=2ahUKEwipl8HPuqz4AhWC8rsIHXbWDl8Q_BJ6BAgdEAU			0
https://www.ox.ac.uk/event/oxford-cambridge-arc-region-day	The Oxford Cambridge ARC Region Day	2022-06-14	2022-06-14	"[{""type"": ""general"", ""Start_time"": ""09:30AM"", ""end_time"": ""06:30PM"", ""timezone"": """", ""days"": ""all""}]"	Innovation Festival - Begbroke Science Park | University of Oxford	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Oxford has a distinctive collegiate structure. Students and academics benefit from belonging both to the University, a large, internationally-renowned institution, and to a college or hall, a small, interdisciplinary academic community.	University of Oxford	https://www.ox.ac.uk/						Begbroke	United Kingdom	Begbroke Science Park Begbroke Hill Woodstock Road Begbroke OX5 1PF	https://www.begbroke.ox.ac.uk/events/	https://www.google.com/maps/place/University+of+Oxford+Begbroke+Science+Park/@51.8180043,-1.3065388,15z/data=!4m2!3m1!1s0x0:0x48b7a437091f262?sa=X&ved=2ahUKEwjiyKi8uqz4AhUClP0HHSHyBVAQ_BJ6BAgVEAU			0
https://www.ox.ac.uk/event/hope-healthcare	Hope in Healthcare	2022-06-14	2022-06-14	"[{""type"": ""general"", ""Start_time"": ""05:30PM"", ""end_time"": ""07:00PM"", ""timezone"": """", ""days"": ""all""}]"	This hybrid event is open to the public to join in-person or online via Zoom.Booking/registration is required, see webpage above for links.Abstract: It is widely supposed that it is important to imbue patients undergoing medical procedures with a sense of hope. But why is hope so important in healthcare, if indeed it is? We examine the answers that are currently on offer and show that none do enough to properly explain the importance that is often attributed to hope in healthcare. We then identify a hitherto unrecognised reason for supposing that it is important to imbue patients undergoing significant medical procedures with hope, which draws on prospect theory, Kahneman and Tversky’s hugely influential descriptive theory about decision making in situations of risk and uncertainty. We also consider some concerns about patient consent and the potential manipulation of patients, that are raised by our account. We then consider some complications for the account raised by religious sources of hope, which are commonly drawn on by patients undergoing major healthcare procedures.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Oxford has a distinctive collegiate structure. Students and academics benefit from belonging both to the University, a large, internationally-renowned institution, and to a college or hall, a small, interdisciplinary academic community.	University of Oxford	https://www.ox.ac.uk/						Faculty of Philosophy Radcliffe Humanities Building Radcliffe Observatory Quarter	Woodstock Road Oxford OX2 6GG	Faculty of Philosophy Radcliffe Humanities Building Radcliffe Observatory Quarter, Woodstock Road Oxford OX2 6GG	https://www.practicalethics.ox.ac.uk/event/hope-healthcare	https://www.google.com/maps/place/Faculty+of+Philosophy/@51.760162,-1.2624058,15z/data=!4m2!3m1!1s0x0:0xb5f182cdc8d9ce2a?sa=X&ved=2ahUKEwjQ07Lnuqz4AhX5if0HHVGUBA4Q_BJ6BAgjEAU			0
https://www.ox.ac.uk/event/innovation-festival-begbroke-science-park	Innovation Festival - Begbroke Science Park	2022-06-14	2022-06-16		Begbroke Science Park, launchpad for some of Oxford’s best known research spinouts and home to several cutting-edge Mathematical, Physical and Life Sciences Division department labs, is hosting an Innovation Festival to celebrate its achievements and showcase environmental sustainability and innovation across the OxCam ARC region. Discover some of the transformative science and innovation happening right now, across Oxfordshire and the University, and learn about the radical new plans for the Park’s future development as an Innovation District, where more world-class research ideas will find a home. Could those ideas be yours? The Innovation Festival is a chance to meet and network with leading researchers and entrepreneurs, attend panel discussions and presentations, and find out more about the facilities and opportunities available at Begbroke.Breakfast networking, refreshments, snacks, lunch, ice-cream and drinks into the early evening.(Free Stagecoach S3/shuttle buses to and from the town centre for Oxford University staff and students.)The Oxford Cambridge ARC Region Day | University of OxfordThe Environmental Sustainability Day | University of Oxford The Oxford University Science Park and Innovation Day | University of Oxford	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Oxford has a distinctive collegiate structure. Students and academics benefit from belonging both to the University, a large, internationally-renowned institution, and to a college or hall, a small, interdisciplinary academic community.	University of Oxford	https://www.ox.ac.uk/						Begbroke	United Kingdom	Begbroke Science Park Begbroke Hill Woodstock Road Begbroke OX5 1PF	https://www.begbroke.ox.ac.uk/events/	https://www.google.com/maps/place/University+of+Oxford+Begbroke+Science+Park/@51.8180043,-1.3065388,15z/data=!4m2!3m1!1s0x0:0x48b7a437091f262?sa=X&ved=2ahUKEwjiyKi8uqz4AhUClP0HHSHyBVAQ_BJ6BAgVEAU			0
https://www.ox.ac.uk/event/preparing-moral-life-mercy-and-world-church	Preparing for the Moral Life: Mercy and the World Church	2022-06-14	2022-06-14	"[{""type"": ""general"", ""Start_time"": ""05:30PM"", ""end_time"": ""06:45PM"", ""timezone"": """", ""days"": ""all""}]"	"The final lecture in The D'Arcy Lectures 2022 series exploring the theme ""Preparing for the Moral Life"".SYNOPSIS What type of Catholic Theological Ethics do we need to develop as the 21st century unfolds?Echoing the insight that the first lesson of life is to prepare for death, we investigate Grief to uncover the embodied, experiential claims of human connectedness. In that light, we investigate the rich philosophical contributions of Levinas, Butler, Honneth and Fraser on Vulnerability and Recognition.With these ontological, moral and theological claims, we explore the birth of Conscience as the acknowledgement of guilt, but through a theological anthropology that is constitutively social, looking at matters of collective responsibility and restoration. Jesus' proclamation of the Kingdom of God then becomes the pivot to hear the Call to Discipleship.The three remaining lectures address a connected and collective understanding of humanity in terms of the structures of Grace and Sin, the Virtues and the Beatitudes, and the works of Mercy throughout the World Church."	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Oxford has a distinctive collegiate structure. Students and academics benefit from belonging both to the University, a large, internationally-renowned institution, and to a college or hall, a small, interdisciplinary academic community.	University of Oxford	https://www.ox.ac.uk/									https://www.campion.ox.ac.uk/news/darcy-lectures-2022				1
https://www.ox.ac.uk/event/retrofitting-and-designing-healthy-built-environments	Retrofitting and designing healthy built environments	2022-06-15	2022-06-15	"[{""type"": ""general"", ""Start_time"": ""05:30PM"", ""end_time"": ""06:30PM"", ""timezone"": """", ""days"": ""all""}]"	The Global Centre on Healthcare and Urbanisation (GCHU) Public Seminar series brings together members of the public, researchers and practitioners interested and engaged in urban health issues. The principal aim of the series is to provoke debate and constructive action, linking current best practice in urban development with emerging areas of health research.We have invited four speakers to pitch their perspectives on the debates around how to create healthy cities.About the panellists:Professor Rajat Gupta, Professor of Sustainable Architecture and Climate Change at Oxford Brookes University.Dr Anna Ulrikke Andersen, Postdoctoral Researcher at the School of Anthropology and Museum Ethnography, part of the Disobedient Buildings project.Michael O’Connor, Oxfordshire County Councillor, BPhil Philosophy student and GCHU Intern.Dr Sydney Ayers Mercer, Tutor in Architecture and Urbanism, The Prince’s Foundation.This in-person event is free and open to all.Refreshments will be served from 17:00.The talk will begin at 17:30, followed by a drinks reception at 18:30.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Oxford has a distinctive collegiate structure. Students and academics benefit from belonging both to the University, a large, internationally-renowned institution, and to a college or hall, a small, interdisciplinary academic community.	University of Oxford	https://www.ox.ac.uk/						Oxford	UK	Kellogg College 62 Banbury Road Oxford OX2 6PN	https://www.gchu.org.uk/gchu-public-seminars/	https://www.google.com/maps/place/Kellogg+College/@51.7640327,-1.2602824,15z/data=!4m2!3m1!1s0x0:0xad00ce6216a89632?sa=X&ved=2ahUKEwjrpOyCu6z4AhUvlf0HHVRQD5cQ_BJ6BAgwEAU			0
