scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://www.accessmba.com/events/city/nairobi	Online One-to-One MBA Event	2022-10-26	2022-10-26	"[{""type"": ""general"", ""Start_time"": ""5:00PM"", ""end_time"": ""8:30PM"", ""timezone"": """", ""days"": ""all""}]"			Access MBA educates, matches and connects prospective MBA applicants for individual meetings with admissions directors of accredited and top-ranked business schools around the world. Join the highly personalised Access MBA One-to-One events online or onsite with strict Covid-19 safety measures ensured.	Access MBA	https://www.accessmba.com/			"[{""start_time"": ""5:00PM"", ""end_time"": ""5:30PM"", ""day"": ""2022-10-26"", ""desc"": """", ""title"": ""Alumni panel discussion""}, {""start_time"": ""5:00PM"", ""end_time"": ""5:30PM"", ""day"": ""2022-10-26"", ""desc"": """", ""title"": ""Online One-to-One meetings* with business schools""}]"			USA ONLINE (West coast)	USA ONLINE (West coast)	USA ONLINE (West coast)	https://www.accessmba.com/events/city/nairobi		"[""projectmanagers@accessmba.com""]"		0
https://www.accessmba.com/events/city/johannesburgh	One-to-One MBA Event for residents of the city	2022-08-25	2022-08-25	"[{""type"": ""general"", ""Start_time"": ""04:30PM"", ""end_time"": ""07:30PM"", ""timezone"": """", ""days"": ""all""}]"			Access MBA educates, matches and connects prospective MBA applicants for individual meetings with admissions directors of accredited and top-ranked business schools around the world. Join the highly personalised Access MBA One-to-One events online or onsite with strict Covid-19 safety measures ensured.	Access MBA	https://www.accessmba.com/			"[{""start_time"": ""04:30PM"", ""end_time"": """", ""day"": ""2022-08-25"", ""desc"": """", ""title"": ""Opening of welcome desk""}, {""start_time"": ""04:30PM"", ""end_time"": """", ""day"": ""2022-08-25"", ""desc"": """", ""title"": ""One-to-One meetings* with business schools""}, {""start_time"": ""07:05PM"", ""end_time"": ""07:05PM"", ""day"": ""2022-08-25"", ""desc"": """", ""title"": ""Panel discussion by Rotterdam School of Management, Erasmus University, Maastricht School of Management, Manchester Business School""}]"			JOHANNESBURGH	South Africa	Rivonia Rd & West St Sandton Benmore, 2196	https://www.accessmba.com/events/city/johannesburgh	https://www.google.com/maps/place/Rivonia+Rd,+Sandton,+South+Africa/@-26.0799224,28.0626863,17z/data=!3m1!4b1!4m5!3m4!1s0x1e95731acebd6667:0xad882a33c716f77!8m2!3d-26.0799224!4d28.0626863	"[""projectmanagers@accessmba.com""]"		0
https://www.accessmba.com/events/city/cape-town	One-to-One MBA Event	2022-08-27	2022-08-27	"[{""type"": ""general"", ""Start_time"": ""10:00AM"", ""end_time"": ""01:50PM"", ""timezone"": """", ""days"": ""all""}]"			Access MBA educates, matches and connects prospective MBA applicants for individual meetings with admissions directors of accredited and top-ranked business schools around the world. Join the highly personalised Access MBA One-to-One events online or onsite with strict Covid-19 safety measures ensured.	Access MBA	https://www.accessmba.com/			"[{""start_time"": ""10:00AM"", ""end_time"": """", ""day"": ""2022-08-27"", ""desc"": """", ""title"": ""Opening of welcome desk""}, {""start_time"": ""10:00AM"", ""end_time"": """", ""day"": ""2022-08-27"", ""desc"": """", ""title"": ""One-to-One meetings* with business schools""}, {""start_time"": ""01:25PM"", ""end_time"": ""01:25PM"", ""day"": ""2022-08-27"", ""desc"": """", ""title"": ""Panel discussion by Rotterdam School of Management, Erasmus University, Maastricht School of Management, Manchester Business School""}]"			CAPE TOWN	South Africa	Quay, 6 W Quay Rd, Victoria & Alfred Waterfront, Cape Town, 8001	https://www.accessmba.com/events/city/cape-town		"[""projectmanagers@accessmba.com""]"		0
https://www.accessmba.com/events/city/lagos	One-to-One MBA Event	2022-08-27	2022-08-27	"[{""type"": ""general"", ""Start_time"": ""10:00AM"", ""end_time"": ""01:50PM"", ""timezone"": """", ""days"": ""all""}]"			Access MBA educates, matches and connects prospective MBA applicants for individual meetings with admissions directors of accredited and top-ranked business schools around the world. Join the highly personalised Access MBA One-to-One events online or onsite with strict Covid-19 safety measures ensured.	Access MBA	https://www.accessmba.com/			"[{""start_time"": ""10:00AM"", ""end_time"": """", ""day"": ""2022-08-27"", ""desc"": """", ""title"": ""Opening of welcome desk""}, {""start_time"": ""10:00AM"", ""end_time"": """", ""day"": ""2022-08-27"", ""desc"": """", ""title"": ""One-to-One meetings* with business schools""}, {""start_time"": ""01:25PM"", ""end_time"": ""01:25PM"", ""day"": ""2022-08-27"", ""desc"": """", ""title"": ""Panel discussion by Rotterdam School of Management, Erasmus University, Maastricht School of Management, Manchester Business School""}]"			CAPE TOWN	South Africa	Quay, 6 W Quay Rd, Victoria & Alfred Waterfront, Cape Town, 8001	https://www.accessmba.com/events/city/lagos	https://www.google.com/maps/place/The+Table+Bay+hotel/@-33.9028648,18.4221961,15z/data=!4m8!3m7!1s0x0:0xe24f6ba1ad1f0dfd!5m2!4m1!1i2!8m2!3d-33.9028648!4d18.4221961	"[""projectmanagers@accessmba.com""]"		0
https://www.accessmba.com/events/city/accra	One-to-One MBA Event	2022-08-27	2022-08-27	"[{""type"": ""general"", ""Start_time"": ""10:00AM"", ""end_time"": ""01:50PM"", ""timezone"": """", ""days"": ""all""}]"			Access MBA educates, matches and connects prospective MBA applicants for individual meetings with admissions directors of accredited and top-ranked business schools around the world. Join the highly personalised Access MBA One-to-One events online or onsite with strict Covid-19 safety measures ensured.	Access MBA	https://www.accessmba.com/			"[{""start_time"": ""10:00AM"", ""end_time"": """", ""day"": ""2022-08-27"", ""desc"": """", ""title"": ""Opening of welcome desk""}, {""start_time"": ""10:00AM"", ""end_time"": """", ""day"": ""2022-08-27"", ""desc"": """", ""title"": ""One-to-One meetings* with business schools""}, {""start_time"": ""01:25PM"", ""end_time"": ""01:25PM"", ""day"": ""2022-08-27"", ""desc"": """", ""title"": ""Panel discussion by Rotterdam School of Management, Erasmus University, Maastricht School of Management, Manchester Business School""}]"			CAPE TOWN	South Africa	Quay, 6 W Quay Rd, Victoria & Alfred Waterfront, Cape Town, 8001	https://www.accessmba.com/events/city/accra	https://www.google.com/maps/place/The+Table+Bay+hotel/@-33.9028648,18.4221961,15z/data=!4m8!3m7!1s0x0:0xe24f6ba1ad1f0dfd!5m2!4m1!1i2!8m2!3d-33.9028648!4d18.4221961	"[""projectmanagers@accessmba.com""]"		0
https://www.accessmba.com/events/city/casablanca	One-to-One MBA Event	2022-09-04	2022-09-04	"[{""type"": ""general"", ""Start_time"": ""10:00AM"", ""end_time"": ""03:10PM"", ""timezone"": """", ""days"": ""all""}]"			Access MBA educates, matches and connects prospective MBA applicants for individual meetings with admissions directors of accredited and top-ranked business schools around the world. Join the highly personalised Access MBA One-to-One events online or onsite with strict Covid-19 safety measures ensured.	Access MBA	https://www.accessmba.com/			"[{""start_time"": ""10:00AM"", ""end_time"": """", ""day"": ""2022-09-04"", ""desc"": """", ""title"": ""Opening of welcome desk""}, {""start_time"": ""10:00AM"", ""end_time"": """", ""day"": ""2022-09-04"", ""desc"": """", ""title"": ""One-to-One meetings* with business schools""}]"			CASABLANCA	Morocco	Rue Sidi Belyout, Casablanca 20000	https://www.accessmba.com/events/city/casablanca		"[""projectmanagers@accessmba.com""]"		0
https://www.accessmba.com/events/city/africa	MBA Online Event for residents of Africa	2022-09-27	2022-09-27	"[{""type"": ""general"", ""Start_time"": ""04:30PM"", ""end_time"": ""08:40PM"", ""timezone"": """", ""days"": ""all""}]"			Access MBA educates, matches and connects prospective MBA applicants for individual meetings with admissions directors of accredited and top-ranked business schools around the world. Join the highly personalised Access MBA One-to-One events online or onsite with strict Covid-19 safety measures ensured.	Access MBA	https://www.accessmba.com/			"[{""start_time"": ""04:30PM"", ""end_time"": """", ""day"": ""2022-09-27"", ""desc"": """", ""title"": ""Opening of welcome desk""}, {""start_time"": ""04:30PM"", ""end_time"": """", ""day"": ""2022-09-27"", ""desc"": """", ""title"": ""One-to-One meetings* with business schools""}]"						https://www.accessmba.com/events/city/africa		"[""projectmanagers@accessmba.com""]"		1
https://www.accessmba.com/events/city/new-delhi	One-to-One MBA Event for residents of the city	2022-09-10	2022-09-10	"[{""type"": ""general"", ""Start_time"": ""10:00AM"", ""end_time"": ""03:10PM"", ""timezone"": """", ""days"": ""all""}]"			Access MBA educates, matches and connects prospective MBA applicants for individual meetings with admissions directors of accredited and top-ranked business schools around the world. Join the highly personalised Access MBA One-to-One events online or onsite with strict Covid-19 safety measures ensured.	Access MBA	https://www.accessmba.com/			"[{""start_time"": ""10:00AM"", ""end_time"": """", ""day"": ""2022-09-10"", ""desc"": """", ""title"": ""Opening of welcome desk""}, {""start_time"": ""10:00AM"", ""end_time"": """", ""day"": ""2022-09-10"", ""desc"": """", ""title"": ""One-to-One meetings* with business schools""}]"			NEW DELHI	India	Windsor Place, New Delhi, Delhi 110001, India	https://www.accessmba.com/events/city/new-delhi	https://www.google.com/maps/place/Windsor+Pl,+New+Delhi,+Delhi+110001,+India/data=!4m2!3m1!1s0x390ce2ca68095227:0x3bbeec55a89b1766?sa=X&ved=2ahUKEwiqrvHg7-f4AhWa4oUKHcl3BsMQ8gF6BAgVEAE	"[""projectmanagers@accessmba.com""]"		0
https://www.accessmba.com/events/city/bangalore	One-to-One MBA Event for residents of the city	2022-09-13	2022-09-13	"[{""type"": ""general"", ""Start_time"": ""04:30PM"", ""end_time"": ""09:10PM"", ""timezone"": """", ""days"": ""all""}]"			Access MBA educates, matches and connects prospective MBA applicants for individual meetings with admissions directors of accredited and top-ranked business schools around the world. Join the highly personalised Access MBA One-to-One events online or onsite with strict Covid-19 safety measures ensured.	Access MBA	https://www.accessmba.com/			"[{""start_time"": ""04:30PM"", ""end_time"": """", ""day"": ""2022-09-13"", ""desc"": """", ""title"": ""Opening of welcome desk""}, {""start_time"": ""04:30PM"", ""end_time"": """", ""day"": ""2022-09-13"", ""desc"": """", ""title"": ""One-to-One meetings* with business schools""}]"			BANGALORE	India	Address: 41/3, MG Road, Bengaluru, Karnataka 560001, India	https://www.accessmba.com/events/city/bangalore	https://www.google.com/maps/place/41%2F3,+Mahatma+Gandhi+Rd,+Yellappa+Garden,+Yellappa+Chetty+Layout,+Sampangi+Rama+Nagar,+Bengaluru,+Karnataka+560001,+India/@12.97326,77.619667,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae169cb1ec978f:0xc61deee5a938d667!8m2!3d12.97326!4d77.619667	"[""projectmanagers@accessmba.com""]"		0
https://www.accessmba.com/events/city/mumbai	One-to-One MBA Event for residents of the city	2022-09-17	2022-09-17	"[{""type"": ""general"", ""Start_time"": ""10:00AM"", ""end_time"": ""03:10PM"", ""timezone"": """", ""days"": ""all""}]"			Access MBA educates, matches and connects prospective MBA applicants for individual meetings with admissions directors of accredited and top-ranked business schools around the world. Join the highly personalised Access MBA One-to-One events online or onsite with strict Covid-19 safety measures ensured.	Access MBA	https://www.accessmba.com/			"[{""start_time"": ""10:00AM"", ""end_time"": """", ""day"": ""2022-09-17"", ""desc"": """", ""title"": ""Opening of welcome desk""}, {""start_time"": ""10:00AM"", ""end_time"": """", ""day"": ""2022-09-17"", ""desc"": """", ""title"": ""One-to-One meetings* with business schools""}]"			MUMBAI	India	462, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013, India	https://www.accessmba.com/events/city/mumbai	https://www.google.com/maps/place/462,+Senapati+Bapat+Marg,+Lower+Parel,+Mumbai,+Maharashtra+400013,+India/@18.9940532,72.8241298,17z/data=!3m1!4b1!4m5!3m4!1s0x3be7ce8c707d272f:0x2b20cd2c4a66d8b4!8m2!3d18.9940532!4d72.8241298	"[""projectmanagers@accessmba.com""]"		0
