scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://forumevents.co.uk/events/building-construction-summit/	Building & Construction Summit	2023-03-20	2023-03-20		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Hilton London Canary Wharf		Hilton London Canary Wharf	https://forumevents.co.uk/events/building-construction-summit/	https://www.google.com/maps/place/Hilton+London+Canary+Wharf/@51.5009232,-0.0197283,15z/data=!4m2!3m1!1s0x0:0xab02770094382c7f?sa=X&ved=2ahUKEwipo-nj-eL4AhW1VfEDHX5NCuwQ_BJ6BAghEAU	"[""enquiries@forumevents.co.uk""]"		0
https://forumevents.co.uk/events/care-forum/	The Care Forum	2023-06-05	2023-06-06		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Northamptonshire	United Kingdom	Whittlebury Park, Northamptonshire	https://forumevents.co.uk/events/care-forum/	https://www.google.com/maps/place/Whittlebury+Park+Golf+Course/@52.0789593,-0.9970454,15z/data=!4m5!3m4!1s0x0:0xe25bfdcf76e0bd76!8m2!3d52.0789593!4d-0.9970454	"[""enquiries@forumevents.co.uk""]"		0
https://forumevents.co.uk/events/call-centre-customer-services-summit/	Contact Centre Summit - Live	2023-04-24	2023-04-25		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Radisson Hotel & Conference Centre London Heathrow		Radisson Hotel & Conference Centre London Heathrow	https://forumevents.co.uk/events/call-centre-customer-services-summit/		"[""enquiries@forumevents.co.uk""]"		0
https://forumevents.co.uk/events/digital-customer-engagement-summit/	Digital Customer Engagement Summit	2022-10-20	2022-10-20		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Hilton London Canary Wharf		Hilton London Canary Wharf	https://forumevents.co.uk/events/digital-customer-engagement-summit/	https://www.google.com/maps/place/Hilton+London+Canary+Wharf/@51.5009232,-0.0197283,15z/data=!4m2!3m1!1s0x0:0xab02770094382c7f?sa=X&ved=2ahUKEwjE4Oyc-uL4AhWbR_EDHT3NCzQQ_BJ6BAgbEAU	"[""enquiries@forumevents.co.uk""]"		0
https://forumevents.co.uk/events/internet-marketing-summit/	Digital Marketing Solutions Summit	2023-05-11	2023-05-11		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Hilton London Canary Wharf		Hilton London Canary Wharf	https://forumevents.co.uk/events/internet-marketing-summit/	https://www.google.com/maps/place/Hilton+London+Canary+Wharf/@51.5009232,-0.0197283,15z/data=!4m2!3m1!1s0x0:0xab02770094382c7f?sa=X&ved=2ahUKEwic2uGr-uL4AhXBQ_EDHcX8A_4Q_BJ6BAgiEAU	"[""enquiries@forumevents.co.uk""]"		0
https://forumevents.co.uk/events/education-forum/	Education Forum	2022-11-14	2022-11-15		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Northamptonshire	United Kingdom	Whittlebury Park, Northamptonshire	https://forumevents.co.uk/events/education-forum/	https://www.google.com/maps/place/Whittlebury+Park+Golf+Course/@52.0789593,-0.9970454,15z/data=!4m2!3m1!1s0x0:0xe25bfdcf76e0bd76?sa=X&ved=2ahUKEwjSq4_1-eL4AhXySvEDHRCIC88Q_BJ6BAgwEAU	"[""enquiries@forumevents.co.uk""]"		0
https://forumevents.co.uk/events/education-tech-forum/	Education Technology Forum	2022-11-14	2022-11-15		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Northampton	UK	Whittlebury Park, Northampton	https://forumevents.co.uk/events/education-tech-forum/	https://www.google.com/maps/place/Whittlebury+Park+Golf+Course/@52.0789593,-0.9970454,15z/data=!4m2!3m1!1s0x0:0xe25bfdcf76e0bd76?sa=X&ved=2ahUKEwi5g_zF-uL4AhU5QvEDHWAfA0kQ_BJ6BAgxEAU	"[""enquiries@forumevents.co.uk""]"		0
https://forumevents.co.uk/events/employee-benefits-rewards-forum/	Employee Benefits & Rewards Forum	2022-11-10	2022-11-10		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Hilton London Canary Wharf		Hilton London Canary Wharf	https://forumevents.co.uk/events/employee-benefits-rewards-forum/	https://www.google.com/maps/place/Hilton+London+Canary+Wharf/@51.5009232,-0.0197283,15z/data=!4m2!3m1!1s0x0:0xab02770094382c7f?sa=X&ved=2ahUKEwishM7U-uL4AhVFXvEDHa9yB0EQ_BJ6BAgjEAU	"[""enquiries@forumevents.co.uk""]"		0
https://forumevents.co.uk/events/energy-management-summit/	Energy Management Summit	2022-10-11	2022-10-12		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Radisson Blu Hotel London Stansted		Radisson Blu Hotel London Stansted	https://forumevents.co.uk/events/energy-management-summit/	https://www.google.com/maps/place/Radisson+Blu+Hotel+London+Stansted+Airport/@51.8921739,0.2641186,15z/data=!4m2!3m1!1s0x0:0x5a5a38d3dfe5c838?sa=X&ved=2ahUKEwi7jvjj-uL4AhWHXfEDHTmZAPUQ_BJ6BAgoEAU	"[""enquiries@forumevents.co.uk""]"		0
https://forumevents.co.uk/events/etailing-summit/	eTailing Summit	2023-02-07	2023-02-07		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Hilton London Canary Wharf		Hilton London Canary Wharf	https://forumevents.co.uk/events/etailing-summit/	https://www.google.com/maps/place/Hilton+London+Canary+Wharf/@51.5009232,-0.0197283,15z/data=!4m2!3m1!1s0x0:0xab02770094382c7f?sa=X&ved=2ahUKEwie2LHx-uL4AhVTXfEDHc0OD7sQ_BJ6BAglEAU	"[""enquiries@forumevents.co.uk""]"		0
https://forumevents.co.uk/events/event-agency-forum/	Event Agency Forum	2022-09-08	2022-09-08		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Hilton London Canary Wharf		Hilton London Canary Wharf	https://forumevents.co.uk/events/event-agency-forum/		"[""enquiries@forumevents.co.uk""]"		0
https://forumevents.co.uk/events/event-organisers-summit/	Event Organisers Summit	2022-10-17	2022-10-18		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Radisson Hotel & Conference Centre London Heathrow		Radisson Hotel & Conference Centre London Heathrow	https://forumevents.co.uk/events/event-organisers-summit/		"[""enquiries@forumevents.co.uk""]"		0
https://forumevents.co.uk/events/event-technology-forum/	Event Technology Forum	2022-10-17	2022-10-17		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Radisson Hotel & Conference Centre London Heathrow		Radisson Hotel & Conference Centre London Heathrow	https://forumevents.co.uk/events/event-technology-forum/		"[""enquiries@forumevents.co.uk""]"		0
https://forumevents.co.uk/events/facilities-management/	Facilities Management Forum	2022-10-17	2022-10-17		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/									https://forumevents.co.uk/events/facilities-management/		"[""enquiries@forumevents.co.uk""]"		1
https://forumevents.co.uk/events/fleet-services-management/	Fleet Summit	2023-06-12	2023-06-13		"<h6 class=""grve-title grve-dark""></h6>"		The Forum Experience connects the corporate business world through multiple sectors, with the vision of generating lasting business relationships via a series of pre-arranged meetings.	The Forum Experience	https://forumevents.co.uk/						Northamptonshire.		Whittlebury Park, Northamptonshire.	https://forumevents.co.uk/events/fleet-services-management/		"[""enquiries@forumevents.co.uk""]"		0
