scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
	TC130 Meeting	2022-04-16	2022-04-20				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Berlin	Germany	Berlin, Germany			"[""chawkins@aptech.org""]"		0
http://www.npes.org/programs/standardsworkroom/upcomingevents/isotc130wg5frankfurt.aspx	TC130 Meeting	2022-04-24	2022-04-26				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Frankfurt	Germany	Frankfurt, Germany	http://www.npes.org/programs/standardsworkroom/upcomingevents/isotc130wg5frankfurt.aspx		"[""chawkins@aptech.org""]"		0
http://www.npes.org/programs/internationaltradeprograms/trademissions/2018trademissiontothailand.aspx	Trade Mission and Print Innovation Asia Conference	2022-05-02	2022-05-03				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Bangkok	Thailand	Bangkok, Thailand	http://www.npes.org/programs/internationaltradeprograms/trademissions/2018trademissiontothailand.aspx		"[""chawkins@aptech.org""]"		0
	PRINT4ALL	2022-05-29	2022-06-01				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Milan	Italy	Milan, Italy		https://www.google.com/maps/place/Milan,+Metropolitan+City+of+Milan,+Italy/data=!4m2!3m1!1s0x4786c1493f1275e7:0x3cffcd13c6740e8d?sa=X&ved=2ahUKEwitgebU5ej4AhUWhM4BHUP6Bx0Q8gF6BAg9EAE	"[""chawkins@aptech.org""]"		0
	ICC Meeting	2022-05-30	2022-05-31				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Grand Rapids	Michigan	Grand Rapids, Michigan		https://www.google.com/maps/place/Grand+Rapids,+MI,+USA/data=!4m2!3m1!1s0x88185460bb502815:0xa593aacb1bd3a8d0?sa=X&ved=2ahUKEwjL2sfa5ej4AhXSwYUKHYyfAo8Q8gF6BAg3EAE	"[""chawkins@aptech.org""]"		0
http://www.npes.org/programs/governmentaffairs/2018printpackaginglegislativesummit.aspx	2018 Print & Packaging Legislative Summit	2022-06-19	2022-06-20				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Washington	D.C.	Washington, D.C.	http://www.npes.org/programs/governmentaffairs/2018printpackaginglegislativesummit.aspx	https://www.google.com/maps/place/Washington,+DC,+USA/data=!4m2!3m1!1s0x89b7c6de5af6e45b:0xc2524522d4885d2a?sa=X&ved=2ahUKEwjy-ePf5ej4AhWigM4BHYboALQQ8gF6BAg0EAE	"[""chawkins@aptech.org""]"		0
	PRIMIR Insights Conference	2022-07-18	2022-07-20				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						San Francisco	California	San Francisco, California		https://www.google.com/maps/place/San+Francisco,+CA,+USA/data=!4m2!3m1!1s0x80859a6d00690021:0x4a501367f076adff?sa=X&ved=2ahUKEwjrzOPl5ej4AhVD2xoKHUDcApwQ8gF6BAg5EAE	"[""chawkins@aptech.org""]"		0
	IGAS	2022-07-26	2022-07-31				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Tokyo	Japan	Tokyo, Japan		https://www.google.com/maps/place/Tokyo,+Japan/data=!4m2!3m1!1s0x605d1b87f02e57e7:0x2e01618b22571b89?sa=X&ved=2ahUKEwjJ15Xs5ej4AhXyhM4BHaCHBLcQ8gF6BAg7EAE	"[""chawkins@aptech.org""]"		0
	CGATS/USTAG/PPC Meeting	2022-09-11	2022-09-13				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Chicago	Illinois	Chicago, Illinois		https://www.google.com/maps/place/Chicago,+IL,+USA/data=!4m2!3m1!1s0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000?sa=X&ved=2ahUKEwiS6vfx5ej4AhUQxhoKHbfICw0Q8gF6BAg6EAE	"[""chawkins@aptech.org""]"		0
	PrintPack Conference and IndoPrint	2022-09-19	2022-09-22				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Jakarta	Indonesia	Jakarta, Indonesia		https://www.google.com/maps/place/Jakarta,+Indonesia/@-6.2297465,106.829518,11z/data=!3m1!4b1!4m5!3m4!1s0x2e69f3e945e34b9d:0x5371bf0fdad786a2!8m2!3d-6.2087634!4d106.845599	"[""chawkins@aptech.org""]"		0
http://www.printevent.com	PRINT® 18	2022-09-30	2022-10-02				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Chicago	Illinois	Chicago, Illinois	http://www.printevent.com	https://www.google.com/maps/place/Chicago,+IL,+USA/data=!4m2!3m1!1s0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000?sa=X&ved=2ahUKEwiS6vfx5ej4AhUQxhoKHbfICw0Q8gF6BAg6EAE	"[""chawkins@aptech.org""]"		0
	TC130 Meeting	2022-10-14	2022-10-19				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Tokyo	Japan	Tokyo, Japan		https://www.google.com/maps/place/Tokyo,+Japan/data=!4m2!3m1!1s0x605d1b87f02e57e7:0x2e01618b22571b89?sa=X&ved=2ahUKEwjJ15Xs5ej4AhXyhM4BHaCHBLcQ8gF6BAg7EAE	"[""chawkins@aptech.org""]"		0
	ICC Color Experts Day	2022-10-22	2022-10-22				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Hong Kong	香港	Hong Kong		https://www.google.com/maps/place/Hong+Kong/data=!4m2!3m1!1s0x3403e2eda332980f:0xf08ab3badbeac97c?sa=X&ved=2ahUKEwj8qrSI5uj4AhUngM4BHS3AAJsQ8gF6BAgvEAE	"[""chawkins@aptech.org""]"		0
	ICC Meeting	2022-10-24	2022-10-25				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Tokyo	Japan	Tokyo, Japan		https://www.google.com/maps/place/Tokyo,+Japan/data=!4m2!3m1!1s0x605d1b87f02e57e7:0x2e01618b22571b89?sa=X&ved=2ahUKEwjJ15Xs5ej4AhXyhM4BHaCHBLcQ8gF6BAg7EAE	"[""chawkins@aptech.org""]"		0
	All in Print China	2022-10-24	2022-10-28				The Association for Print Technologies (APTech℠) (formerly known as NPES), is a purpose-driven organization dedicated to supporting the entire commercial printing value chain. We believe in helping our members maximize alignment with their value chain partners to be more effective and competitive.	Association for Print Technologies	http://www.npes.org/						Shanghai	China	Shanghai, China		https://www.google.com/maps/place/Shanghai,+China/data=!4m2!3m1!1s0x35b27040b1f53c33:0x295129423c364a1?sa=X&ved=2ahUKEwiKuu-X5uj4AhXozIUKHWP3AJMQ8gF6BAguEAE	"[""chawkins@aptech.org""]"		0
