scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://www.soci.org/events/hq-events/2022/agrifood-science-in-a-time-of-climate-change	Agrifood science in a time of climate change	2022-04-27	2022-04-27		During this talk, Professor Graham Moore will draw on his own research and that of colleagues at the John Innes Centre, with the focus on prospects for sustainable and eco-friendly crop production in the coming decades. 	"{""type"": ""free"", ""price"": """", ""currency"": """"}"		SCI	https://www.soci.org/			"[{""start_time"": ""18.00"", ""end_time"": ""18.30"", ""day"": ""2022-04-27"", ""desc"": """", ""title"": ""Registration and refreshments""}, {""start_time"": ""18.30"", ""end_time"": ""18.40"", ""day"": ""2022-04-27"", ""desc"": """", ""title"": ""Welcome and introduction - Martin Collison, Collison & Associates Ltd, Chair""}, {""start_time"": ""18.40"", ""end_time"": ""19.25"", ""day"": ""2022-04-27"", ""desc"": """", ""title"": ""Agrifood science in a time of climate change, \n    Professor Graham Moore, , John Innes Centre""}, {""start_time"": ""19.25"", ""end_time"": ""19.45"", ""day"": ""2022-04-27"", ""desc"": """", ""title"": ""Q&A""}, {""start_time"": ""19.45"", ""end_time"": """", ""day"": ""2022-04-27"", ""desc"": """", ""title"": ""Networking reception""}]"						https://www.soci.org/events/hq-events/2022/agrifood-science-in-a-time-of-climate-change		"""conferences@soci.org"""		0
https://www.soci.org/events/canada-group/2022/sci-canada-awards-2022	SCI Canada Awards	2022-05-05	2022-05-05		On Thursday May 5 2022 SCI is holding the annual Canada Awards Dinner. This event brings together key members of the chemical and industrial community to celebrate the achievements of both the SCI Canada Award Winners and Student Merit Award Winners.			SCI Canada 	https://www.soci.org/interest-groups/canada			"[{""start_time"": ""15:30"", ""end_time"": ""16:00"", ""day"": ""2022-05-05"", ""desc"": """", ""title"": ""Registration and refreshments, 12th floor Roof Garden""}, {""start_time"": ""16:00"", ""end_time"": ""16:05"", ""day"": ""2022-05-05"", ""desc"": """", ""title"": ""Introduction to the SCI Canada Awards and the role of the Nominations, Bob Masterson, Chair, SCI Canada (Online event commences)""}, {""start_time"": ""16:05"", ""end_time"": ""16:10"", ""day"": ""2022-05-05"", ""desc"": """", ""title"": ""Welcome & Introduction, Sharon Todd, CEO, SCI""}, {""start_time"": ""16:10"", ""end_time"": ""17:00"", ""day"": ""2022-05-05"", ""desc"": """", ""title"": ""Panel discussion: 'Sustainability in a Low Carbon Economy', Prof Karim Zaghib (Kalev Pugi Award winner), Dr. Ken Schmidt (Outreach award winner), Bob Magee (Canada Medal recipient) and student award winner, Grace Belzil (Bishop\u2019s University).""}, {""start_time"": ""17:00"", ""end_time"": ""17:30"", ""day"": ""2022-05-05"", ""desc"": """", ""title"": ""Audience Q&A""}, {""start_time"": ""17:30"", ""end_time"": """", ""day"": ""2022-05-05"", ""desc"": """", ""title"": ""Closing remarks, Bob Masterson, Chair, SCI Canada ""}]"						https://www.soci.org/events/canada-group/2022/sci-canada-awards-2022		"""conferences@soci.org"""		0
https://www.soci.org/events/engineering-biology/2022/engineering-biology--applications-for-chemistryusing-business	Engineering Biology – applications for chemistry-using business	2022-05-23	2022-05-23		“Engineering biology is the application of rigorous engineering principles to the design of biological systems, with the objective of contributing to economic activity and sustainable and resource-efficient solutions to the societal challenges faced in food, chemicals, materials, water, energy, health and environmental protection.”	"{""type"": ""paid"", ""price"": ""15.00"", ""currency"": ""\u00a3""}"		SCI's Engineering Biology group	https://www.soci.org/			"[{""start_time"": ""09:45"", ""end_time"": ""10:30"", ""day"": ""2022-05-23"", ""desc"": """", ""title"": ""Registration and refreshments""}, {""start_time"": ""10:30"", ""end_time"": """", ""day"": ""2022-05-23"", ""desc"": """", ""title"": ""Welcome and introduction,  Ian Shott, Shott Trinova""}]"						https://www.soci.org/events/engineering-biology/2022/engineering-biology--applications-for-chemistryusing-business		"""conferences@soci.org"""		0
https://www.soci.org/events/hq-events/2022/the-beauty-of-chemistry	The Beauty of Chemistry	2022-05-25	2022-05-25		Scientists often talk informally of “beauty” in ideas, experiments and theories - but what do they mean by it? 	"{""type"": ""free"", ""price"": """", ""currency"": """"}"		SCI	https://www.soci.org/			"[{""start_time"": ""18:00"", ""end_time"": ""18:30"", ""day"": ""2022-05-25"", ""desc"": """", ""title"": ""Registration and refreshments""}, {""start_time"": ""18:30"", ""end_time"": ""18:40"", ""day"": ""2022-05-25"", ""desc"": """", ""title"": ""Welcome and introduction""}, {""start_time"": ""18:40"", ""end_time"": ""19:25"", ""day"": ""2022-05-25"", ""desc"": """", ""title"": ""The Beauty of Chemistry, Philip Ball""}, {""start_time"": ""19:25"", ""end_time"": ""19:45"", ""day"": ""2022-05-25"", ""desc"": """", ""title"": ""Q&A""}, {""start_time"": ""19:45"", ""end_time"": """", ""day"": ""2022-05-25"", ""desc"": """", ""title"": ""Networking reception""}]"						https://www.soci.org/events/hq-events/2022/the-beauty-of-chemistry		"""conferences@soci.org"""	"[""Philip Ball""]"	0
https://www.soci.org/events/lipids-group/2022/palm-oil-and-our-future-world	Palm oil and our future world	2022-06-15	2022-06-15		Palm oil (and its fractions) is simultaneously one of the world’s most popular and unpopular agricultural crops. Popular, as it is an ingredient in countless food and personal care products, due to its versatility and low cost. It is also used increasingly as a source of biofuel. Unpopular, as the huge growth in the use of palm oil combined with the need for hot and wet growing conditions has resulted in oil palm plantations displacing millions of hectares of tropical rainforest, with an environmental cost in terms of loss of habitats and biodiversity, and release of CO2. Various initiatives have been devised to mitigate this including from the Roundtable on Sustainable Palm Oil, the recent pledges to reduce deforestation at COP26, and the substitution of palm oil by other oils. However, how effective are these initiatives, to what extent is substitution feasible, and how sustainable are the alternatives compared to palm oil?	"{""type"": ""free"", ""price"": """", ""currency"": """"}"		SCI’s Lipids group	https://www.soci.org/interest-groups/lipids			"[{""start_time"": ""18:00"", ""end_time"": ""18:30"", ""day"": ""2022-06-15"", ""desc"": """", ""title"": ""Registration and refreshments""}, {""start_time"": ""18:30"", ""end_time"": ""18:40"", ""day"": ""2022-06-15"", ""desc"": """", ""title"": ""Welcome and introduction""}, {""start_time"": ""18:40"", ""end_time"": ""19:25"", ""day"": ""2022-06-15"", ""desc"": """", ""title"": ""Palm oil and our future world, Dr Eddy Esselink, Sustainable Development at MVO""}, {""start_time"": ""19:25"", ""end_time"": ""19:45"", ""day"": ""2022-06-15"", ""desc"": """", ""title"": ""Q&A""}, {""start_time"": ""19:45"", ""end_time"": """", ""day"": ""2022-06-15"", ""desc"": """", ""title"": ""Networking reception""}]"						https://www.soci.org/events/lipids-group/2022/palm-oil-and-our-future-world		"""conferences@soci.org"""	"[""Dr Eddy Esselink""]"	0
https://www.soci.org/events/hq-events/2022/scis-141st-annual-general-meeting-agm-2022	SCI's 141st Annual General Meeting (AGM) 2022	2022-07-06	2022-07-06		The Chairman of the Board of Trustees warmly invites you to attend the Society’s Annual General Meeting on Wednesday 6 July 2022. The meeting will take place at SCI's headquarters. This is an opportunity for all members to review the past year at SCI and look forward to the future of our Society.	"{""type"": ""free"", ""price"": """", ""currency"": """"}"		SCI HQ	https://www.soci.org/			"[{""start_time"": ""13:00"", ""end_time"": ""13:45"", ""day"": ""2022-07-06"", ""desc"": """", ""title"": ""Registration & lunch""}, {""start_time"": ""13:45"", ""end_time"": ""14:15"", ""day"": ""2022-07-06"", ""desc"": """", ""title"": ""Annual General Meeting ""}, {""start_time"": ""14:15"", ""end_time"": ""14:45"", ""day"": ""2022-07-06"", ""desc"": """", ""title"": ""SCI Strategy, Sharon Todd, CEO ""}, {""start_time"": ""14:45"", ""end_time"": ""15:00"", ""day"": ""2022-07-06"", ""desc"": """", ""title"": ""Refreshment break""}, {""start_time"": ""15:00"", ""end_time"": ""17:00"", ""day"": ""2022-07-06"", ""desc"": """", ""title"": ""Scholars presentations,  ""}, {""start_time"": ""17:00"", ""end_time"": """", ""day"": ""2022-07-06"", ""desc"": """", ""title"": ""Presentation of Society awards (DSA and Lampitt)""}]"						https://www.soci.org/events/hq-events/2022/scis-141st-annual-general-meeting-agm-2022		"""conferences@soci.org"""		0
https://www.soci.org/membership	Join SCI's global community																	https://www.soci.org/membership		"""conferences@soci.org"""		0
https://www.soci.org/events/all-ireland-group/2022/allireland-group-agm-and-lecture-2022	All-Ireland Group AGM and Lecture 2022	2022-05-05	2022-05-05		The chair and committee members of SCI’s All Ireland Group cordially invite members to their Annual General Meeting (AGM) held online on the 5 May 2022.	"{""type"": ""free"", ""price"": """", ""currency"": """"}"		SCI's All Ireland Group	https://www.soci.org/interest-groups/all-ireland			"[{""start_time"": ""13:00"", ""end_time"": """", ""day"": ""2022-05-05"", ""desc"": """", ""title"": ""AGM""}]"						https://www.soci.org/events/all-ireland-group/2022/allireland-group-agm-and-lecture-2022		"""conferences@soci.org"""		1
https://www.soci.org/events/construction-materials-group/2022/construction-materials-group-agm-2022	Construction Materials Group AGM 2022	2022-05-05	2022-05-05		The chair and committee members of SCI’s Construction Materials Group cordially invite members to their Annual General Meeting (AGM) held online on 5 May 2022.	"{""type"": ""free"", ""price"": """", ""currency"": """"}"		SCI Construction Materials Group	https://www.soci.org/interest-groups/construction-materials			"[{""start_time"": ""15.30"", ""end_time"": ""17.00"", ""day"": ""2022-05-05"", ""desc"": """", ""title"": ""Committee Meeting""}, {""start_time"": ""17.00"", ""end_time"": """", ""day"": ""2022-05-05"", ""desc"": """", ""title"": ""Annual General Meeting""}]"						https://www.soci.org/events/construction-materials-group/2022/construction-materials-group-agm-2022		"""conferences@soci.org"""		1
https://www.soci.org/events/yorkshire-and-the-humber-group/2022/sci-yorkshire-and-the-humber-group-agm-2022	SCI Yorkshire and the Humber Group AGM 2022	2022-05-16	2022-05-16		The chair and committee members of SCI’s Yorkshire and the Humber Group cordially invite members to their Annual General Meeting (AGM) held online on Monday 16 May 2022.	"{""type"": ""free"", ""price"": """", ""currency"": """"}"		SCI's Yorkshire & the Humber Group	https://www.soci.org/interest-groups/yorkshire-and-the-humber									https://www.soci.org/events/yorkshire-and-the-humber-group/2022/sci-yorkshire-and-the-humber-group-agm-2022		"""conferences@soci.org"""		1
