scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://events.tc.umn.edu/event/7727-arbor-day-at-the-minnesota-landscape-arboretum	Arbor Day at the Minnesota Landscape Arboretum	2022-04-05	2022-04-29		Join us on Arbor Day, 9 a.m.-6 p.m. April 29, as we celebrate trees! Get outside to enjoy the Arboretum’s tree collections, and celebrate the holiday that honors the planting, upkeep and preservation of trees.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						3675 Arboretum Drive, Chaska, MN 55318	USA	3675 Arboretum Drive, Chaska, MN 55318	https://events.tc.umn.edu/event/7727-arbor-day-at-the-minnesota-landscape-arboretum	https://www.google.com/maps/place/3675+Arboretum+Dr,+Chaska,+MN+55318,+USA/data=!4m2!3m1!1s0x87f604816a470727:0x3091ff4f58deab65?sa=X&ved=2ahUKEwigwpHboK33AhVY8rsIHSerC_YQ8gF6BAgXEAE			0
https://events.tc.umn.edu/event/7366-bud-break-5k-at-the-minnesota-landscape-arboretum	Bud Break 5K at the Minnesota Landscape Arboretum	2022-03-14	2022-05-01		Bud Break 2022 returns to the Farm at the Arb with a variety of options sure to please every runner and walker:			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						3675 Arboretum Drive, Chaska, MN 55318	USA	3675 Arboretum Drive, Chaska, MN 55318	https://events.tc.umn.edu/event/7366-bud-break-5k-at-the-minnesota-landscape-arboretum	https://www.google.com/maps/place/3675+Arboretum+Dr,+Chaska,+MN+55318,+USA/data=!4m2!3m1!1s0x87f604816a470727:0x3091ff4f58deab65?sa=X&ved=2ahUKEwigwpHboK33AhVY8rsIHSerC_YQ8gF6BAgXEAE			0
https://events.tc.umn.edu/event/7364-exhibition-pollinator-friendly-paintings-by	EXHIBITION | Pollinator Friendly: Paintings by Abigail Blythe Davisson in the Cafe Gallery at the Minnesota Landscape Arboretum	2022-04-07	2022-05-22		** Reserve your ticket or use your EZ Pass today, arb.umn.edu ** Local artist Abigail Blythe Davisson’s work is inspired by our pollinator friends. Let your mind release as each image takes you on a journey around the canvas. Cost: Included with gate admission; free for members, $15 for non-members ages 16 and older; free for children 15 and younger. Website: https://arb.umn.edu/art-arboretum/cafe-gallery			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						Minnesota Landscape Arboretum	USA	Minnesota Landscape Arboretum	https://events.tc.umn.edu/event/7364-exhibition-pollinator-friendly-paintings-by	https://www.google.com/maps/place/Minnesota+Landscape+Arboretum+-+Advance+Reservations%2FTickets+Required/@44.8621639,-93.6162667,15z/data=!4m2!3m1!1s0x0:0xeab1cb505e8f2fe0?sa=X&ved=2ahUKEwik78juoK33AhXm_7sIHe8ACqgQ_BJ6BAg2EAU			0
https://events.tc.umn.edu/event/5886-exhibition-reflections-from-our-natural-world-in	EXHIBITION | Reflections from Our Natural World in the Reedy Gallery	2022-03-09	2022-05-02		Reserve your ticket or use your EZ Pass today. Artists Kathleen Krishnan, Alison Price and Mary Welke derive their visual cues from nature. Their work serves as a reminder: If we look closely, nature can inspire awe with her beauty, provide solace, conjure memories and educate us. The artists’ varying paths using color, form and textural qualities result in a whole that makes us more deeply explore our relationship with the natural world. Cost: Included with gate admission; free for members, $15 for non-members ages 16 and older; free for children 15 and younger. Additional information: https://arb.umn.edu/art-arboretum/reedy-gallery			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						Minnesota Landscape Arboretum	USA	Minnesota Landscape Arboretum	https://events.tc.umn.edu/event/5886-exhibition-reflections-from-our-natural-world-in	https://www.google.com/maps/place/Minnesota+Landscape+Arboretum+-+Advance+Reservations%2FTickets+Required/@44.8621639,-93.6162667,15z/data=!4m2!3m1!1s0x0:0xeab1cb505e8f2fe0?sa=X&ved=2ahUKEwik78juoK33AhXm_7sIHe8ACqgQ_BJ6BAg2EAU			0
https://events.tc.umn.edu/event/3888-exhibition-totally-radical-designing-the-1980s	EXHIBITION | Totally Radical: Designing the 1980s	2022-12-04	2022-05-27		Presented by the Goldstein Museum of Design			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						Goldstein Museum of Design, 241 McNeal Hall	USA	Goldstein Museum of Design, 241 McNeal Hall	https://events.tc.umn.edu/event/3888-exhibition-totally-radical-designing-the-1980s	https://www.google.com/maps/place/Goldstein+Museum+of+Design/@44.985127,-93.1834065,15z/data=!4m2!3m1!1s0x0:0xf957bf2bbfc14f45?sa=X&ved=2ahUKEwjU-buCoa33AhWJiv0HHSVEDUwQ_BJ6BAgwEAU	Goldstein Museum of Design, 612-624-7434 or gmd@umn.edu		0
https://events.tc.umn.edu/event/5229-exhibitionartists-among-the-trees-maple-miller-and	EXHIBITION︱Artists Among the Trees: Maple, Miller, and Singh	2022-02-11	2022-05-15		An exhibit showcasing different forms of artwork incorporating trees.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						Architecture & Landscape Architecture Library, Rapson Hall, 89 Church Street Se Minneapolis, Minnesota 55455	USA	Architecture & Landscape Architecture Library, Rapson Hall, 89 Church Street Se Minneapolis, Minnesota 55455	https://events.tc.umn.edu/event/5229-exhibitionartists-among-the-trees-maple-miller-and		Deborah K. Ultan, ultan004@umn.edu		0
https://events.tc.umn.edu/event/7404-may-markets-at-the-minnesota-landscape-arboretum	May Markets at the Minnesota Landscape Arboretum	2022-04-15	2022-05-29		10 a.m.-4 p.m. April 30 & May 1, May 14-15, May 21-22, May 28-29 Walk through spring blooms while shopping from up to 60 local artists and artisans on weekends throughout May at the Arboretum.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						3675 Arboretum Drive, Chaska, MN 55318	USA	3675 Arboretum Drive, Chaska, MN 55318	https://events.tc.umn.edu/event/7404-may-markets-at-the-minnesota-landscape-arboretum	https://www.google.com/maps/place/3675+Arboretum+Dr,+Chaska,+MN+55318,+USA/data=!4m2!3m1!1s0x87f604816a470727:0x3091ff4f58deab65?sa=X&ved=2ahUKEwigwpHboK33AhVY8rsIHSerC_YQ8gF6BAgXEAE			0
https://events.tc.umn.edu/event/4956-restorative-expanded-functions-an-80-hour-training	Restorative Expanded Functions: An 80-hour Training Program	2022-02-26	2022-05-15		Add a new dimension and greater clinical responsibility to your career with this practical Restorative Functions (RF) training and credentialing program.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://events.tc.umn.edu/event/4956-restorative-expanded-functions-an-80-hour-training		cdeumn@umn.edu		1
https://events.tc.umn.edu/event/4926-mindful-mondays-a-mindful-approach-to-stress	Mindful Mondays: A Mindful Approach to Stress Reduction	2022-04-25	2022-04-25	"[{""type"": ""general"", ""start_time"": ""12:00pm"", ""end_time"": """", ""timezone"": ""CDT"", ""days"": ""all""}]"	Join the Earl. E Bakken Center for Spirituality & Healing for an informal hour of gentle movement and guided meditation. Our experienced instructors will guide you through a series of mindful movement and meditations that will leave you feeling rejuvenated. No prior experience or special clothing is necessary. Learn more & register here.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://events.tc.umn.edu/event/4926-mindful-mondays-a-mindful-approach-to-stress		mindprg@umn.edu		1
https://events.tc.umn.edu/event/3412-reading-instruction-for-students-with	Reading Instruction for Students with Characteristics of Dyslexia: A Workshop for Elementary Educators	2022-04-26	2022-04-26	"[{""type"": ""general"", ""start_time"": ""All"", ""end_time"": """", ""timezone"": ""Day"", ""days"": ""all""}]"				University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://mcrr.umn.edu/professional-development/events				1
https://events.tc.umn.edu/event/5236-convene-conference	Convene Conference	2022-04-26	2022-04-26	"[{""type"": ""general"", ""start_time"": ""9:00am"", ""end_time"": ""1:00pm"", ""timezone"": ""CDT"", ""days"": ""all""}]"	The Carlson School of Management’s Convene Conference is a thought-leadership conference focused on the intersection of healthcare, technology, and data analytics as major solutions to healthcare issues.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://z.umn.edu/convene-registration		convene@umn.edu		1
https://events.tc.umn.edu/event/7334-peggy-series-phd-are-schizophrenia-and-autism	Peggy Seriès, PhD - Are Schizophrenia and Autism Disorders of Prediction?	2022-04-26	2022-04-26	"[{""type"": ""general"", ""start_time"": ""10:00am"", ""end_time"": ""11:00am"", ""timezone"": ""CDT"", ""days"": ""all""}]"	Applications of Computational Modeling to Psychological Science Colloquium Series Peggy Seriès Senior Lecturer University of Edinburgh			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://umn.zoom.us/webinar/register/WN_t08IdUEsQxCfSLKrlv7UhQ		amsuchy@umn.edu		1
https://events.tc.umn.edu/event/7857-step-seminar-student-capstone-team-presentations	STEP Seminar: Student Capstone Team Presentations	2022-04-26	2022-04-26	"[{""type"": ""general"", ""start_time"": ""11:30am"", ""end_time"": ""12:30pm"", ""timezone"": ""CDT"", ""days"": ""all""}]"	Join us in-person or online for a lunchtime seminar featuring three Science, Technology, and Environmental Policy capstone teams, who will present their projects, methods, and results, and take questions from the audience. Please RSVP for the Zoom link.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/						Josie Johnson Room 180, Humphrey School	USA	Josie Johnson Room 180, Humphrey School	https://z.umn.edu/Apr26CapstonesRSVP		Questions? Contact oschares@umn.edu.		0
https://events.tc.umn.edu/event/7726-what-is-our-covid-19-future-building-the-new	What Is Our COVID-19 Future? Building the New Normal	2022-04-26	2022-04-26	"[{""type"": ""general"", ""start_time"": ""12:00pm"", ""end_time"": ""1:30pm"", ""timezone"": ""CDT"", ""days"": ""all""}]"	Two years have passed since the COVID-19 virus began circulating widely throughout the world. Join national experts, including authors of a major new report on “Getting to and Sustaining the Next Normal: A Roadmap for Living with COVID,” to hear how we can move forward and build stability in the age of COVID.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://consortium.umn.edu/lecture/what-our-covid-19-future-building-new-normal		tvet0004@umn.edu		1
https://events.tc.umn.edu/event/7773-chinese-film-history-realism-and-convention	Chinese Film History: Realism and Convention	2022-04-26	2022-04-26	"[{""type"": ""general"", ""start_time"": ""12:00pm"", ""end_time"": """", ""timezone"": ""CDT"", ""days"": ""all""}]"	Jason McGrath of the Department of Asian and Middle Eastern Studies traces a history of Chinese film from the silent era to the digital age. Register now.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://umn.zoom.us/webinar/register/WN_e3yfawLoQciF5BCqGFKiLA		chinactr@umn.edu		1
https://events.tc.umn.edu/event/5308-design-in-a-post-pandemic-world-spirituality-and	Design in a Post-Pandemic World: Spirituality and Religion	2022-04-26	2022-04-26	"[{""type"": ""general"", ""start_time"": ""1:00pm"", ""end_time"": ""2:15pm"", ""timezone"": ""CDT"", ""days"": ""all""}]"	Join us for the penultimate event in this monthly discussion series.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://z.umn.edu/dppw-spirituality		Lori Mollberg, lmollber@umn.edu		1
https://events.tc.umn.edu/event/5094-differential-gene-expression-of-human-brain	Differential Gene Expression of Human Brain Endothelial Cells Compared to Endothelial Cells Co-Cultured with Brain Pericytes	2022-04-26	2022-04-26	"[{""type"": ""general"", ""start_time"": ""3:00pm"", ""end_time"": ""3:30pm"", ""timezone"": ""CDT"", ""days"": ""all""}]"	Presented by: Doug Nelson, Pharmaceutics Graduate Student, Kandimalla Lab Pharmaceutics seminars are open to the public and offered weekly during the academic year.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://events.tc.umn.edu/event/5094-differential-gene-expression-of-human-brain		kmjames@umn.edu		1
https://events.tc.umn.edu/event/5095-mechanical-properties-of-amorphous-solids	Mechanical Properties of Amorphous Solids	2022-04-26	2022-04-26	"[{""type"": ""general"", ""start_time"": ""3:30pm"", ""end_time"": ""4:00pm"", ""timezone"": ""CDT"", ""days"": ""all""}]"	Presented by: Vikram Chandrashekhar Joshi, Pharmaceutics Graduate Student, Sun Lab Pharmaceutics seminars are open to the public and offered weekly during the academic year.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://events.tc.umn.edu/event/5095-mechanical-properties-of-amorphous-solids		kmjames@umn.edu		1
https://events.tc.umn.edu/event/4864-honors-recognition-ceremony	Honors Recognition Ceremony	2022-04-26	2022-04-26	"[{""type"": ""general"", ""start_time"": ""7:00pm"", ""end_time"": """", ""timezone"": ""CDT"", ""days"": ""all""}]"	Please join the University Honors Program as we celebrate the achievements of students graduating with Latin Honors.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://events.tc.umn.edu/event/4864-honors-recognition-ceremony		honors@umn.edu		1
https://events.tc.umn.edu/event/5222-nse-info-session	NSE Info Session	2022-04-27	2022-04-27	"[{""type"": ""general"", ""start_time"": ""11:00am"", ""end_time"": ""12:00pm"", ""timezone"": ""CDT"", ""days"": ""all""}]"	Through National Student Exchange (NSE), U of M undergraduates can study at another campus in the U.S., Canada, Guam, Puerto Rico, or the U.S. Virgin Islands for a summer, semester, or year. NSE is affordable and credits transfer back to the U of M.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://umn.zoom.us/meeting/register/tJ0ldO6srTgqH9yFZ_TrilIEgR1vvmMthDlx		ccel@umn.edu		1
https://events.tc.umn.edu/event/7830-curator-talk-totally-radical-designing-the-1980s	Curator Talk - Totally Radical: Designing the 1980s	2022-04-27	2022-04-27	"[{""type"": ""general"", ""start_time"": ""11:30am"", ""end_time"": """", ""timezone"": ""CDT"", ""days"": ""all""}]"	Join co-curators Dr. Jean McElvain and Colleen Pokorny for a virtual program highlighting the objects and ideas in GMD’s newest exhibition Totally Radical: Designing the1980s.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://z.umn.edu/GMD1980s		Colleen Pokorny, pokor033@umn.edu		1
https://events.tc.umn.edu/event/5898-become-a-scholar-cesp-info-session	Become a Scholar! CESP Info Session	2022-04-27	2022-04-27	"[{""type"": ""general"", ""start_time"": ""1:00pm"", ""end_time"": ""1:30pm"", ""timezone"": ""CDT"", ""days"": ""all""}]"	Attend an information session to learn more about the Community Engagement Scholars Program.			University of Minnesota Twin Cities	https://twin-cities.umn.edu/									https://docs.google.com/forms/d/e/1FAIpQLSfd80tInepTmc9uo0i_QOTOcDaxziX2IkoMG62sz_55UkHkuw/viewform?usp=sf_link		cesp@umn.edu		1
https://events.tc.umn.edu/event/7732-the-charm-the-dread-the-cut-point	“The Charm & the Dread” & “The Cut Point”	2022-04-27	2022-04-27	"[{""type"": ""general"", ""start_time"": ""4:00pm"", ""end_time"": ""5:30pm"", ""timezone"": ""CDT"", ""days"": ""all""}]"				University of Minnesota Twin Cities	https://twin-cities.umn.edu/						135 Nicholson Hall, 216 Pillsbury Dr SE, Minneapolis, MN 55455	USA	135 Nicholson Hall, 216 Pillsbury Dr SE, Minneapolis, MN 55455	https://umn.zoom.us/meeting/register/tJIoc-mpqDgqH9P8ae9OuM3TDUub_UKNT92b	https://www.google.com/maps/place/Nicholson+Hall/@44.9772846,-93.2354764,15z/data=!4m5!3m4!1s0x0:0xbddb161a79d4a5f0!8m2!3d44.9772846!4d-93.2354764	cscl@umn.edu		0
